dataset,task,view,repetition,held_out_group,stim_n,stim_n_ties,stim_accuracy,stim_balanced_accuracy,stim_macro_f1,stim_auc,stim_log_loss,stim_brier,glob_n,glob_n_ties,glob_accuracy,glob_balanced_accuracy,glob_macro_f1,glob_auc,glob_log_loss,glob_brier,delta_ba_pp,delta_accuracy_pp,delta_macro_f1,delta_auc,logloss_gain,brier_gain,bits_per_trial,n,n_fallback_trials
DEAP,arousal,A_LOPO,0,s01,40,1,0.525,0.4895833333333333,0.4861392832995267,0.6002604166666666,0.7059048454201173,0.25506984033869734,40,0,0.6,0.5,0.375,0.5,0.6736137458802487,0.24029156120509204,-1.0416666666666685,-7.499999999999996,0.11113928329952671,0.10026041666666663,-0.03229109953986864,-0.014778279133605299,-0.046586209171020375,40,0
DEAP,arousal,A_LOPO,0,s02,40,0,0.55,0.5208333333333333,0.52,0.453125,0.7724049574258529,0.28182753517123793,40,0,0.6,0.5,0.375,0.5,0.6736137458802487,0.24029156120509204,2.083333333333326,-4.999999999999993,0.14500000000000002,-0.046875,-0.09879121154560422,-0.04153597396614589,-0.14252559098025572,40,0
DEAP,arousal,A_LOPO,0,s03,40,1,0.425,0.59375,0.42174732872407295,0.681640625,0.8512643390993905,0.31573586409324983,40,0,0.2,0.5,0.16666666666666666,0.5,0.8285698686294898,0.3168134117753855,9.375,22.499999999999996,0.2550806620574063,0.181640625,-0.022694470469900696,0.0010775476821356933,-0.03274120000252676,40,0
DEAP,arousal,A_LOPO,0,s04,40,1,0.4,0.4375,0.3939393939393939,0.4127604166666667,0.8935719208982824,0.3347669973290741,40,0,0.4,0.5,0.2857142857142857,0.5,0.7455891278267627,0.275895388792772,-6.25,0.0,0.10822510822510822,-0.08723958333333331,-0.14798279307151974,-0.058871608536302134,-0.2134940417011792,40,0
DEAP,arousal,A_LOPO,0,s05,40,1,0.55,0.5614035087719298,0.53125,0.5413533834586466,0.7658864583378342,0.27906211544243986,40,0,0.475,0.5,0.3220338983050847,0.5,0.7173130327589323,0.26192119617454823,6.140350877192979,7.500000000000007,0.20921610169491528,0.041353383458646586,-0.048573425578901874,-0.01714091926789163,-0.07007664020167086,40,0
DEAP,arousal,A_LOPO,0,s06,40,0,0.55,0.578005115089514,0.5454545454545454,0.7250639386189258,0.6772710553539132,0.2410850168583817,40,0,0.425,0.5,0.2982456140350877,0.5,0.7359920270192465,0.2711542902836516,7.800511508951402,12.500000000000005,0.2472089314194577,0.22506393861892582,0.0587209716653333,0.03006927342526991,0.08471645461775769,40,0
DEAP,arousal,A_LOPO,0,s07,40,1,0.8,0.76,0.7720797720797721,0.816,0.5222294936930985,0.16954540717956262,40,0,0.625,0.5,0.38461538461538464,0.5,0.6653866734611374,0.23621473712033833,26.0,17.500000000000004,0.38746438746438744,0.31599999999999995,0.143157179768039,0.0666693299407757,0.2065321533189997,40,0
DEAP,arousal,A_LOPO,0,s08,39,1,0.5641025641025641,0.5258152173913043,0.5185185185185185,0.6222826086956522,0.6840262842488938,0.24421790301373655,39,0,0.5897435897435898,0.5,0.3709677419354839,0.5,0.6770381962818087,0.24198805625861014,2.5815217391304324,-2.564102564102566,0.14755077658303462,0.12228260869565222,-0.006988087967085055,-0.0022298467551264134,-0.010081679855409446,39,0
DEAP,arousal,A_LOPO,0,s09,39,1,0.6153846153846154,0.575,0.5751633986928104,0.6305555555555555,0.658764345459136,0.2323130755306305,39,0,0.6153846153846154,0.5,0.38095238095238093,0.5,0.668527090494709,0.23777114663761906,7.499999999999996,0.0,0.19421101774042948,0.13055555555555554,0.009762745035573062,0.005458071106988566,0.014084663848284603,39,0
DEAP,arousal,A_LOPO,0,s10,40,1,0.775,0.7550505050505051,0.7565922920892495,0.8800505050505051,0.5078865685668837,0.1633975276977851,40,0,0.55,0.5,0.3548387096774194,0.5,0.6905802366543169,0.248694312283737,25.50505050505051,22.499999999999996,0.4017535824118301,0.3800505050505051,0.18269366808743315,0.08529678458595191,0.2635712489515541,40,0
