dataset,task,view,n_trials_all_scores,n_fallback_trials,rating_scale_note,stimulus_mae,stimulus_rmse,stimulus_r2,stimulus_pearson_r,stimulus_spearman_r,global_mae,global_rmse,global_r2,global_pearson_r,global_spearman_r,mae_improvement,rmse_improvement,r2_improvement
DEAP,valence,A_LOPO,1280,0,raw SAM rating before binary midpoint removal,1.223531754032258,1.5637460592350514,0.46101066093839893,0.6793998411213594,0.6628194388212493,1.8000878150201616,2.1332808732219712,-0.003099000620771175,-0.217421381396295,-0.20311021553610464,0.5765560609879037,0.5695348139869199,0.4641096615591701
DEAP,arousal,A_LOPO,1280,0,raw SAM rating before binary midpoint removal,1.540102318548387,1.9038635597684934,0.11142604655615251,0.34065263106138843,0.3044240222191354,1.6872557963709673,2.0274367729864577,-0.007665928687419887,-0.3419588174548056,-0.3140553004150478,0.14715347782258026,0.12357321321796433,0.1190919752435724
IDARE,valence,A_LOPO,2016,0,raw SAM rating before binary midpoint removal,1.02206541218638,1.257773694673858,0.750467519219751,0.8663072234664708,0.8413570547514742,2.1035081245199696,2.5188205823164975,-0.0007291167540470767,-0.14973910117417666,-0.14513636421250328,1.0814427123335897,1.2610468876426395,0.751196635973798
IDARE,arousal,A_LOPO,2016,0,raw SAM rating before binary midpoint removal,1.5799251152073732,1.944204982116596,0.4022185114094632,0.6343754946304896,0.5984999661777204,2.1876575100806455,2.5209746143429186,-0.005067670969751026,-0.3947670422689639,-0.3801998772132442,0.6077323948732722,0.5767696322263225,0.4072861823792142
DEJAVU,valence,A_LOPO,90,4,raw SAM rating before binary midpoint removal,1.5550352733686066,1.9094704332513066,0.42730659083492883,0.6624291392871063,0.5830306682324544,2.1357872650976097,2.564654717387736,-0.033127963258842597,-0.5335141097407299,-0.5528034460228979,0.5807519917290032,0.6551842841364293,0.46043455409377143
DEJAVU,arousal,A_LOPO,90,4,raw SAM rating before binary midpoint removal,1.557389770723104,1.985567959989468,-0.14274786195267763,0.024671583122264508,0.03445332668536488,1.567049808429119,1.906023748983931,-0.05302218309877049,-0.6909932150638004,-0.7117735475923547,0.009660037706014979,-0.0795442110055371,-0.08972567885390714
