dataset,task,view,repetition,metric,n_replicates_requested,n_replicates_valid,n_replicates_invalid,ci95_low,ci95_high,bootstrap_mean,n_all_class_degenerate_resamples,bootstrap_variant
DEAP,arousal,A_LOPO,0,stim_balanced_accuracy,10000,10000,0,0.5815197168220883,0.6587243733976234,0.6195559379750962,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,stim_accuracy,10000,10000,0,0.604117181314331,0.6899306090666494,0.6468862250713578,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,stim_macro_f1,10000,10000,0,0.577371068006248,0.6610602145752384,0.6188909083225498,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,stim_auc,10000,10000,0,0.6164294160957273,0.7165090724571754,0.6663259340207804,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,stim_log_loss,10000,10000,0,0.5947789682100818,0.6745928880257734,0.6343472437208768,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,stim_brier,10000,10000,0,0.2023848388514721,0.23822378761895713,0.22021564248342296,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,glob_balanced_accuracy,10000,10000,0,0.5,0.5,0.5,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,glob_accuracy,10000,10000,0,0.5289416494845361,0.6377952755905512,0.5839518811436424,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,glob_macro_f1,10000,10000,0,0.3459528030011877,0.3894230769230769,0.3684763127940581,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,glob_auc,10000,10000,0,0.2828884465030785,0.36665283089357625,0.32504628441855504,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,glob_log_loss,10000,10000,0,0.6639311847005307,0.7015382757658806,0.6822652066270631,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,glob_brier,10000,10000,0,0.23546819114823786,0.25407538019872394,0.2445457719067501,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,delta_ba_pp,10000,10000,0,8.151971682208819,15.872437339762335,11.955593797509632,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,delta_accuracy_pp,10000,10000,0,1.337867428567136,11.128775834658189,6.293434392771555,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,delta_macro_f1,10000,10000,0,0.2095399636090602,0.2911910002893115,0.25041459552849166,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,delta_auc,10000,10000,0,0.2846886046026831,0.3950082792489958,0.34127964960222545,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,logloss_gain,10000,10000,0,0.01412375871217952,0.08163640036399267,0.04791796290618639,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,brier_gain,10000,10000,0,0.00916259614886175,0.03945601925356668,0.024330129423327098,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,bits_per_trial,10000,10000,0,0.020376276652773688,0.1177764299611582,0.0691310074542564,0,primary_fixed_predictions
DEAP,arousal,A_LOPO,0,stim_balanced_accuracy,10000,10000,0,0.5654906427150642,0.6927250710873218,0.6320609526645249,0,sensitivity_refit_within_resample
DEAP,arousal,A_LOPO,0,delta_ba_pp,10000,10000,0,6.590334581523935,19.46335708762482,13.268526764042024,0,sensitivity_refit_within_resample
DEAP,arousal,A_LOPO,0,bits_per_trial,10000,10000,0,-0.005787020797850539,0.10104950547609515,0.045766709360963574,0,sensitivity_refit_within_resample
DEAP,arousal,A_LOPO,0,logloss_gain,10000,10000,0,-0.0040112571498718665,0.0700421798177321,0.03172306555705836,0,sensitivity_refit_within_resample
DEAP,arousal,A_LOPO,0,brier_gain,10000,10000,0,0.0025722298279223107,0.03691748630981394,0.01883041320613731,0,sensitivity_refit_within_resample
DEAP,arousal,A_LOPO,0,stim_auc,10000,10000,0,0.5860184307818276,0.7114687108867528,0.6506847981291612,0,sensitivity_refit_within_resample
DEAP,arousal,B_SUBJECT_FOLD,0,stim_balanced_accuracy,10000,10000,0,0.6056726293206087,0.6765744794295591,0.6404226261919517,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,stim_accuracy,10000,10000,0,0.6256937843744161,0.7044374009508716,0.6649094568268521,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,stim_macro_f1,10000,10000,0,0.6037852986557518,0.6794305636020349,0.6410977075173945,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,stim_auc,10000,10000,0,0.6388132959955485,0.7272763347339378,0.6820694659204156,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,stim_log_loss,10000,10000,0,0.5935767738706128,0.6694874647201927,0.6315343152156189,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,stim_brier,10000,10000,0,0.20182639471683578,0.2354866897043653,0.21871696932578638,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,glob_balanced_accuracy,10000,10000,0,0.5,0.5,0.5,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,glob_accuracy,10000,10000,0,0.5287539936102237,0.6368670886075949,0.5835286776353118,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,glob_macro_f1,10000,10000,0,0.3458725182863114,0.389076848719188,0.3683077235831172,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,glob_auc,10000,10000,0,0.4105351801400572,0.5408528552018491,0.47658604260572474,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,glob_log_loss,10000,10000,0,0.6626634287800875,0.6990263220246438,0.6804101819085269,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,glob_brier,10000,10000,0,0.23486691028740728,0.2528755883375865,0.2436462850702771,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,delta_ba_pp,10000,10000,0,10.567262932060869,17.65744794295591,14.042262619195169,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,delta_accuracy_pp,10000,10000,0,3.3123028391167204,12.808478218180717,8.138077919154021,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,delta_macro_f1,10000,10000,0,0.23512615293197955,0.30963824611664187,0.2727899839342772,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,delta_auc,10000,10000,0,0.13519361943420385,0.2755294192801028,0.2054834233146908,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,logloss_gain,10000,10000,0,0.017715515475920273,0.08045184949926186,0.048875866692907936,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,brier_gain,10000,10000,0,0.011183582520930923,0.03875780220751528,0.02492931574449074,0,primary_fixed_predictions
DEAP,arousal,B_SUBJECT_FOLD,0,bits_per_trial,10000,10000,0,0.025558086323901868,0.11606748430293033,0.07051297049700833,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,stim_balanced_accuracy,10000,10000,0,0.705739369799054,0.7692691210006106,0.7397709486456002,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,stim_accuracy,10000,10000,0,0.7084318360914106,0.77138403562864,0.7420630206099645,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,stim_macro_f1,10000,10000,0,0.704868345855857,0.7690266154056615,0.7387909506051256,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,stim_auc,10000,10000,0,0.7948499016376148,0.8735139463646262,0.8377955272302504,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,stim_log_loss,10000,10000,0,0.43477925713023496,0.5508960836118667,0.4868480035764628,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,stim_brier,10000,10000,0,0.13640755482007996,0.17749703743496958,0.15516275419802433,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,glob_balanced_accuracy,10000,10000,0,0.5,0.5,0.5,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,glob_accuracy,10000,10000,0,0.528526148969889,0.5925039872408293,0.5602702760655373,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,glob_macro_f1,10000,10000,0,0.34577501296008295,0.37205808713069605,0.35901573240110385,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,glob_auc,10000,10000,0,0.37342075626662846,0.42356300860380747,0.39865097594983673,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,glob_log_loss,10000,10000,0,0.6793505785463441,0.6946387932022843,0.6869778919552556,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,glob_brier,10000,10000,0,0.24312041343774377,0.2507288265280778,0.2469162379919603,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,delta_ba_pp,10000,10000,0,20.5739369799054,26.926912100061067,23.977094864560026,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,delta_accuracy_pp,10000,10000,0,13.412576483107216,22.647714911646798,18.179274454442755,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,delta_macro_f1,10000,10000,0,0.3426991865732228,0.41382657264579,0.37977521820402166,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,delta_auc,10000,10000,0,0.40526713851421114,0.4686256663912928,0.43914455128041363,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,logloss_gain,10000,10000,0,0.13712201784572173,0.25330913161974505,0.20012988837879275,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,brier_gain,10000,10000,0,0.06977504793574114,0.11125608976121991,0.09175348379393596,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,bits_per_trial,10000,10000,0,0.19782525514271068,0.36544782799969594,0.2887263974977461,0,primary_fixed_predictions
DEAP,valence,A_LOPO,0,stim_balanced_accuracy,10000,10000,0,0.7269542837888558,0.8183695502696762,0.7763546355426919,0,sensitivity_refit_within_resample
DEAP,valence,A_LOPO,0,delta_ba_pp,10000,10000,0,22.69542837888558,31.83695502696762,27.637635203089793,0,sensitivity_refit_within_resample
DEAP,valence,A_LOPO,0,bits_per_trial,10000,10000,0,0.16447317534643482,0.35484693152319596,0.2639400350773782,0,sensitivity_refit_within_resample
DEAP,valence,A_LOPO,0,logloss_gain,10000,10000,0,0.11400411776912281,0.24596115011565126,0.18294929115077774,0,sensitivity_refit_within_resample
DEAP,valence,A_LOPO,0,brier_gain,10000,10000,0,0.06290891650072993,0.10928192693898825,0.08741136407662878,0,sensitivity_refit_within_resample
DEAP,valence,A_LOPO,0,stim_auc,10000,10000,0,0.7800148380255111,0.8700919287965656,0.8298687553077744,0,sensitivity_refit_within_resample
DEAP,valence,B_SUBJECT_FOLD,0,stim_balanced_accuracy,10000,10000,0,0.735688412803862,0.8038789802035373,0.7711580448225485,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,stim_accuracy,10000,10000,0,0.7383766745468873,0.8047837874410729,0.7729397715916664,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,stim_macro_f1,10000,10000,0,0.7351196915437564,0.8027254840462207,0.7700854226543588,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,stim_auc,10000,10000,0,0.7941404349264466,0.8723425345474611,0.8358363078600559,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,stim_log_loss,10000,10000,0,0.4453785910982608,0.5715142760077854,0.5029029815009696,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,stim_brier,10000,10000,0,0.13941363723783384,0.18066800720227075,0.1585020508672562,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,glob_balanced_accuracy,10000,10000,0,0.5,0.5,0.5,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,glob_accuracy,10000,10000,0,0.5288994457640538,0.5925632911392406,0.5600948841749618,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,glob_macro_f1,10000,10000,0,0.34593474883480063,0.3720814704421262,0.35894286938264874,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,glob_auc,10000,10000,0,0.45370841083875046,0.5288082278854676,0.4917301316878124,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,glob_log_loss,10000,10000,0,0.6782018809206897,0.6936232161853618,0.6860507327238776,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,glob_brier,10000,10000,0,0.2425548859755119,0.2502268017540014,0.24645948150039276,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,delta_ba_pp,10000,10000,0,23.5688412803862,30.38789802035373,27.115804482254845,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,delta_accuracy_pp,10000,10000,0,16.469637753182507,25.958752614976753,21.284488741670458,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,delta_macro_f1,10000,10000,0,0.37342207268213806,0.4483388851869093,0.41114255327171007,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,delta_auc,10000,10000,0,0.2968029844541593,0.38578739756510666,0.3441061761722436,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,logloss_gain,10000,10000,0,0.11562589458353077,0.2411268778621542,0.18314775122290822,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,brier_gain,10000,10000,0,0.06613897137041919,0.10749762004550587,0.08795743063313656,0,primary_fixed_predictions
DEAP,valence,B_SUBJECT_FOLD,0,bits_per_trial,10000,10000,0,0.16681290471400992,0.34787255091676866,0.2642263524392553,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,stim_balanced_accuracy,10000,10000,0,0.44932352753697097,0.6205371451465201,0.5334384653493407,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,stim_accuracy,10000,10000,0,0.43548387096774194,0.6626506024096386,0.5503497864788048,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,stim_macro_f1,10000,10000,0,0.40026598082307835,0.6059491864724422,0.5025972938243259,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,stim_auc,10000,10000,0,0.3707991622103387,0.6604835164835163,0.5191433209817021,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,stim_log_loss,10000,10000,0,0.6466602272784004,0.8896868454295955,0.7636696738165134,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,stim_brier,10000,10000,0,0.22320051709618524,0.31920279485184855,0.26969984863620766,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,glob_balanced_accuracy,10000,10000,0,0.3076923076923077,0.5,0.43739666519293824,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,glob_accuracy,10000,10000,0,0.29850746268656714,0.6363920454545451,0.46699669387231507,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,glob_macro_f1,10000,10000,0,0.22988505747126436,0.38889949109414745,0.3158986280991071,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,glob_auc,10000,10000,0,0.022413310463631233,0.16287900261114546,0.08112175061888,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,glob_log_loss,10000,10000,0,0.6930765058843356,0.7589869045517718,0.7229152114360724,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,glob_brier,10000,10000,0,0.24994116790170873,0.28264470656007584,0.26476293170390586,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,delta_ba_pp,10000,10000,0,-1.656749491426911,21.84332088162734,9.604180015640253,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,delta_accuracy_pp,10000,10000,0,-4.347826086956519,21.052631578947366,8.335309260648984,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,delta_macro_f1,10000,10000,0,0.08296177277296972,0.2810057127519837,0.18669866572521873,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,delta_auc,10000,10000,0,0.28343997644035124,0.5759042015704786,0.43802157036282224,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,logloss_gain,10000,10000,0,-0.162432346959963,0.0723678157876709,-0.040754462380440885,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,brier_gain,10000,10000,0,-0.05233949984568299,0.038586409453907226,-0.004936916932301865,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,bits_per_trial,10000,10000,0,-0.23434034143909413,0.10440468895683884,-0.05879626077035788,0,primary_fixed_predictions
DEJAVU,arousal,A_LOPO,0,stim_balanced_accuracy,10000,10000,0,0.2862546931189327,0.6769152247205749,0.491229084549869,0,sensitivity_refit_within_resample
DEJAVU,arousal,A_LOPO,0,delta_ba_pp,10000,10000,0,-12.5,37.998571238702816,11.369661868369455,0,sensitivity_refit_within_resample
DEJAVU,arousal,A_LOPO,0,bits_per_trial,10000,10000,0,-0.43268321478073696,0.12829435365873246,-0.1410310714038792,0,sensitivity_refit_within_resample
DEJAVU,arousal,A_LOPO,0,logloss_gain,10000,10000,0,-0.299913150400881,0.0889268695203109,-0.0977552895149472,0,sensitivity_refit_within_resample
DEJAVU,arousal,A_LOPO,0,brier_gain,10000,10000,0,-0.1046408607239901,0.05156339018793561,-0.02407434247418968,0,sensitivity_refit_within_resample
