dataset,task,view,repetition,stim_n,stim_n_ties,stim_accuracy,stim_balanced_accuracy,stim_macro_f1,stim_auc,stim_log_loss,stim_brier,glob_n,glob_n_ties,glob_accuracy,glob_balanced_accuracy,glob_macro_f1,glob_auc,glob_log_loss,glob_brier,delta_ba_pp,delta_accuracy_pp,delta_macro_f1,delta_auc,logloss_gain,brier_gain,bits_per_trial,n,subject_macro_ba_stimulus,subject_macro_ba_global,subject_macro_ba_valid_denominator,subject_macro_ba_undefined_participants,subject_macro_accuracy_stimulus,subject_macro_accuracy_global,subject_macro_accuracy_denominator,n_participants,n_fallback_trials,fallback_trial_fraction,trial_weighted_overlap_fraction_pooled,unique_stimulus_overlap_fraction_mean_over_folds,n_stimuli,class_balance_high_fraction,fold_provenance
DEAP,arousal,A_LOPO,0,1263.0,16.0,0.6468725257323832,0.6190444252983269,0.6191070588171654,0.6653128240580712,0.634370356252061,0.22022513819292952,1263.0,0.0,0.5835312747426762,0.5,0.3685,0.32010617496685256,0.6824031432282306,0.24461410912147238,11.904442529832693,6.3341250989707,0.25060705881716544,0.3452066490912187,0.04803278697616964,0.024388970928542864,0.06929666357059593,1263.0,0.64037673556903,0.5,32.0,0.0,0.6471474985866433,0.5827500957435168,32.0,32.0,0.0,0.0,1.0,1.0,40.0,0.5835312747426762,leave_one_participant_out
DEAP,arousal,B_SUBJECT_FOLD,0,1263.0,0.0,0.665083135391924,0.6400911102971145,0.6414900620255228,0.6814531731250419,0.6314346755687806,0.21867123858040452,1263.0,0.0,0.5835312747426762,0.5,0.3685,0.4754812181745954,0.6804259281866734,0.24365392227627042,14.009111029711452,8.15518606492478,0.27299006202552284,0.20597195495044657,0.04899125261789272,0.024982683695865898,0.07067943719877227,1263.0,0.6591042048123872,0.5,32.0,0.0,0.6653642698872962,0.5827500957435168,32.0,32.0,0.0,0.0,1.0,1.0,40.0,0.5835312747426762,configs/cv/folds/deap_subject_folds.csv
DEAP,valence,A_LOPO,0,1264.0,16.0,0.7420886075949367,0.739462667154412,0.7388853403088278,0.837221324635207,0.486784156124283,0.15514145692992787,1264.0,0.0,0.560126582278481,0.5,0.359026369168357,0.3955234117790513,0.6870115125463541,0.24693297015871915,23.9462667154412,18.196202531645568,0.3798589711404708,0.4416979128561557,0.20022735642207107,0.09179151322879128,0.28886701416042887,1264.0,0.7485989365924576,0.5,32.0,0.0,0.7424842479118795,0.5601063265948134,32.0,32.0,0.0,0.0,1.0,1.0,40.0,0.560126582278481,leave_one_participant_out
DEAP,valence,B_SUBJECT_FOLD,0,1264.0,0.0,0.7729430379746836,0.7708663577612487,0.7701636176447295,0.8353554444579929,0.5029417067832784,0.1585143122277358,1264.0,0.0,0.560126582278481,0.5,0.359026369168357,0.4917083282526521,0.6860404245599204,0.2464543663487208,27.08663577612487,21.281645569620256,0.4111372484763725,0.34364711620534083,0.183098717776642,0.08794005412098502,0.2641556121294893,1264.0,0.7786317007086384,0.5,32.0,0.0,0.7731965454827298,0.5601063265948134,32.0,32.0,0.0,0.0,1.0,1.0,40.0,0.560126582278481,configs/cv/folds/deap_subject_folds.csv
DEJAVU,arousal,A_LOPO,0,71.0,13.0,0.5492957746478874,0.5311004784688995,0.5060869565217392,0.5199362041467305,0.762981148819415,0.2693661584349584,71.0,5.0,0.4647887323943662,0.4342105263157895,0.3173076923076923,0.07256778309409888,0.723349960455322,0.26497795083026243,9.688995215311003,8.450704225352117,0.1887792642140469,0.4473684210526316,-0.03963118836409307,-0.004388207604695993,-0.05717571891741347,71.0,0.6157407407407407,0.5,9.0,15.0,0.5541666666666667,0.4694444444444444,24.0,24.0,3.0,0.04225352112676056,0.9577464788732395,0.9722222222222222,15.0,0.5352112676056338,leave_one_participant_out
DEJAVU,arousal,B_SUBJECT_FOLD,0,71.0,4.0,0.4647887323943662,0.45015948963317387,0.43223905723905726,0.42902711323763953,0.9346507794753777,0.33972319476825685,71.0,0.0,0.352112676056338,0.34090909090909094,0.32963875205254517,0.28309409888357256,0.8116904404712274,0.3069930912333031,10.925039872408293,11.267605633802818,0.10260030518651209,0.14593301435406697,-0.12296033900415027,-0.03273010353495376,-0.17739427130731336,71.0,0.5879629629629629,0.5,9.0,15.0,0.5013888888888888,0.4611111111111111,24.0,24.0,5.0,0.07042253521126761,0.9295774647887324,0.9047619047619048,15.0,0.5352112676056338,"shared:01351073683eaa6c4469bf8b8728227a184b1ac4:folds/dejavu_joint_cv_repeated_assignments.csv (participant, rep=0)"
DEJAVU,arousal,B_SUBJECT_FOLD,1,71.0,8.0,0.5492957746478874,0.5410685805422648,0.5382113821138211,0.6000797448165869,0.7104861349597885,0.2536261922087473,71.0,0.0,0.4507042253521127,0.43899521531100477,0.4284829721362229,0.43460925039872406,0.7012391729613734,0.25402521123041244,10.207336523126004,9.859154929577468,0.10972840997759825,0.16547049441786282,-0.009246961998415126,0.0003990190216651146,-0.013340546218402203,71.0,0.5648148148148148,0.5,9.0,15.0,0.548611111111111,0.4138888888888889,24.0,24.0,3.0,0.04225352112676056,0.9577464788732395,0.9184149184149185,15.0,0.5352112676056338,"shared:01351073683eaa6c4469bf8b8728227a184b1ac4:folds/dejavu_joint_cv_repeated_assignments.csv (participant, rep=1)"
DEJAVU,arousal,B_SUBJECT_FOLD,2,71.0,20.0,0.5070422535211268,0.49760765550239233,0.4925464570144987,0.5131578947368421,0.7672123522783295,0.27411749452709777,71.0,0.0,0.3380281690140845,0.34768740031897927,0.3295157725537472,0.3413078149920255,0.757909248618823,0.2814170788993809,14.992025518341306,16.901408450704224,0.16303068446075147,0.17185007974481664,-0.009303103659506484,0.007299584372283119,-0.013421541514445972,71.0,0.6203703703703703,0.5,9.0,15.0,0.5236111111111111,0.4055555555555556,24.0,24.0,5.0,0.07042253521126761,0.9295774647887324,0.9111111111111111,15.0,0.5352112676056338,"shared:01351073683eaa6c4469bf8b8728227a184b1ac4:folds/dejavu_joint_cv_repeated_assignments.csv (participant, rep=2)"
DEJAVU,arousal,B_SUBJECT_FOLD,3,71.0,18.0,0.5915492957746479,0.578548644338118,0.5696969696969697,0.5745614035087719,0.7530714096074057,0.2632074577726225,71.0,27.0,0.4647887323943662,0.45614035087719296,0.45162601626016263,0.4298245614035088,0.7011779768748677,0.25397360862497714,12.240829346092507,12.676056338028168,0.11807095343680707,0.14473684210526316,-0.05189343273253799,-0.009233849147645357,-0.07486639805793757,71.0,0.6574074074074073,0.5,9.0,15.0,0.575,0.4444444444444445,24.0,24.0,3.0,0.04225352112676056,0.9577464788732395,0.923076923076923,15.0,0.5352112676056338,"shared:01351073683eaa6c4469bf8b8728227a184b1ac4:folds/dejavu_joint_cv_repeated_assignments.csv (participant, rep=3)"
DEJAVU,arousal,B_SUBJECT_FOLD,4,71.0,9.0,0.5070422535211268,0.4916267942583732,0.47318210727157095,0.5418660287081339,0.7892847812858204,0.28068770595131026,71.0,0.0,0.4507042253521127,0.4370015948963317,0.4213166144200627,0.4126794258373206,0.7062370748184622,0.2564723106975944,5.4625199362041466,5.633802816901406,0.051865492851508266,0.12918660287081335,-0.08304770646735815,-0.024215395253715855,-0.1198125142776599,71.0,0.5324074074074073,0.5,9.0,15.0,0.4680555555555556,0.4305555555555555,24.0,24.0,3.0,0.04225352112676056,0.9577464788732395,0.9246031746031745,15.0,0.5352112676056338,"shared:01351073683eaa6c4469bf8b8728227a184b1ac4:folds/dejavu_joint_cv_repeated_assignments.csv (participant, rep=4)"
