dataset,task,view,repetition,null_design,n_permutations,observed_bits_per_trial,observed_logloss_gain,observed_delta_ba_pp,null_bits_per_trial_mean,null_bits_per_trial_sd,null_bits_per_trial_q95,null_delta_ba_pp_mean,null_delta_ba_pp_sd,null_delta_ba_pp_q95,p_one_sided_bits_per_trial,p_one_sided_delta_ba_pp,note
DEAP,arousal,A_LOPO,0,within_participant_stimulus_identity_permutation,10000,0.06929666357059593,0.04803278697616964,11.904442529832693,-0.020795776533696717,0.004750305161953748,-0.012513657493447319,-0.4566271649013834,2.5587319860245725,3.5888996084217633,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
DEAP,arousal,B_SUBJECT_FOLD,0,within_participant_stimulus_identity_permutation,10000,0.07067943719877227,0.04899125261789272,14.009111029711452,-0.03012616512019233,0.009475506220149069,-0.014844187059948792,-0.15285202057462435,1.3899454566704594,2.153054722928734,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
DEAP,valence,A_LOPO,0,within_participant_stimulus_identity_permutation,10000,0.28886701416042887,0.20022735642207107,23.9462667154412,-0.022404310255773083,0.0050178438985427135,-0.013595605597544287,-0.1828119538267691,2.8541938244238825,4.282506198431079,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
DEAP,valence,B_SUBJECT_FOLD,0,within_participant_stimulus_identity_permutation,10000,0.2641556121294893,0.183098717776642,27.08663577612487,-0.03239787307661077,0.009966741394705962,-0.016350467366716383,0.021601938787952683,1.6295464874729786,2.7613756452465097,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
DEJAVU,arousal,A_LOPO,0,within_participant_stimulus_identity_permutation,10000,-0.05717571891741347,-0.03963118836409307,9.688995215311003,-0.09172903711875678,0.03991392306470564,-0.023572443449301688,2.1485925039872398,8.115141096179366,15.350877192982448,0.20357964203579643,0.19388061193880612,"Permutation test of association, NOT a causal test."
DEJAVU,arousal,B_SUBJECT_FOLD,0,within_participant_stimulus_identity_permutation,10000,-0.17739427130731336,-0.12296033900415027,10.925039872408293,-0.14277422788775535,0.07116013663204478,-0.033969856002600045,3.380641945773522,5.24312497696716,12.639553429027107,0.7068293170682932,0.09569043095690431,"Permutation test of association, NOT a causal test."
DEJAVU,arousal,B_SUBJECT_FOLD,1,within_participant_stimulus_identity_permutation,10000,-0.013340546218402203,-0.009246961998415126,10.207336523126004,-0.07792379002215437,0.06242293234780994,0.020472318600448184,5.780921052631581,5.2734714999135495,14.553429027113236,0.1456854314568543,0.21957804219578042,"Permutation test of association, NOT a causal test."
DEJAVU,arousal,B_SUBJECT_FOLD,2,within_participant_stimulus_identity_permutation,10000,-0.013421541514445972,-0.009303103659506484,14.992025518341306,-0.08699269104266552,0.06184557860096812,0.008286237251227901,6.04579346092504,5.346067020921336,15.19138755980861,0.11238876112388761,0.06179382061793821,"Permutation test of association, NOT a causal test."
DEJAVU,arousal,B_SUBJECT_FOLD,3,within_participant_stimulus_identity_permutation,10000,-0.07486639805793757,-0.05189343273253799,12.240829346092507,-0.10476306825021565,0.07820049215580385,0.014455981694122325,5.413269537480066,6.034677595220067,15.669856459330145,0.3731626837316268,0.12938706129387062,"Permutation test of association, NOT a causal test."
DEJAVU,arousal,B_SUBJECT_FOLD,4,within_participant_stimulus_identity_permutation,10000,-0.1198125142776599,-0.08304770646735815,5.4625199362041466,-0.1361084856788938,0.0814638402229306,-0.009010662497302285,1.8589553429027132,5.679643591834185,11.722488038277511,0.44145585441455854,0.2755724427557244,"Permutation test of association, NOT a causal test."
DEJAVU,valence,A_LOPO,0,within_participant_stimulus_identity_permutation,10000,0.42344364417279406,0.2935087680844009,30.317324185248708,-0.09078352399118712,0.06637683092504894,0.029381285451459644,0.8332204116638093,7.203257948896384,14.022298456260717,9.999000099990002e-05,0.00019998000199980003,"Permutation test of association, NOT a causal test."
DEJAVU,valence,B_SUBJECT_FOLD,0,within_participant_stimulus_identity_permutation,10000,0.3999875164612659,0.27725021929430116,32.59005145797599,-0.10281509632332358,0.08552589094736426,0.036933544913542955,1.46736706689537,5.931526386880677,12.13550600343053,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
DEJAVU,valence,B_SUBJECT_FOLD,1,within_participant_stimulus_identity_permutation,10000,0.42744071921045473,0.29627932937724194,32.204116638078894,-0.09851638796696048,0.08707875700411885,0.04721169024872422,1.6396397941680974,5.723764379285067,11.7602915951971,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
DEJAVU,valence,B_SUBJECT_FOLD,2,within_participant_stimulus_identity_permutation,10000,0.35614185346975,0.24685872161195038,31.26072041166381,-0.10701270857229196,0.08362595576546994,0.03434810876229622,1.4162092624356786,5.803592712948451,12.13550600343053,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
DEJAVU,valence,B_SUBJECT_FOLD,3,within_participant_stimulus_identity_permutation,10000,0.3754719461457757,0.26025732085030007,27.658662092624354,-0.1018271334238876,0.0868697153474249,0.04361402121252219,0.7150857632933114,5.619539950473109,10.806174957118353,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
DEJAVU,valence,B_SUBJECT_FOLD,4,within_participant_stimulus_identity_permutation,10000,0.35446713350857384,0.24569789419263366,28.98799313893654,-0.1273171165348881,0.09671071513830354,0.02917552914897469,-0.5770068610634638,5.888804578044669,10.24871355060034,9.999000099990002e-05,0.00019998000199980003,"Permutation test of association, NOT a causal test."
IDARE,arousal,A_LOPO,0,within_participant_stimulus_identity_permutation,10000,0.3030684530674785,0.21007104376038682,28.612110311750595,-0.0107237160660193,0.0029043243657723918,-0.00561073866579534,-0.09383926046935348,1.1537701684390995,1.855839564156529,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
IDARE,arousal,B_SUBJECT_FOLD,0,within_participant_stimulus_identity_permutation,10000,0.29028456025522087,0.2012099245009899,28.612110311750595,-0.01587930206466371,0.0056171741584337635,-0.006929645118862619,-0.10113404254762132,0.6415843382450889,1.0970241274229477,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
IDARE,valence,A_LOPO,0,within_participant_stimulus_identity_permutation,10000,0.7938044626421001,0.5502233251962741,45.58854031630801,-0.013656828582291482,0.0035660837171882145,-0.007353841383278408,-0.028502196583412524,3.136861375828406,4.749895572264,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
IDARE,valence,B_SUBJECT_FOLD,0,within_participant_stimulus_identity_permutation,10000,0.7950283985058598,0.5510716928894254,45.58854031630801,-0.020200940099231797,0.006979586418137276,-0.009048066519114007,-0.06085617059891108,1.5786855261938533,2.552087834528854,9.999000099990002e-05,9.999000099990002e-05,"Permutation test of association, NOT a causal test."
