case,spearman_rho,mae_rank_percentile,rmse_rank_percentile,q33_balanced_accuracy_audit,passed
perfect,0.9999999999999999,0.0,0.0,1.0,True
reversed,-0.9999999999999999,0.504950495049505,0.5830951894845301,0.0,True
constant,0.0,0.2524752475247525,0.29154759474226505,0.5,True
noisy_monotone,0.9957251019219568,0.020780383825221144,0.026441664716597504,1.0,True
random,0.19806639487478156,0.289102853351712,0.3683233405376341,0.5735294117647058,True
