model,modality,task,fold,subject_id,n,mean_abs_error,rmse,target_mean,pred_mean
mean_baseline_no_training,EEG,arousal,1,6,32,0.248991935483871,0.28694269152672897,0.5,0.5
mean_baseline_no_training,EEG,arousal,1,7,32,0.23286290322580644,0.27921749398813006,0.5,0.5
mean_baseline_no_training,EEG,arousal,1,8,32,0.25806451612903225,0.2869710217525498,0.5,0.5
mean_baseline_no_training,EEG,arousal,1,13,32,0.23286290322580647,0.285408683373974,0.5,0.5
mean_baseline_no_training,EEG,arousal,1,28,32,0.2540322580645161,0.28939704622577606,0.5,0.5
mean_baseline_no_training,EEG,arousal,1,38,32,0.2540322580645161,0.2942167152734629,0.5,0.5
mean_baseline_no_training,EEG,arousal,1,43,32,0.25806451612903225,0.2884967226868281,0.5,0.5
mean_baseline_no_training,EEG,arousal,1,54,32,0.24193548387096772,0.2928318976671823,0.5,0.5
mean_baseline_no_training,EEG,arousal,1,58,32,0.25806451612903225,0.2889190986721429,0.5,0.5
mean_baseline_no_training,EEG,arousal,1,59,32,0.2540322580645161,0.2929429239830834,0.5,0.5
mean_baseline_no_training,EEG,arousal,1,65,32,0.2540322580645161,0.2695286285011033,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,2,32,0.25806451612903225,0.2924151735373531,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,5,32,0.2540322580645161,0.2925819344140603,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,11,32,0.248991935483871,0.29327575074142226,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,17,32,0.2540322580645161,0.29341431713268373,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,26,32,0.25705645161290325,0.2815370976566319,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,31,32,0.25705645161290325,0.2902385631117437,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,34,32,0.25806451612903225,0.29299842136427334,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,44,32,0.25806451612903225,0.2924985658600344,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,46,32,0.25705645161290325,0.28998636445750325,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,49,32,0.2570564516129032,0.28908787627314386,0.5,0.5
mean_baseline_no_training,EEG,arousal,2,63,32,0.25705645161290325,0.28646064901469975,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,9,32,0.25705645161290325,0.29308164773191253,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,10,32,0.25705645161290325,0.2953198939290412,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,20,32,0.2540322580645161,0.2941061698195237,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,35,32,0.25806451612903225,0.2924429736204636,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,39,32,0.2570564516129032,0.29219267765310186,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,45,32,0.2540322580645161,0.2936912537843571,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,47,32,0.25705645161290325,0.29418908280425204,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,48,32,0.25806451612903225,0.2952372985158948,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,52,32,0.25705645161290325,0.29427197242772485,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,57,32,0.25806451612903225,0.2930539082355907,0.5,0.5
mean_baseline_no_training,EEG,arousal,3,62,32,0.25705645161290325,0.28583562255560135,0.5,0.5
mean_baseline_no_training,EEG,arousal,4,1,32,0.25705645161290325,0.2946584823620179,0.5,0.5
mean_baseline_no_training,EEG,arousal,4,3,32,0.2570564516129032,0.2908261761331768,0.5,0.5
mean_baseline_no_training,EEG,arousal,4,19,32,0.2540322580645161,0.2918307600439069,0.5,0.5
