matrix,modality,representation,task,policy,recipe,fold_id,runs,n_samples,macro_f1_mean,balanced_accuracy_mean,accuracy_mean,majority_macro_f1_mean,majority_balanced_accuracy_mean,delta_macro_f1_vs_majority,delta_bal_acc_vs_majority,pred_skew_mean,true_skew_mean,one_class_runs,failure_labels
broader_single_modality,EEG,STIM-BSL+BSL-stats,valence,midpoint_as_high,ce_class_weighted,4,1,320,0.4592429792429793,0.47307692307692306,0.459375,0.37254901960784315,0.5,0.08669395963513615,-0.02692307692307694,0.578125,0.59375,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL+BSL-stats,valence,midpoint_as_high,ce_class_weighted,5,1,320,0.42397390379011646,0.4966360729266166,0.434375,0.3834296724470135,0.5,0.04054423134310298,-0.0033639270733833992,0.75625,0.621875,0,weak_signal_near_chance;prediction_skew
broader_single_modality,EEG,STIM-BSL+BSL-stats,valence,midpoint_as_high,ce_class_weighted,6,1,320,0.5856584661571427,0.5881265833298726,0.646875,0.3834296724470135,0.5,0.2022287937101292,0.08812658332987255,0.7625,0.621875,0,prediction_skew
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,1,1,352,0.4645088201974429,0.4829165431122533,0.4659090909090909,0.36347197106690776,0.5,0.10103684913053512,-0.017083456887746706,0.6221590909090909,0.5710227272727273,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,2,1,352,0.5136610134364962,0.5239588437040666,0.5454545454545454,0.35648994515539306,0.5,0.1571710682811031,0.023958843704066646,0.7017045454545454,0.5539772727272727,0,prediction_skew
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,3,1,352,0.501077383146942,0.5065876578293022,0.5085227272727273,0.3370998116760829,0.5,0.16397757147085906,0.0065876578293021515,0.6136363636363636,0.5085227272727273,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,4,1,320,0.49582694600579114,0.5150738916256158,0.5375,0.35353535353535354,0.5,0.1422915924704376,0.015073891625615787,0.740625,0.546875,0,weak_signal_near_chance;prediction_skew
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,5,1,320,0.5027316529676794,0.5068627450980392,0.503125,0.3469387755102041,0.5,0.15579287745747533,0.006862745098039191,0.559375,0.53125,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,6,1,320,0.5398655984975202,0.5627173373075012,0.540625,0.38223938223938225,0.5,0.157626216258138,0.06271733730750118,0.578125,0.61875,0,no_major_failure_flag
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,1,1,352,0.5170994610485056,0.5178412572897104,0.5227272727272727,0.36347197106690776,0.5,0.1536274899815978,0.01784125728971042,0.5369318181818182,0.5710227272727273,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,2,1,352,0.5172930180123335,0.5212314225053079,0.5369318181818182,0.35648994515539306,0.5,0.16080307285694045,0.02123142250530785,0.6477272727272727,0.5539772727272727,0,no_major_failure_flag
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,3,1,352,0.494609787555058,0.4960926147188943,0.4971590909090909,0.3370998116760829,0.5,0.15750997587897514,-0.00390738528110568,0.5625,0.5085227272727273,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,4,1,320,0.49248997107939174,0.5037438423645321,0.521875,0.35353535353535354,0.5,0.1389546175440382,0.0037438423645320684,0.69375,0.546875,0,weak_signal_near_chance
