model,modality,task,fold,subject,n_val_pairs,subject_balanced_accuracy,majority_subject_bal_acc,subject_delta_vs_majority_bal_acc,positive_lift
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,1,878,0.4578587699316628,0.5,-0.0421412300683372,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,15,862,0.4733178654292343,0.5,-0.02668213457076568,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,20,868,0.5483870967741935,0.5,0.048387096774193505,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,26,752,0.5824468085106383,0.5,0.08244680851063835,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,31,816,0.5686274509803921,0.5,0.06862745098039214,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,37,768,0.6302083333333334,0.5,0.13020833333333337,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,43,808,0.4554455445544554,0.5,-0.044554455445544594,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,49,790,0.6050632911392405,0.5,0.10506329113924051,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,55,720,0.5472222222222223,0.5,0.047222222222222276,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,60,844,0.5616113744075829,0.5,0.06161137440758291,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,1,7,698,0.6504297994269341,0.5,0.15042979942693413,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,10,894,0.4966442953020134,0.5,-0.0033557046979865723,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,16,886,0.6252821670428894,0.5,0.12528216704288941,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,21,858,0.5174825174825175,0.5,0.0174825174825175,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,27,828,0.4758454106280193,0.5,-0.024154589371980673,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,32,876,0.6073059360730594,0.5,0.10730593607305938,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,38,868,0.5576036866359447,0.5,0.05760368663594473,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,44,852,0.6220657276995305,0.5,0.1220657276995305,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,5,842,0.4703087885985748,0.5,-0.02969121140142522,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,56,876,0.4908675799086758,0.5,-0.0091324200913242,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,61,778,0.5938303341902313,0.5,0.09383033419023135,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,2,8,798,0.5388471177944862,0.5,0.03884711779448624,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,11,860,0.4744186046511628,0.5,-0.025581395348837188,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,17,850,0.4611764705882353,0.5,-0.0388235294117647,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,22,812,0.5763546798029556,0.5,0.07635467980295563,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,28,806,0.3746898263027295,0.5,-0.1253101736972705,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,33,842,0.5653206650831354,0.5,0.06532066508313539,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,39,840,0.5523809523809524,0.5,0.05238095238095242,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,45,856,0.4929906542056075,0.5,-0.007009345794392496,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,50,882,0.5102040816326531,0.5,0.010204081632653073,True
