modality,task,n_folds,mean_spearman_rho,mean_permutation_control_spearman,delta_vs_permutation_spearman,mean_q33_bal_acc,mean_mae,mean_baseline_mae,delta_mae_positive_is_better,mean_rmse,mean_baseline_rmse,delta_rmse_positive_is_better,metric_conflict_type,metric_debug_interpretation
EEG,arousal,6,0.006946207794990916,0.008219972097111684,-0.0012737643021207678,0.5048829233537683,0.26924406072371193,0.25404142228738996,-0.015202638436321969,0.31934836073021505,0.29060455378261835,-0.028743806947596706,rank_signal_absolute_error_conflict,Spearman is weakly positive but does not overcome worse rank-percentile MAE/RMSE.
EEG,valence,6,-0.010522113541458251,-0.011130770077244034,0.0006086565357857829,0.5016693297244023,0.27313349306165197,0.2524529569892473,-0.020680536072404665,0.3256268098617037,0.29255926858015163,-0.03306754128155209,no_rank_signal_and_worse_absolute_error,No actionable metric agreement.
EMG,arousal,6,-0.0197887940153521,0.009338060991177568,-0.029126855006529666,0.47747942486010814,0.25776743680288255,0.25404142228738996,-0.0037260145154925928,0.2971468720949019,0.29060455378261835,-0.006542318312283579,no_rank_signal_and_worse_absolute_error,No actionable metric agreement.
EMG,valence,6,0.019171068580299766,0.0033614784728453174,0.01580959010745445,0.5070515450953589,0.27383986981751823,0.2524529569892473,-0.021386912828270932,0.3726750009621769,0.29255926858015163,-0.0801157323820253,rank_signal_absolute_error_conflict,Spearman is weakly positive but does not overcome worse rank-percentile MAE/RMSE.
