candidate_id,n_runs,mean_macro_f1,mean_balanced_accuracy,mean_accuracy,folds_over_055_macro_f1,folds_under_050_macro_f1,one_class_pred_count,mean_positive_pair_coverage
A5_cross_subject_supcon_vrex,24,0.5118600603082725,0.5163997255823266,0.5232599431818182,2,7,0,1.0
A0_CE_control,24,0.5087842221409249,0.5144246844583958,0.5213423295454546,1,8,0,0.0
A4_rating_distance_guarded_supcon,24,0.5070852701825401,0.5131131167010557,0.5162878787878787,1,11,0,1.0
A2_cross_subject_positive_only,24,0.5060875555452323,0.5127249608005167,0.5189985795454545,3,12,0,1.0
A6_vrex_only_recheck,24,0.5047905175717274,0.5109835181186413,0.5179569128787879,1,11,0,0.0
