candidate_id,modality,task,fold,macro_f1,bal_acc,acc,ce_loss,supcon_loss
A0_CE_control,EEG,valence,1,0.5201533820567619,0.5295871635201476,0.5596590909090909,0.3198818495640388,0.0
A0_CE_control,EEG,valence,2,0.5309012160586373,0.5308691043985162,0.5454545454545454,0.3045809314801143,0.0
A0_CE_control,EEG,valence,3,0.5081669839765327,0.5124365567543948,0.5142045454545454,0.2816638488035936,0.0
A0_CE_control,EEG,valence,4,0.531571451178984,0.5352226720647774,0.5375,0.2945915354149682,0.0
A0_CE_control,EEG,valence,5,0.5238095238095238,0.532414136799701,0.53125,0.3328450620174408,0.0
A0_CE_control,EEG,valence,6,0.5222169135212613,0.5291747996179244,0.53125,0.3047205571617399,0.0
A0_CE_control,EEG,arousal,1,0.5390435541759627,0.5451220717604033,0.5397727272727273,0.2945700815090766,0.0
A0_CE_control,EEG,arousal,2,0.5156291983878191,0.5157765801077903,0.5198863636363636,0.3099677402239579,0.0
A0_CE_control,EEG,arousal,3,0.5445134575569358,0.5448380534116963,0.5454545454545454,0.2813930121751932,0.0
A0_CE_control,EEG,arousal,4,0.4652019663992025,0.4724137931034483,0.465625,0.2637827407036509,0.0
A0_CE_control,EEG,arousal,5,0.5094139219831862,0.513921568627451,0.521875,0.2954691520759037,0.0
A0_CE_control,EEG,arousal,6,0.5186052303860523,0.524300380857758,0.528125,0.3026029063122613,0.0
A0_CE_control,EMG,valence,1,0.4474097331240189,0.4474317155942143,0.4545454545454545,0.6566013647959783,0.0
A0_CE_control,EMG,valence,2,0.4886198547215497,0.5022522522522522,0.4886363636363636,0.6621123735721295,0.0
A0_CE_control,EMG,valence,3,0.5182259182259182,0.5197136230714934,0.5511363636363636,0.6505163587056674,0.0
A0_CE_control,EMG,valence,4,0.4700065661168768,0.4775303643724696,0.471875,0.6583404157842908,0.0
A0_CE_control,EMG,valence,5,0.5037255565013585,0.5168196353669172,0.584375,0.6578918141978127,0.0
A0_CE_control,EMG,valence,6,0.5322191932361424,0.543917936791395,0.5375,0.6665645795209068,0.0
A0_CE_control,EMG,arousal,1,0.5550802139037433,0.5592237488056406,0.5568181818181818,0.6525829250995929,0.0
A0_CE_control,EMG,arousal,2,0.5484210526315789,0.54848930262943,0.5568181818181818,0.653332348053272,0.0
A0_CE_control,EMG,arousal,3,0.4747474747474748,0.4852262085445797,0.4829545454545454,0.6637803361966059,0.0
A0_CE_control,EMG,arousal,4,0.4934333958724203,0.4957635467980296,0.49375,0.6624542730195182,0.0
A0_CE_control,EMG,arousal,5,0.4794901369295833,0.4923529411764705,0.484375,0.629766012941088,0.0
A0_CE_control,EMG,arousal,6,0.4702154358806719,0.4713942705745984,0.509375,0.65025047319276,0.0
A2_cross_subject_positive_only,EEG,valence,1,0.4931671020753041,0.4997364172514908,0.5255681818181818,0.3204252742804013,4.673989149240347
A2_cross_subject_positive_only,EEG,valence,2,0.4992078119442558,0.5064917859035506,0.5,0.342510461807251,4.697178253760705
A2_cross_subject_positive_only,EEG,valence,3,0.4641792978365073,0.4733286276091559,0.4659090909090909,0.2780465357578717,4.6199152286236105
A2_cross_subject_positive_only,EEG,valence,4,0.53722413724791,0.5404858299595141,0.54375,0.2995897190911429,4.656147343771798
A2_cross_subject_positive_only,EEG,valence,5,0.4803486924034869,0.4851738028987915,0.490625,0.3215221081461225,4.686759540012905
A2_cross_subject_positive_only,EEG,valence,6,0.5549649225824397,0.5555255616927613,0.578125,0.3008122571877071,4.649879728044782
A2_cross_subject_positive_only,EEG,arousal,1,0.5136842105263157,0.5137227768442556,0.5227272727272727,0.3078177983944232,4.657664445730356
A2_cross_subject_positive_only,EEG,arousal,2,0.5086830915051774,0.5093254940388698,0.5113636363636364,0.3228388291138869,4.666155815124512
A2_cross_subject_positive_only,EEG,arousal,3,0.5283481854578329,0.5283689088384409,0.5284090909090909,0.3053703606128692,4.65269059401292
A2_cross_subject_positive_only,EEG,arousal,4,0.5327276825527494,0.5334975369458128,0.534375,0.2778893506952694,4.635645389556885
A2_cross_subject_positive_only,EEG,arousal,5,0.5368209612146634,0.5370588235294118,0.540625,0.3247187520776476,4.671352999550956
A2_cross_subject_positive_only,EEG,arousal,6,0.550561797752809,0.5611856267593973,0.55625,0.3295115466628756,4.68863160269601
A2_cross_subject_positive_only,EMG,valence,1,0.4523019062596207,0.4532799578267602,0.46875,0.6728237363008353,4.855076789855957
A2_cross_subject_positive_only,EMG,valence,2,0.4707537103501794,0.4773449920508744,0.4715909090909091,0.6743073371740488,4.857529493478628
A2_cross_subject_positive_only,EMG,valence,3,0.492191726475998,0.5008571140465867,0.5454545454545454,0.6658358803162208,4.863110248859112
A2_cross_subject_positive_only,EMG,valence,4,0.4957670663078052,0.5058704453441296,0.496875,0.6722956597805023,4.856719664164952
A2_cross_subject_positive_only,EMG,valence,5,0.5006980372834031,0.515199966776029,0.584375,0.6660384493214744,4.858485834939139
A2_cross_subject_positive_only,EMG,valence,6,0.4805194805194805,0.5213671664105652,0.48125,0.6785377178873334,4.856125865663801
A2_cross_subject_positive_only,EMG,arousal,1,0.5482918089150384,0.5591743270402952,0.5482954545454546,0.6672654931361859,4.858865187718318
A2_cross_subject_positive_only,EMG,arousal,2,0.5627980922098569,0.5632533072023518,0.5738636363636364,0.6606126198401818,4.854915398817796
A2_cross_subject_positive_only,EMG,arousal,3,0.4888044700071382,0.4994833209545645,0.4971590909090909,0.6684617491868826,4.8571002666766825
A2_cross_subject_positive_only,EMG,arousal,4,0.4541176470588235,0.454384236453202,0.45625,0.6687276576246534,4.855175767626081
A2_cross_subject_positive_only,EMG,arousal,5,0.502440560541647,0.5137254901960784,0.50625,0.6520489369119916,4.859298842293875
A2_cross_subject_positive_only,EMG,arousal,6,0.4974989340571345,0.4975575426395099,0.528125,0.6645429858139583,4.856275013514927
A4_rating_distance_guarded_supcon,EEG,valence,1,0.5149096627465569,0.5170999308095285,0.5369318181818182,0.3471824389237624,4.692857962388259
A4_rating_distance_guarded_supcon,EEG,valence,2,0.530791788856305,0.5399443561208267,0.53125,0.3298811694750419,4.669814990117
