cell,fold,model,task,formulation,normalization,n_train_pairs,n_val_pairs,accuracy,balanced_accuracy,macro_f1,pred_positive_rate,true_positive_rate,one_class_pred,run_id,input_definition
A1,1,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21765,4331,0.5116601246825213,0.48981554459196425,0.48620547204116615,0.6508889401985685,0.5716924497806511,False,1,current_STIM_BSL_summary
A1,2,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21558,4538,0.5361392684001763,0.5147991327115039,0.5055340644034726,0.6930365799911855,0.5557514323490524,False,2,current_STIM_BSL_summary
A1,3,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21388,4708,0.5475785896346644,0.5280064174107143,0.5247428465268642,0.6542056074766355,0.5649957519116398,False,3,current_STIM_BSL_summary
A1,4,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21927,4169,0.5224274406332454,0.505452946350044,0.4950942723210655,0.687215159510674,0.5454545454545454,False,4,current_STIM_BSL_summary
A1,5,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21869,4227,0.4821386325999527,0.45929722670229,0.4416707572823267,0.7177667376389875,0.5514549325762953,False,5,current_STIM_BSL_summary
A1,6,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21973,4123,0.5151588649041959,0.5018058000538292,0.49847480394617744,0.631578947368421,0.5508125151588649,False,6,current_STIM_BSL_summary
A2,1,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21765,4331,0.5585315169706765,0.5331075902790781,0.5281489889320423,0.6820595705379819,0.5716924497806511,False,7,BSL_stats_sidecar
A2,2,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21558,4538,0.5066108417805201,0.4948013040796546,0.4934672736535364,0.6053327457029528,0.5557514323490524,False,8,BSL_stats_sidecar
A2,3,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21388,4708,0.5074341546304163,0.48944688381109025,0.4864812402017735,0.637000849617672,0.5649957519116398,False,9,BSL_stats_sidecar
A2,4,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21927,4169,0.5236267690093548,0.5109938434476693,0.5066663758967986,0.6399616214919644,0.5454545454545454,False,10,BSL_stats_sidecar
A2,5,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21869,4227,0.5497989117577479,0.5329967173321604,0.5273097107115668,0.6666666666666666,0.5514549325762953,False,11,BSL_stats_sidecar
A2,6,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21973,4123,0.5328644191122969,0.5233074220640949,0.5225151346787985,0.5964103807906864,0.5508125151588649,False,12,BSL_stats_sidecar
A3,1,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21765,4331,0.523897483260217,0.5095771155110626,0.509219215060429,0.6012468252135765,0.5716924497806511,False,13,STIM_BSL_summary_plus_BSL_stats_concat
A3,2,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21558,4538,0.4744380784486558,0.4658062620369321,0.46549474970831717,0.5736007051564566,0.5557514323490524,False,14,STIM_BSL_summary_plus_BSL_stats_concat
A3,3,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21388,4708,0.5223024638912489,0.5105248472744361,0.5102353502171664,0.5919711129991504,0.5649957519116398,False,15,STIM_BSL_summary_plus_BSL_stats_concat
A3,4,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21927,4169,0.530822739266011,0.5206244503078277,0.518573489155015,0.614056128568002,0.5454545454545454,False,16,STIM_BSL_summary_plus_BSL_stats_concat
A3,5,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21869,4227,0.5121835817364561,0.49687345573421526,0.49187792768171446,0.6484504376626449,0.5514549325762953,False,17,STIM_BSL_summary_plus_BSL_stats_concat
A3,6,ridge_classifier,arousal,within_subject_pairwise_affect_preference_ranking,none,21973,4123,0.5238903710890128,0.5182993286560853,0.5183042273615993,0.5568760611205433,0.5508125151588649,False,18,STIM_BSL_summary_plus_BSL_stats_concat
