objective_run_id,model,modality,task,fold,balanced_accuracy,macro_f1,majority_bal_acc,random_bal_acc,delta_vs_majority_bal_acc,delta_vs_random_bal_acc,above_055,below_045
49,logistic_regression_pairwise_summary_diff,EEG,valence,1,0.4932047347654537,0.4932047347654537,0.5,0.5061376589215256,-0.006795265234546322,-0.012932924156071945,False,False
50,logistic_regression_pairwise_summary_diff,EEG,valence,2,0.5422401016303197,0.5422401016303197,0.5,0.5012703789964006,0.04224010163031966,0.04096972263391907,False,False
51,logistic_regression_pairwise_summary_diff,EEG,valence,3,0.5002140410958904,0.5002140410958904,0.5,0.4900470890410959,0.00021404109589040488,0.01016695205479451,False,False
52,logistic_regression_pairwise_summary_diff,EEG,valence,4,0.4973324054743679,0.4973324054743679,0.5,0.5005799118533983,-0.0026675945256320888,-0.0032475063790304293,False,False
53,logistic_regression_pairwise_summary_diff,EEG,valence,5,0.5181644359464627,0.5181644359464627,0.5,0.502868068833652,0.018164435946462665,0.015296367112810683,False,False
54,logistic_regression_pairwise_summary_diff,EEG,valence,6,0.5357973035797303,0.5357973035797303,0.5,0.4880288238028823,0.03579730357973032,0.047768479776848005,False,False
55,logistic_regression_pairwise_summary_diff,EEG,arousal,1,0.5499772830531576,0.5499772830531576,0.5,0.5104497955474784,0.04997728305315763,0.03952748750567925,False,False
56,logistic_regression_pairwise_summary_diff,EEG,arousal,2,0.5440359127832407,0.5440359127832407,0.5,0.4956177853783668,0.044035912783240705,0.04841812740487389,False,False
57,logistic_regression_pairwise_summary_diff,EEG,arousal,3,0.5025985275010827,0.5025985275010827,0.5,0.494586401039411,0.0025985275010826925,0.00801212646167171,False,False
58,logistic_regression_pairwise_summary_diff,EEG,arousal,4,0.5053943898345721,0.5053943898345721,0.5,0.506952769120115,0.0053943898345720775,-0.0015583792855429213,False,False
59,logistic_regression_pairwise_summary_diff,EEG,arousal,5,0.5102739726027398,0.5102739726027398,0.5,0.4982876712328767,0.010273972602739767,0.011986301369863062,False,False
60,logistic_regression_pairwise_summary_diff,EEG,arousal,6,0.5151002657646775,0.5151002657646775,0.5,0.5015704276395265,0.01510026576467749,0.013529838125150961,False,False
61,logistic_regression_pairwise_summary_diff,EMG,valence,1,0.4871766768960982,0.487176670735864,0.5,0.4866286716352477,-0.012823323103901774,0.0005480052608505259,False,False
62,logistic_regression_pairwise_summary_diff,EMG,valence,2,0.50709294939657,0.50709294939657,0.5,0.4893076434469616,0.007092949396570014,0.01778530594960842,False,False
63,logistic_regression_pairwise_summary_diff,EMG,valence,3,0.5027825342465754,0.5027825342465754,0.5,0.4987157534246575,0.0027825342465753744,0.004066780821917859,False,False
64,logistic_regression_pairwise_summary_diff,EMG,valence,4,0.5064950127580607,0.5064950061194758,0.5,0.4951287404314544,0.0064950127580607475,0.011366272326606364,False,False
65,logistic_regression_pairwise_summary_diff,EMG,valence,5,0.5339388145315488,0.5339388145315488,0.5,0.4907982791586998,0.03393881453154879,0.04314053537284901,False,False
66,logistic_regression_pairwise_summary_diff,EMG,valence,6,0.5287075778707577,0.5287075715044203,0.5,0.50046490004649,0.028707577870757728,0.028242677824267703,False,False
67,logistic_regression_pairwise_summary_diff,EMG,arousal,1,0.5006815084052704,0.5006815084052704,0.5,0.5047705588368924,0.0006815084052703702,-0.004089050431621999,False,False
68,logistic_regression_pairwise_summary_diff,EMG,arousal,2,0.5017101325352715,0.5017101325352715,0.5,0.501817015818726,0.0017101325352715246,-0.00010688328345442866,False,False
69,logistic_regression_pairwise_summary_diff,EMG,arousal,3,0.5207882200086618,0.5207882200086618,0.5,0.498051104374188,0.020788220008661762,0.02273711563447378,False,False
70,logistic_regression_pairwise_summary_diff,EMG,arousal,4,0.5128266602733158,0.5128266602733158,0.5,0.501558379285543,0.012826660273315804,0.011268280987772772,False,False
71,logistic_regression_pairwise_summary_diff,EMG,arousal,5,0.5046477495107632,0.5046477495107632,0.5,0.4980430528375734,0.004647749510763188,0.006604696673189803,False,False
72,logistic_regression_pairwise_summary_diff,EMG,arousal,6,0.5061609084319884,0.5061609084319884,0.5,0.491060642667311,0.0061609084319883545,0.015100265764677379,False,False
73,ridge_classifier_pairwise_summary_diff,EEG,valence,1,0.4899167032003507,0.4899167032003507,0.5,0.5061376589215256,-0.01008329679964931,-0.016220955721174934,False,False
74,ridge_classifier_pairwise_summary_diff,EEG,valence,2,0.5413931822993859,0.5413931822993859,0.5,0.5012703789964006,0.04139318229938593,0.040122803302985344,False,False
75,ridge_classifier_pairwise_summary_diff,EEG,valence,3,0.5038527397260274,0.5038527397260274,0.5,0.4900470890410959,0.0038527397260273988,0.013805650684931503,False,False
76,ridge_classifier_pairwise_summary_diff,EEG,valence,4,0.4975643702157272,0.4975643702157272,0.5,0.5005799118533983,-0.002435629784272808,-0.0030155416376711486,False,False
77,ridge_classifier_pairwise_summary_diff,EEG,valence,5,0.5169694072657743,0.5169694072657743,0.5,0.502868068833652,0.01696940726577434,0.014101338432122357,False,False
78,ridge_classifier_pairwise_summary_diff,EEG,valence,6,0.5353324035332404,0.5353324035332404,0.5,0.4880288238028823,0.03533240353324041,0.04730357973035809,False,False
79,ridge_classifier_pairwise_summary_diff,EEG,arousal,1,0.5497501135847342,0.5497501135847342,0.5,0.5104497955474784,0.049750113584734246,0.039300318037255866,False,False
80,ridge_classifier_pairwise_summary_diff,EEG,arousal,2,0.5451047456177853,0.5451047456177853,0.5,0.4956177853783668,0.045104745617785325,0.04948696023941851,False,False
81,ridge_classifier_pairwise_summary_diff,EEG,arousal,3,0.505413598960589,0.505413598960589,0.5,0.494586401039411,0.005413598960589017,0.010827197921178033,False,False
82,ridge_classifier_pairwise_summary_diff,EEG,arousal,4,0.5053943898345721,0.5053943898345721,0.5,0.506952769120115,0.0053943898345720775,-0.0015583792855429213,False,False
83,ridge_classifier_pairwise_summary_diff,EEG,arousal,5,0.5066046966731899,0.5066046966731899,0.5,0.4982876712328767,0.006604696673189858,0.008317025440313153,False,False
84,ridge_classifier_pairwise_summary_diff,EEG,arousal,6,0.5177579125392607,0.5177579125392607,0.5,0.5015704276395265,0.017757912539260734,0.016187484899734206,False,False
