modality,task,fold,final_macro_f1,final_balanced_accuracy,final_accuracy,n_train,n_val,one_class_pred
EEG,valence,1,0.54871293580971,0.5503663003663004,0.5487364620938628,1352,277,false
EEG,valence,2,0.5093570800460733,0.5106928156105253,0.512280701754386,1344,285,false
EEG,valence,3,0.4867761985604647,0.4873428378985182,0.4868913857677903,1362,267,false
EEG,valence,4,0.46120689655172414,0.46253842213114754,0.464,1379,250,false
EEG,valence,5,0.4618110652702846,0.4653776499414083,0.4618181818181818,1354,275,false
EEG,valence,6,0.5088571088385876,0.5096899224806202,0.509090909090909,1354,275,false
EEG,arousal,1,0.5072409604783705,0.5081296992481203,0.5085324232081911,1350,293,false
EEG,arousal,2,0.4965384317157194,0.5049689440993789,0.4983388704318937,1342,301,false
EEG,arousal,3,0.4795077581594436,0.48016236342550206,0.48046875,1387,256,false
EEG,arousal,4,0.4326597545493017,0.43385780885780884,0.43272727272727274,1368,275,false
EEG,arousal,5,0.46074074074074073,0.46079128168680406,0.46153846153846156,1383,260,false
EEG,arousal,6,0.49830416497083163,0.49957932692307694,0.5,1385,258,false
EMG,valence,1,0.5655129143574192,0.5655939298796442,0.5667870036101083,1352,277,false
EMG,valence,2,0.5502071414480174,0.552158273381295,0.5508771929824562,1344,285,false
EMG,valence,3,0.4900572969329289,0.4901773686573866,0.49063670411985016,1362,267,false
EMG,valence,4,0.49409917275096726,0.49769467213114754,0.5,1379,250,false
EMG,valence,5,0.5477453580901857,0.5483647597741557,0.5490909090909091,1354,275,false
EMG,valence,6,0.5163636363636364,0.5183444833811193,0.5163636363636364,1354,275,false
EMG,arousal,1,0.5391632588864422,0.5425986842105264,0.5392491467576792,1350,293,false
EMG,arousal,2,0.4950110375275938,0.49767080745341613,0.4950166112956811,1342,301,false
EMG,arousal,3,0.5194652585956934,0.5196545199291949,0.51953125,1387,256,false
EMG,arousal,4,0.4894029624943267,0.502039627039627,0.509090909090909,1368,275,false
EMG,arousal,5,0.5403425888784894,0.5408078654347311,0.5423076923076923,1383,260,false
EMG,arousal,6,0.46834529127746943,0.4692908653846154,0.4689922480620155,1385,258,false
