source_id,family,modality,representation,task,policy,recipe,fold_id,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy,true_0,true_1,pred_0,pred_1,tn,fp,fn,tp,one_class_pred,prob1_mean,prob1_std,prob1_q05,prob1_median,prob1_q95,brier,ece_10,best_threshold,best_threshold_macro_f1,best_threshold_balanced_accuracy,best_threshold_accuracy,best_threshold_pred_0,best_threshold_pred_1,threshold_macro_f1_gain,threshold_balanced_accuracy_gain,prediction_skew_abs
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,3,352,0.5056818181818182,0.48179893112836547,0.48151158065826893,0.5994318181818182,141,211,135,217,51,90,84,127,False,,,,,,,,,,,,0,0,,,0.11647727272727271
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,4,320,0.459375,0.47307692307692306,0.4592429792429793,0.59375,130,190,185,135,71,59,114,76,False,,,,,,,,,,,,0,0,,,0.078125
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,5,320,0.434375,0.4966360729266166,0.42397390379011646,0.621875,121,199,242,78,91,30,151,48,False,,,,,,,,,,,,0,0,,,0.25625
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,6,320,0.646875,0.5881265833298726,0.5856584661571427,0.621875,121,199,76,244,42,79,34,165,False,,,,,,,,,,,,0,0,,,0.26249999999999996
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,1,352,0.4659090909090909,0.4829165431122533,0.4645088201974429,0.5710227272727273,201,151,133,219,73,128,60,91,False,0.5870910917027768,0.2812169792710743,0.1104490019381046,0.6381480991840363,0.9228626638650893,0.3615796326110974,0.29848828452469944,0.7949999999999999,0.5030056053906442,0.5055022898751277,0.5255681818181818,226,126,0.03849678519320132,0.022585746762874392,0.12215909090909094
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,2,352,0.5454545454545454,0.5239588437040666,0.5136610134364962,0.5539772727272727,195,157,247,105,141,54,106,51,False,0.32544971275439655,0.3151437129052998,0.042291587591171256,0.1588223725557327,0.9225981265306472,0.3458551455441689,0.3099208992207423,0.1292514652013778,0.5510783933875758,0.5588763677935652,0.5511363636363636,153,199,0.03741737995107963,0.03491752408949855,0.20170454545454547
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,3,352,0.5085227272727273,0.5065876578293022,0.501077383146942,0.5085227272727273,173,179,136,216,68,105,68,111,False,0.5953967652378858,0.34480127731824517,0.04519868977367873,0.7137139141559601,0.9743822485208511,0.3777970403093595,0.32540048558836465,0.4799999999999999,0.5086543830262423,0.5149675460974585,0.5170454545454546,133,219,0.007576999879300383,0.008379888268156388,0.11363636363636365
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,4,320,0.5375,0.5150738916256158,0.49582694600579114,0.546875,175,145,237,83,132,43,105,40,False,0.28656253212247973,0.3384788710445591,0.00672315824776881,0.07517745345830915,0.9452225923538208,0.3799196070795746,0.3345160522207152,0.20999999999999996,0.531357409713574,0.5321182266009852,0.540625,190,130,0.0355304637077829,0.01704433497536939,0.24062499999999998
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,5,320,0.503125,0.5068627450980392,0.5027316529676794,0.53125,170,150,141,179,76,94,65,85,False,0.5560014424452675,0.4120064821314583,0.009986676182597815,0.7075201570987701,0.9903603881597518,0.41017048496667785,0.3909242229929078,0.695,0.521496496251918,0.5221568627450981,0.521875,159,161,0.018764843284238553,0.015294117647058902,0.059374999999999956
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,6,320,0.540625,0.5627173373075012,0.5398655984975202,0.61875,198,122,135,185,93,105,42,80,False,0.564160206237284,0.4072432611431592,0.01091849142685532,0.7309214174747467,0.9873476982116699,0.3741092026086788,0.34909410209074854,0.9299999999999999,0.5801644782455654,0.5792763702599768,0.615625,215,105,0.040298879748045136,0.016559032952475627,0.078125
