model,modality,task,subject_column,error_metric,n_rows,n_unique_subjects,mean_subject_mae,median_subject_mae,p90_subject_mae,max_subject_mae,mean_subject_rmse,high_error_rows_at_or_above_p90,top_error_subjects,subject_concentration_interpretation
mean_baseline_no_training,EEG,arousal,subject_id,mean_abs_error,63,63,0.25404825908858164,0.2570564516129032,0.2580645161290322,0.2580645161290322,0.29053695614353,15,8;43;58;2;48,no_strong_subject_tail_by_available_summary
mean_baseline_no_training,EEG,valence,subject_id,mean_abs_error,63,63,0.25251216077828975,0.2540322580645161,0.2580645161290322,0.2580645161290323,0.2925686871162123,12,61;43;8;2;5,no_strong_subject_tail_by_available_summary
mean_baseline_no_training,EMG,arousal,subject_id,mean_abs_error,63,63,0.25404825908858164,0.2570564516129032,0.2580645161290322,0.2580645161290322,0.29053695614353,15,8;43;58;2;48,no_strong_subject_tail_by_available_summary
mean_baseline_no_training,EMG,valence,subject_id,mean_abs_error,63,63,0.25251216077828975,0.2540322580645161,0.2580645161290322,0.2580645161290323,0.2925686871162123,12,61;43;8;2;5,no_strong_subject_tail_by_available_summary
ridge_regression_summary_features,EEG,arousal,subject_id,mean_abs_error,63,63,0.26945084648764683,0.2631728119288328,0.28229844225371303,0.644683406868029,0.3137098426789097,7,34;1;3;10;62,no_strong_subject_tail_by_available_summary
ridge_regression_summary_features,EEG,valence,subject_id,mean_abs_error,63,63,0.2734697038273185,0.2644255156643564,0.2922549949655071,0.4604225334233827,0.3217927062148867,7,34;9;3;1;38,no_strong_subject_tail_by_available_summary
ridge_regression_summary_features,EMG,arousal,subject_id,mean_abs_error,63,63,0.2576846570308289,0.2570704312617706,0.26139201748613544,0.3659645714652052,0.29616626852327843,7,56;34;27;22;41,no_strong_subject_tail_by_available_summary
ridge_regression_summary_features,EMG,valence,subject_id,mean_abs_error,63,63,0.2730446223561526,0.2545779822965379,0.26117149406789125,1.4441376028004804,0.3262484252646442,7,56;34;27;59;6,no_strong_subject_tail_by_available_summary
