model,training_category,modality,task,n_runs,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_macro_f1,mean_accuracy,mean_pred_positive_rate,one_class_pred_count,folds_over_055_bal_acc,folds_under_045_bal_acc,mean_majority_baseline_bal_acc,delta_vs_majority_baseline_bal_acc,mean_random_baseline_bal_acc,delta_vs_random_baseline_bal_acc
logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,6,0.5212300585899118,0.018717293410591654,0.5025985275010827,0.5499772830531576,0.5212300585899118,0.5212300585899118,0.5,0,0,0,0.5,0.021230058589911782,0.501244141659629,0.019985916930282732
logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,6,0.5144921704153708,0.019099822626729233,0.49320473476545373,0.5422401016303197,0.5144921704153708,0.5144921704153708,0.5,0,0,0,0.5,0.014492170415370764,0.49815532190815914,0.01633684850721162
logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,6,0.5078025298608785,0.007004092217327573,0.5006815084052704,0.5207882200086618,0.5078025298608785,0.5078025298608785,0.5,0,0,0,0.5,0.007802529860878482,0.4992167923033723,0.00858573755750619
logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,6,0.5110322609499353,0.015865994575074722,0.4871766768960982,0.5339388145315488,0.5110322577557423,0.5110322609499353,0.5000182264018712,0,0,0,0.5,0.011032260949935258,0.49350733135725183,0.017524929592683425
majority_train_label_no_training,no_training_control,EEG,arousal,6,0.5,0.0,0.5,0.5,0.3333333333333333,0.5,1.0,6,0,0,0.5,0.0,0.501244141659629,-0.00124414165962905
majority_train_label_no_training,no_training_control,EEG,valence,6,0.5,0.0,0.5,0.5,0.3333333333333333,0.5,1.0,6,0,0,0.5,0.0,0.49815532190815914,0.0018446780918408567
majority_train_label_no_training,no_training_control,EMG,arousal,6,0.5,0.0,0.5,0.5,0.3333333333333333,0.5,1.0,6,0,0,0.5,0.0,0.4992167923033723,0.000783207696627708
majority_train_label_no_training,no_training_control,EMG,valence,6,0.5,0.0,0.5,0.5,0.3333333333333333,0.5,1.0,6,0,0,0.5,0.0,0.49350733135725183,0.006492668642748167
random_balanced_no_training,no_training_control,EEG,arousal,6,0.501244141659629,0.005804611185374218,0.494586401039411,0.5104497955474784,0.5012325352501827,0.501244141659629,0.5043241779759625,0,0,0,0.5,0.00124414165962905,0.501244141659629,0.0
random_balanced_no_training,no_training_control,EEG,valence,6,0.49815532190815914,0.0067057103643954055,0.48802882380288237,0.5061376589215256,0.49814319622084163,0.49815532190815914,0.501558049805187,0,0,0,0.5,-0.0018446780918408567,0.49815532190815914,0.0
random_balanced_no_training,no_training_control,EMG,arousal,6,0.4992167923033723,0.00432719663295149,0.491060642667311,0.5047705588368924,0.49919906291179655,0.4992167923033723,0.4962210448944457,0,0,0,0.5,-0.000783207696627708,0.4992167923033723,0.0
random_balanced_no_training,no_training_control,EMG,valence,6,0.49350733135725183,0.005007605745481096,0.4866286716352477,0.50046490004649,0.4934973235766759,0.49350733135725183,0.4978701710817614,0,0,0,0.5,-0.006492668642748167,0.49350733135725183,0.0
ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,6,0.5216709095350218,0.018748839652001463,0.5053943898345721,0.5497501135847342,0.5216709095350218,0.5216709095350218,0.5,0,0,0,0.5,0.02167090953502182,0.501244141659629,0.02042676787539277
ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,6,0.514171467706751,0.019005266163483456,0.48991670320035074,0.5413931822993859,0.514171467706751,0.514171467706751,0.5,0,0,0,0.5,0.01417146770675104,0.49815532190815914,0.016016145798591896
ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,6,0.5070697458002597,0.0063992789635166,0.4984098137210359,0.516240796881767,0.5070697458002597,0.5070697458002597,0.5,0,0,0,0.5,0.0070697458002596525,0.4992167923033723,0.00785295349688736
ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,6,0.511954974495675,0.015531885929164985,0.4868478737395879,0.5351338432122371,0.511954974495675,0.511954974495675,0.5,0,0,0,0.5,0.011954974495674953,0.49350733135725183,0.01844764313842312
