modality,task,label_policy,n,n_features,subject_eta_mean,subject_eta_median,subject_eta_max,label_eta_mean,label_eta_median,label_eta_max,subject_to_label_eta_ratio,label_abs_corr_mean,label_abs_corr_max,label_centroid_separation,subject_dominance_flag
EEG,valence,discard_midpoint,1667,96,0.44193086804550047,0.5499232086023161,0.9336073357156198,0.0003618772962510992,0.00015221655319968072,0.0038877139827978003,1221.2174475263398,0.014926504649274171,0.062351535528788686,0.041132777212934714,True
EEG,valence,midpoint_as_low,2016,96,0.44193086804550047,0.5499232086023161,0.9336073357156198,0.0002773263002711671,0.00013793890591753502,0.0029433009647646825,1593.541137690095,0.012981136180962034,0.05425219778741401,0.03661123582505169,True
EEG,valence,midpoint_as_high,2016,96,0.44193086804550047,0.5499232086023161,0.9336073357156198,0.00048446632619125697,0.00019910715173734514,0.003597323043458581,912.2014145334749,0.017357332878474758,0.05997768788023254,0.04862804152703829,True
EEG,arousal,discard_midpoint,1799,96,0.44193086804550047,0.5499232086023161,0.9336073357156198,0.00131395014630299,0.00048320368931679015,0.012014132458524833,336.3376223131022,0.027368963175485775,0.10960899807280823,0.0807771841231032,True
EEG,arousal,midpoint_as_low,2016,96,0.44193086804550047,0.5499232086023161,0.9336073357156198,0.0010531709262456333,0.0004102328869989414,0.009990135710489212,419.61932012394726,0.024423019124446776,0.09995066638341725,0.07447260351707316,True
EEG,arousal,midpoint_as_high,2016,96,0.44193086804550047,0.5499232086023161,0.9336073357156198,0.0011832840425970643,0.00038250622424661413,0.008285018542305298,373.4782623076311,0.025792286726816663,0.09102207722473318,0.07525936516942977,True
EMG,valence,discard_midpoint,1667,22,0.2683318090289653,0.2345800413542823,0.6696809946334101,0.0003431193028556648,0.00029562959787448977,0.0008693316453341746,782.0364718502611,0.015875434219614713,0.02948443055807887,0.06119810847027975,True
EMG,valence,midpoint_as_low,2016,22,0.2683318090289653,0.2345800413542823,0.6696809946334101,0.0003168986679587402,0.00028951630526274013,0.0010026852587940302,846.7432531584568,0.0151149677099928,0.031665205806911,0.05706245689254902,True
EMG,valence,midpoint_as_high,2016,22,0.2683318090289653,0.2345800413542823,0.6696809946334101,0.0003014501832696123,0.00017878501298960325,0.0007428147064576289,890.1364932625487,0.014369502794713766,0.027254627248554097,0.05536729056938277,True
EMG,arousal,discard_midpoint,1799,22,0.2683318090289653,0.2345800413542823,0.6696809946334101,0.0007703505923157502,0.0007444764726828657,0.0026864074107540137,348.32427170898035,0.026375962530984166,0.05183056444564358,0.09046185627887529,True
EMG,arousal,midpoint_as_low,2016,22,0.2683318090289653,0.2345800413542823,0.6696809946334101,0.0007852715353739845,0.0006823152751508153,0.0019982808099636745,341.7057628367653,0.026979396915551564,0.044702134288685504,0.0919319007317336,True
EMG,arousal,midpoint_as_high,2016,22,0.2683318090289653,0.2345800413542823,0.6696809946334101,0.0005142437834536688,0.0005451197030416283,0.002188937155527085,521.7988387275096,0.019966190653258224,0.046786078650888005,0.07156371645305172,True
