run_id,candidate_id,method_family,modality,task,fold,accuracy,balanced_accuracy,macro_f1,one_class_pred,n_train,n_val,positive_pair_coverage_final_epoch,embedding_norm_mean,embedding_norm_std,confusion_json
1,A0_CE_control,control,EEG,valence,1,0.5596590909090909,0.5295871635201476,0.5201533820567619,False,1664,352,0.0,3.412013292312622,1.1026095151901245,"{""fn"": 52, ""fp"": 103, ""tn"": 48, ""tp"": 149}"
2,A0_CE_control,control,EEG,valence,2,0.5454545454545454,0.5308691043985162,0.5309012160586373,False,1664,352,0.0,3.5985300540924072,2.3227195739746094,"{""fn"": 77, ""fp"": 83, ""tn"": 65, ""tp"": 127}"
3,A0_CE_control,control,EEG,valence,3,0.5142045454545454,0.5124365567543948,0.5081669839765327,False,1664,352,0.0,3.8997955322265625,2.429663896560669,"{""fn"": 101, ""fp"": 70, ""tn"": 71, ""tp"": 110}"
4,A0_CE_control,control,EEG,valence,4,0.5375,0.5352226720647774,0.531571451178984,False,1696,320,0.0,4.076967239379883,2.264969825744629,"{""fn"": 86, ""fp"": 62, ""tn"": 68, ""tp"": 104}"
5,A0_CE_control,control,EEG,valence,5,0.53125,0.532414136799701,0.5238095238095238,False,1696,320,0.0,3.1207022666931152,0.8586440086364746,"{""fn"": 94, ""fp"": 56, ""tn"": 65, ""tp"": 105}"
6,A0_CE_control,control,EEG,valence,6,0.53125,0.5291747996179244,0.5222169135212613,False,1696,320,0.0,3.3937251567840576,1.3040646314620972,"{""fn"": 92, ""fp"": 58, ""tn"": 63, ""tp"": 107}"
7,A0_CE_control,control,EEG,arousal,1,0.5397727272727273,0.5451220717604033,0.5390435541759627,False,1664,352,0.0,3.39473557472229,1.1928001642227173,"{""fn"": 63, ""fp"": 99, ""tn"": 102, ""tp"": 88}"
8,A0_CE_control,control,EEG,arousal,2,0.5198863636363636,0.5157765801077903,0.5156291983878191,False,1664,352,0.0,3.7843544483184814,3.3124725818634033,"{""fn"": 82, ""fp"": 87, ""tn"": 108, ""tp"": 75}"
9,A0_CE_control,control,EEG,arousal,3,0.5454545454545454,0.5448380534116963,0.5445134575569358,False,1664,352,0.0,3.5259206295013428,1.6067407131195068,"{""fn"": 75, ""fp"": 85, ""tn"": 88, ""tp"": 104}"
10,A0_CE_control,control,EEG,arousal,4,0.465625,0.4724137931034483,0.4652019663992025,False,1696,320,0.0,3.926241397857666,2.038485288619995,"{""fn"": 66, ""fp"": 105, ""tn"": 70, ""tp"": 79}"
11,A0_CE_control,control,EEG,arousal,5,0.521875,0.513921568627451,0.5094139219831862,False,1696,320,0.0,3.1701648235321045,0.9133841395378113,"{""fn"": 92, ""fp"": 61, ""tn"": 109, ""tp"": 58}"
12,A0_CE_control,control,EEG,arousal,6,0.528125,0.524300380857758,0.5186052303860523,False,1696,320,0.0,3.264322280883789,0.9567064046859741,"{""fn"": 60, ""fp"": 91, ""tn"": 107, ""tp"": 62}"
13,A0_CE_control,control,EMG,valence,1,0.45454545454545453,0.44743171559421435,0.4474097331240189,False,1664,352,0.0,1.1949853897094727,0.5359935164451599,"{""fn"": 101, ""fp"": 91, ""tn"": 60, ""tp"": 100}"
14,A0_CE_control,control,EMG,valence,2,0.48863636363636365,0.5022522522522522,0.4886198547215497,False,1664,352,0.0,1.378440499305725,1.837550163269043,"{""fn"": 119, ""fp"": 61, ""tn"": 87, ""tp"": 85}"
15,A0_CE_control,control,EMG,valence,3,0.5511363636363636,0.5197136230714934,0.5182259182259182,False,1664,352,0.0,1.2354092597961426,0.495133638381958,"{""fn"": 68, ""fp"": 90, ""tn"": 51, ""tp"": 143}"
16,A0_CE_control,control,EMG,valence,4,0.471875,0.47753036437246965,0.47000656611687686,False,1696,320,0.0,1.2774368524551392,0.4645040035247803,"{""fn"": 105, ""fp"": 64, ""tn"": 66, ""tp"": 85}"
17,A0_CE_control,control,EMG,valence,5,0.584375,0.5168196353669172,0.5037255565013585,False,1696,320,0.0,2.49603009223938,3.4950649738311768,"{""fn"": 41, ""fp"": 92, ""tn"": 29, ""tp"": 158}"
18,A0_CE_control,control,EMG,valence,6,0.5375,0.543917936791395,0.5322191932361424,False,1696,320,0.0,1.1776267290115356,0.793646514415741,"{""fn"": 96, ""fp"": 52, ""tn"": 69, ""tp"": 103}"
19,A0_CE_control,control,EMG,arousal,1,0.5568181818181818,0.5592237488056406,0.5550802139037433,False,1664,352,0.0,1.5396872758865356,0.5560938119888306,"{""fn"": 64, ""fp"": 92, ""tn"": 109, ""tp"": 87}"
20,A0_CE_control,control,EMG,arousal,2,0.5568181818181818,0.54848930262943,0.5484210526315789,False,1664,352,0.0,1.5006645917892456,1.648063063621521,"{""fn"": 83, ""fp"": 73, ""tn"": 122, ""tp"": 74}"
21,A0_CE_control,control,EMG,arousal,3,0.48295454545454547,0.4852262085445797,0.4747474747474748,False,1664,352,0.0,1.219156265258789,0.5071764588356018,"{""fn"": 116, ""fp"": 66, ""tn"": 107, ""tp"": 63}"
22,A0_CE_control,control,EMG,arousal,4,0.49375,0.4957635467980296,0.4934333958724203,False,1696,320,0.0,1.2504231929779053,0.42009034752845764,"{""fn"": 70, ""fp"": 92, ""tn"": 83, ""tp"": 75}"
