inventory_id,source_archive,source_path,basename,bytes,sha256,script_type_guess,scientific_stage_guess,contains_git_commit_or_push,contains_training_or_cuda_hint,provenance,backfill_status
HIST001,Downloads.tar.gz,build_commit_idare_broader_eval_report.sh,build_commit_idare_broader_eval_report.sh,19965,a44b57153c7dc9c54980a7032866f9cf59e789d0c3acf28b0c5b17e2283f88da,build_or_commit_command,broader_eval,true,true,user_uploaded_downloads_archive,candidate_not_yet_committed
HIST002,Downloads.tar.gz,create_idare_broader_eval_objective.sh,create_idare_broader_eval_objective.sh,12231,1ff11a50ab9425c6e033043161ae5f0cae8ca980d984335e50a3b2a99739e13e,objective_or_review_creator,broader_eval,true,true,user_uploaded_downloads_archive,candidate_not_yet_committed
HIST003,Downloads.tar.gz,create_idare_broader_eval_review_closeout.sh,create_idare_broader_eval_review_closeout.sh,10658,f621ce220736cf3452cde569d83e5db71a22e6881aeaca53f7f6a1e3ed4123e1,objective_or_review_creator,broader_eval,true,true,user_uploaded_downloads_archive,candidate_not_yet_committed
HIST004,Downloads.tar.gz,create_idare_calibration_protocol_objective.sh,create_idare_calibration_protocol_objective.sh,19795,0acaa5ef9b38a6e151e21df284bacf1d1ede1fc5602a0c80c719034445e3ccbd,objective_or_review_creator,calibration,true,true,user_uploaded_downloads_archive,candidate_not_yet_committed
HIST005,Downloads.tar.gz,create_idare_calibration_subject_generalization_objective.sh,create_idare_calibration_subject_generalization_objective.sh,21222,55a4a6ef5551c1cee5f01c3f7466952ecadf86ce9c004fc783291bf18b472cc0,objective_or_review_creator,calibration,true,true,user_uploaded_downloads_archive,candidate_not_yet_committed
HIST006,Downloads.tar.gz,create_idare_cautious_subject_variability_supcon_dg_design_objective.sh,create_idare_cautious_subject_variability_supcon_dg_design_objective.sh,27505,80060a9fbabe627efc00c81d59843384e8b0c6b9e0b83bcd1777d49f587a4571,objective_or_review_creator,subject_variability_supcon_dg,true,true,user_uploaded_downloads_archive,candidate_not_yet_committed
HIST007,Downloads.tar.gz,create_idare_diagnostic_sanity_tests_objective.sh,create_idare_diagnostic_sanity_tests_objective.sh,20753,fb08d681316f0e7b7437143129ab3e11cfce4a13dbbcc78fba37d1d008981ab7,objective_or_review_creator,diagnostic_sanity,true,true,user_uploaded_downloads_archive,candidate_not_yet_committed
HIST008,Downloads.tar.gz,create_idare_failure_analysis_objective.sh,create_idare_failure_analysis_objective.sh,15088,adf7581b7813467a8f9985f0c3515877d1348addbc8779d3cc18439ac3096230,objective_or_review_creator,failure_analysis,true,true,user_uploaded_downloads_archive,candidate_not_yet_committed
HIST009,Downloads.tar.gz,create_idare_label_policy_ablation_objective.sh,create_idare_label_policy_ablation_objective.sh,13307,098eb7748e5947aef65e74e8008984e53b1a7a899e9efae032a5c65a99f88d0b,objective_or_review_creator,label_policy,true,true,user_uploaded_downloads_archive,candidate_not_yet_committed
HIST010,Downloads.tar.gz,create_idare_label_policy_review_closeout.sh,create_idare_label_policy_review_closeout.sh,13932,d3cce56bab85dd170f951573b207c8569b9f41077388fceff4215af4d7959a0c,objective_or_review_creator,label_policy,true,true,user_uploaded_downloads_archive,candidate_not_yet_committed
