target,modality,da_policy,runs,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,mean_macro_f1,one_class_collapse_count
arousal,EEG,E0_none_baseline,6,0.5364855216327804,0.05519389177587074,0.5420454545454546,0.5273372083276607,0
arousal,EEG,E1_additive_gaussian_noise_weak,6,0.535899826890389,0.05707658005436651,0.5415246212121212,0.5269508796580006,0
arousal,EEG,E2_additive_gaussian_noise_medium,6,0.5395932975750529,0.05675079763789389,0.5456439393939394,0.530993805929876,0
arousal,EEG,E3_amplitude_scaling,6,0.5359815865698618,0.052529590207894404,0.5413825757575758,0.5281660459907341,0
arousal,EEG,E4_time_channel_masking_or_dropout,6,0.5553819733865536,0.026640800692663013,0.556439393939394,0.5481235405856344,0
arousal,EMG,M0_none_baseline,6,0.4676187144813137,0.021133385353291654,0.47537878787878785,0.462267080970341,0
arousal,EMG,M1_feature_gaussian_jitter_weak,6,0.46747105485894486,0.019861893123151182,0.4744318181818182,0.4618655563886886,0
arousal,EMG,M2_feature_gaussian_jitter_medium,6,0.4691854679176393,0.018953544774601604,0.47679924242424243,0.4632514389472564,0
arousal,EMG,M3_feature_scaling,6,0.46465875481651037,0.023067278173559042,0.4731534090909091,0.45934482803673315,0
arousal,EMG,M4_feature_dropout,6,0.4624908288553842,0.029030461688217154,0.473342803030303,0.46144570455763595,0
valence,EEG,E0_none_baseline,6,0.4979501202495756,0.026443395014861776,0.5009469696969697,0.4914603130735456,0
valence,EEG,E1_additive_gaussian_noise_weak,6,0.4967827270367278,0.028552429276250457,0.5003314393939394,0.4904362295434,0
valence,EEG,E2_additive_gaussian_noise_medium,6,0.49981474551976657,0.02694218187242696,0.5028409090909091,0.4931544003134872,0
valence,EEG,E3_amplitude_scaling,6,0.4967847946769243,0.027929908259919763,0.5003787878787879,0.4905214140456478,0
valence,EEG,E4_time_channel_masking_or_dropout,6,0.49392273917499563,0.020865335957433773,0.4942708333333334,0.4881159798188901,0
valence,EMG,M0_none_baseline,6,0.5076758649770308,0.025085868048965097,0.49976325757575757,0.49150500214698867,0
valence,EMG,M1_feature_gaussian_jitter_weak,6,0.5091994286012897,0.02675243307572392,0.5022253787878788,0.4934394305260971,0
valence,EMG,M2_feature_gaussian_jitter_medium,6,0.49771413088905997,0.03379950159024989,0.49275568181818175,0.4827048506393827,0
valence,EMG,M3_feature_scaling,6,0.5031083606189054,0.02120579745122494,0.49322916666666666,0.48612429278926395,0
valence,EMG,M4_feature_dropout,6,0.494518257458888,0.026739134836550823,0.5082386363636363,0.48575567244554746,0
