run_id,cell_id,cell_name,normalization,transductive,strict_nontransductive_allowed,dataset,modality,task,formulation,input,model,fold,n_train_subjects,n_val_subjects,n_train_pairs,n_val_pairs,train_positive_rate,val_positive_rate,accuracy,balanced_accuracy,macro_f1,pred_positive_rate,true_positive_rate,one_class_pred,delta_vs_ref_mean_bal_acc,positive_fold_bal_acc_gt_0_5,leakage_or_transductive_labeling_issue
1,B0,none_current,none/current,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),1,52,11,21694,4402,0.561076795427307,0.5365742844161745,0.5502044525215811,0.5380615878866364,0.5303999032778841,0.6687869150386188,0.5365742844161745,False,0.016390678386636437,True,False
2,B0,none_current,none/current,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),2,52,11,21418,4678,0.5564011579045662,0.5594271056006841,0.5284309533988885,0.5127056196032473,0.5101377221848484,0.6338178708849936,0.5594271056006841,False,-0.008965289896752604,True,False
3,B0,none_current,none/current,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),3,52,11,21478,4618,0.5567091907998882,0.5580337808575141,0.5220874837592031,0.5041730858114892,0.49940526929878654,0.6548289302728454,0.5580337808575141,False,-0.017497823688510716,True,False
4,B0,none_current,none/current,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),4,53,10,21925,4171,0.5601368301026226,0.5401582354351474,0.5320067130184608,0.5166806903736739,0.5053072374513011,0.6921601534404219,0.5401582354351474,False,-0.004990219126326023,True,False
5,B0,none_current,none/current,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),5,53,10,22008,4088,0.5522082878953108,0.5824363992172211,0.5217710371819961,0.49717299151380767,0.4947732493383314,0.6487279843444227,0.5824363992172211,False,-0.024497917986192275,False,False
6,B0,none_current,none/current,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),6,53,10,21957,4139,0.5551760258687435,0.5663203672384634,0.5366030442135782,0.5211277296624108,0.5200349940386797,0.619473302730128,0.5663203672384634,False,-0.0005431798375891139,True,False
7,B1,per_subject_zscore_transductive,per-subject z-score using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),1,52,11,21694,4402,0.561076795427307,0.5365742844161745,0.5263516583371195,0.5142642493068353,0.5060229583660631,0.6662880508859609,0.5365742844161745,False,-0.007406660193164605,True,False
8,B1,per_subject_zscore_transductive,per-subject z-score using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),2,52,11,21418,4678,0.5564011579045662,0.5594271056006841,0.5316374519025224,0.5201587537314802,0.5195833735457838,0.5989739204788371,0.5594271056006841,False,-0.0015121557685197073,True,False
9,B1,per_subject_zscore_transductive,per-subject z-score using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),3,52,11,21478,4618,0.5567091907998882,0.5580337808575141,0.5298830662624513,0.514113277728947,0.5111932586773175,0.6375054135989606,0.5580337808575141,False,-0.007557631771052953,True,False
10,B1,per_subject_zscore_transductive,per-subject z-score using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),4,53,10,21925,4171,0.5601368301026226,0.5401582354351474,0.5123471589546871,0.49976187467804484,0.4926919489092996,0.6566770558619036,0.5401582354351474,False,-0.02190903482195511,False,False
