model,training_category,modality,task,n_runs,mean_spearman_rho,std_spearman_rho,min_spearman_rho,max_spearman_rho,mean_mae_rank_percentile,mean_rmse_rank_percentile,mean_top_bottom_q33_balanced_accuracy,mean_permutation_control_spearman,folds_positive_spearman,folds_over_010_spearman,folds_under_000_spearman,mean_baseline_spearman_rho,mean_baseline_mae,mean_baseline_rmse,delta_vs_mean_baseline_spearman,delta_vs_mean_baseline_mae,delta_vs_mean_baseline_rmse
mean_baseline_no_training,no_training_control,EEG,arousal,6,0.0,0.0,0.0,0.0,0.25404142228739,0.2906045537826184,0.5,,0,0,0,0.0,0.25404142228739,0.2906045537826184,0.0,0.0,0.0
mean_baseline_no_training,no_training_control,EEG,valence,6,0.0,0.0,0.0,0.0,0.25245295698924736,0.29255926858015163,0.5,,0,0,0,0.0,0.25245295698924736,0.29255926858015163,0.0,0.0,0.0
mean_baseline_no_training,no_training_control,EMG,arousal,6,0.0,0.0,0.0,0.0,0.25404142228739,0.2906045537826184,0.5,,0,0,0,0.0,0.25404142228739,0.2906045537826184,0.0,0.0,0.0
mean_baseline_no_training,no_training_control,EMG,valence,6,0.0,0.0,0.0,0.0,0.25245295698924736,0.29255926858015163,0.5,,0,0,0,0.0,0.25245295698924736,0.29255926858015163,0.0,0.0,0.0
ridge_regression_summary_features,minimal_classical_regression_baseline,EEG,arousal,6,0.006946207794990922,0.04200982605287369,-0.0545631245525996,0.06362507867083911,0.269244060723712,0.31934836073021505,0.5048829233537683,0.008219972097111712,4,0,2,0.0,0.25404142228739,0.2906045537826184,0.006946207794990922,-0.015202638436321969,-0.02874380694759665
ridge_regression_summary_features,minimal_classical_regression_baseline,EEG,valence,6,-0.010522113541458258,0.04522342412140275,-0.09183388667544089,0.03429082004286569,0.273133493061652,0.3256268098617038,0.5016693297244023,-0.011130770077244055,3,0,3,0.0,0.25245295698924736,0.29255926858015163,-0.010522113541458258,-0.020680536072404665,-0.03306754128155215
ridge_regression_summary_features,minimal_classical_regression_baseline,EMG,arousal,6,-0.019788794015352135,0.020689907985767506,-0.04386797412124682,0.00972885487669092,0.25776743680288255,0.297146872094902,0.477479424860108,0.009338060991177547,1,0,5,0.0,0.25404142228739,0.2906045537826184,-0.019788794015352135,-0.0037260145154925373,-0.006542318312283579
ridge_regression_summary_features,minimal_classical_regression_baseline,EMG,valence,6,0.019171068580299756,0.03616566585938214,-0.02218678848688097,0.0703934891849777,0.2738398698175183,0.37267500096217704,0.507051545095359,0.003361478472845352,4,0,2,0.0,0.25245295698924736,0.29255926858015163,0.019171068580299756,-0.021386912828270932,-0.0801157323820254
