modality,task,fold,n_train_subjects,n_val_subjects,n_train_rows,n_val_rows,subject_overlap,row_overlap,val_target_n,val_target_std,fold_leakage_passed,target_distribution_passed
EEG,valence,1,52,11,1664,352,0,0,352,0.2930791260680114,True,True
EEG,valence,2,52,11,1664,352,0,0,352,0.2933941660884396,True,True
EEG,valence,3,52,11,1664,352,0,0,352,0.2930009437227461,True,True
EEG,valence,4,53,10,1696,320,0,0,320,0.29290129404649323,True,True
EEG,valence,5,53,10,1696,320,0,0,320,0.2916496328210646,True,True
EEG,valence,6,53,10,1696,320,0,0,320,0.29127029456385933,True,True
EEG,arousal,1,52,11,1664,352,0,0,352,0.29125278642807695,True,True
EEG,arousal,2,52,11,1664,352,0,0,352,0.2925768824506584,True,True
EEG,arousal,3,52,11,1664,352,0,0,352,0.29012904921299715,True,True
EEG,arousal,4,53,10,1696,320,0,0,320,0.2908876669016118,True,True
EEG,arousal,5,53,10,1696,320,0,0,320,0.29006765241244425,True,True
EEG,arousal,6,53,10,1696,320,0,0,320,0.2883811655953545,True,True
EMG,valence,1,52,11,1664,352,0,0,352,0.2930791260680114,True,True
EMG,valence,2,52,11,1664,352,0,0,352,0.2933941660884396,True,True
EMG,valence,3,52,11,1664,352,0,0,352,0.2930009437227461,True,True
EMG,valence,4,53,10,1696,320,0,0,320,0.29290129404649323,True,True
EMG,valence,5,53,10,1696,320,0,0,320,0.2916496328210646,True,True
EMG,valence,6,53,10,1696,320,0,0,320,0.29127029456385933,True,True
EMG,arousal,1,52,11,1664,352,0,0,352,0.29125278642807695,True,True
EMG,arousal,2,52,11,1664,352,0,0,352,0.2925768824506584,True,True
EMG,arousal,3,52,11,1664,352,0,0,352,0.29012904921299715,True,True
EMG,arousal,4,53,10,1696,320,0,0,320,0.2908876669016118,True,True
EMG,arousal,5,53,10,1696,320,0,0,320,0.29006765241244425,True,True
EMG,arousal,6,53,10,1696,320,0,0,320,0.2883811655953545,True,True
