global_run_id,epoch,ce_loss,supcon_loss,vrex_loss,total_loss,active_lambda_supcon,active_lambda_vrex,positive_pair_coverage,anchors_without_positive,vrex_environment_count
1,1,0.6962674260139465,7.475269794464111,0.0,0.6962674260139465,0.0,0.0,1.0,0.0,0
1,2,0.6924498677253723,7.478518009185791,0.0,0.6924498677253723,0.0,0.0,1.0,0.0,0
1,3,0.6900253891944885,7.473560810089111,0.0,0.6900253891944885,0.0,0.0,1.0,0.0,0
1,4,0.6881836652755737,7.475863456726074,0.0,1.435770034790039,0.1,0.0,1.0,0.0,0
1,5,0.6869327425956726,7.422666072845459,0.0,1.4291993379592896,0.1,0.0,1.0,0.0,0
1,6,0.6855601668357849,7.365130424499512,0.0,1.422073245048523,0.1,0.0,1.0,0.0,0
1,7,0.6846970915794373,7.325079917907715,0.0,1.4172050952911377,0.1,0.0,1.0,0.0,0
1,8,0.6828675866127014,7.2979254722595215,0.0,1.4126601219177246,0.1,0.0,1.0,0.0,0
1,9,0.6825510263442993,7.274860382080078,0.0,1.4100370407104492,0.1,0.0,1.0,0.0,0
1,10,0.6811451315879822,7.260743618011475,0.0,1.4072195291519165,0.1,0.0,1.0,0.0,0
1,11,0.6793768405914307,7.250495433807373,0.0,1.4044263362884521,0.1,0.0,1.0,0.0,0
1,12,0.6780077815055847,7.241904258728027,0.0,1.4021981954574585,0.1,0.0,1.0,0.0,0
2,1,0.6943305134773254,7.563570976257324,0.0,0.6943305134773254,0.0,0.0,1.0,0.0,0
2,2,0.6917323470115662,7.577138423919678,0.0,0.6917323470115662,0.0,0.0,1.0,0.0,0
2,3,0.6895682215690613,7.582165718078613,0.0,0.6895682215690613,0.0,0.0,1.0,0.0,0
2,4,0.6872574687004089,7.594814777374268,0.0,1.4467389583587646,0.1,0.0,1.0,0.0,0
2,5,0.686115562915802,7.504813194274902,0.0,1.4365968704223633,0.1,0.0,1.0,0.0,0
2,6,0.6844437718391418,7.425825119018555,0.0,1.4270262718200684,0.1,0.0,1.0,0.0,0
2,7,0.684220016002655,7.368880748748779,0.0,1.4211081266403198,0.1,0.0,1.0,0.0,0
2,8,0.6831982731819153,7.3263044357299805,0.0,1.4158287048339844,0.1,0.0,1.0,0.0,0
2,9,0.6812313795089722,7.295248031616211,0.0,1.4107561111450195,0.1,0.0,1.0,0.0,0
2,10,0.6802295446395874,7.273746967315674,0.0,1.4076042175292969,0.1,0.0,1.0,0.0,0
2,11,0.6788206696510315,7.259019374847412,0.0,1.4047226905822754,0.1,0.0,1.0,0.0,0
2,12,0.6766837239265442,7.245674133300781,0.0,1.4012510776519775,0.1,0.0,1.0,0.0,0
3,1,0.6973312497138977,7.586226940155029,0.0,0.6973312497138977,0.0,0.0,1.0,0.0,0
3,2,0.6933866739273071,7.577255725860596,0.0,0.6933866739273071,0.0,0.0,1.0,0.0,0
3,3,0.6911296248435974,7.573550224304199,0.0,0.6911296248435974,0.0,0.0,1.0,0.0,0
3,4,0.6879348158836365,7.5732855796813965,0.0,1.445263385772705,0.1,0.0,1.0,0.0,0
3,5,0.6859060525894165,7.503407001495361,0.0,1.4362467527389526,0.1,0.0,1.0,0.0,0
3,6,0.6849721670150757,7.435357570648193,0.0,1.428507924079895,0.1,0.0,1.0,0.0,0
3,7,0.6828348636627197,7.379745960235596,0.0,1.4208095073699951,0.1,0.0,1.0,0.0,0
3,8,0.6816672682762146,7.343347072601318,0.0,1.4160020351409912,0.1,0.0,1.0,0.0,0
