modality,task,da_policy,runs,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,mean_macro_f1,one_class_collapse_count,mean_delta_vs_no_da,fold_wins_vs_no_da
EEG,arousal,E0_none_baseline,6,0.5342988591690023,0.012075236409138396,0.5498579545454545,0.4977256538911137,0,0.0,0
EEG,arousal,E1_additive_gaussian_noise_weak,6,0.5486431915971081,0.03120585958865024,0.5448390151515151,0.5054818409014633,0,0.01434433242810563,4
EEG,arousal,E2_additive_gaussian_noise_medium,6,0.5192914994546104,0.012383123501849216,0.5133522727272728,0.45445356994045955,0,-0.015007359714392062,1
EEG,arousal,E3_amplitude_scaling,6,0.5133854098874173,0.013433347043211672,0.5237689393939394,0.4916846186124195,0,-0.020913449281585006,1
EEG,arousal,E4_time_channel_masking_or_dropout,6,0.5275583382980553,0.01631080221194434,0.5151515151515151,0.48880383559092205,0,-0.0067405208709470825,2
EEG,valence,E0_none_baseline,6,0.4980206350730701,0.023150925555409083,0.48555871212121215,0.4396766275229811,0,0.0,0
EEG,valence,E1_additive_gaussian_noise_weak,6,0.5064684861878318,0.018702235958200766,0.5508996212121212,0.45023468609577705,0,0.008447851114761706,4
EEG,valence,E2_additive_gaussian_noise_medium,6,0.49567835317815273,0.022055306823740132,0.4864583333333334,0.42733841849312504,0,-0.0023422818949173176,2
EEG,valence,E3_amplitude_scaling,6,0.4923606025312302,0.02473515261070592,0.5196496212121212,0.4219595341595787,0,-0.005660032541839795,3
EEG,valence,E4_time_channel_masking_or_dropout,6,0.4985141963309793,0.006268135049060425,0.5170928030303029,0.42217328282089434,1,0.0004935612579092715,3
EMG,arousal,M0_none_baseline,6,0.5052686916978472,0.028020685710847634,0.5095643939393939,0.5038277857519348,0,0.0,0
EMG,arousal,M1_feature_gaussian_jitter_weak,6,0.5168909788628961,0.02712557114393944,0.520501893939394,0.5148492908054468,0,0.011622287165048928,4
EMG,arousal,M2_feature_gaussian_jitter_medium,6,0.5245767888229119,0.030095436713953205,0.5265151515151515,0.5212942864185657,0,0.019308097125064705,4
EMG,arousal,M3_feature_scaling,6,0.5211684015484318,0.009056761010222477,0.5232007575757577,0.5188683470438783,0,0.015899709850584493,4
EMG,arousal,M4_feature_dropout,6,0.5251283429036621,0.025968037505106564,0.5302083333333333,0.521280867409916,0,0.019859651205814954,5
EMG,valence,M0_none_baseline,6,0.5152121327837905,0.02351272425118243,0.5172821969696969,0.5081471318849351,0,0.0,0
EMG,valence,M1_feature_gaussian_jitter_weak,6,0.5104492906926066,0.025213773243218905,0.5069602272727273,0.4977818965083692,0,-0.004762842091183855,3
EMG,valence,M2_feature_gaussian_jitter_medium,6,0.5165265752921115,0.03671730857245702,0.5181344696969697,0.5104703824113392,0,0.0013144425083211064,4
EMG,valence,M3_feature_scaling,6,0.513163444564939,0.02753341680010914,0.5178030303030303,0.5096474622285544,0,-0.0020486882188514113,3
EMG,valence,M4_feature_dropout,6,0.5071011486812195,0.019164263734697387,0.5045454545454546,0.49619163725674403,0,-0.00811098410257107,2
