cell_id,cell_name,fold,balanced_accuracy,macro_f1,accuracy,n_val_pairs,val_subjects,transductive
B0,none_current,1,0.5380615878866364,0.5303999032778841,0.5502044525215811,4402,"1,15,20,26,31,37,43,49,55,60,7",False
B0,none_current,2,0.5127056196032473,0.5101377221848484,0.5284309533988885,4678,"10,16,21,27,32,38,44,5,56,61,8",False
B0,none_current,3,0.5041730858114892,0.49940526929878654,0.5220874837592031,4618,"11,17,22,28,33,39,45,50,57,62,9",False
B0,none_current,4,0.5166806903736739,0.5053072374513011,0.5320067130184608,4171,"12,18,23,29,34,40,46,52,58,63",False
B0,none_current,5,0.49717299151380767,0.4947732493383314,0.5217710371819961,4088,"13,19,24,3,35,41,47,53,59,64",False
B0,none_current,6,0.5211277296624108,0.5200349940386797,0.5366030442135782,4139,"14,2,25,30,36,42,48,54,6,65",False
B1,per_subject_zscore_transductive,1,0.5142642493068353,0.5060229583660631,0.5263516583371195,4402,"1,15,20,26,31,37,43,49,55,60,7",True
B1,per_subject_zscore_transductive,2,0.5201587537314802,0.5195833735457838,0.5316374519025224,4678,"10,16,21,27,32,38,44,5,56,61,8",True
B1,per_subject_zscore_transductive,3,0.514113277728947,0.5111932586773175,0.5298830662624513,4618,"11,17,22,28,33,39,45,50,57,62,9",True
B1,per_subject_zscore_transductive,4,0.49976187467804484,0.4926919489092996,0.5123471589546871,4171,"12,18,23,29,34,40,46,52,58,63",True
B1,per_subject_zscore_transductive,5,0.48078790621024137,0.4794301808322892,0.50220156555773,4088,"13,19,24,3,35,41,47,53,59,64",True
B1,per_subject_zscore_transductive,6,0.5197678895681025,0.5171535753462475,0.5385358782314569,4139,"14,2,25,30,36,42,48,54,6,65",True
B2,train_fold_standard_scaler_nontransductive,1,0.5380615878866364,0.5303999032778841,0.5502044525215811,4402,"1,15,20,26,31,37,43,49,55,60,7",False
B2,train_fold_standard_scaler_nontransductive,2,0.5127056196032473,0.5101377221848484,0.5284309533988885,4678,"10,16,21,27,32,38,44,5,56,61,8",False
B2,train_fold_standard_scaler_nontransductive,3,0.5041730858114892,0.49940526929878654,0.5220874837592031,4618,"11,17,22,28,33,39,45,50,57,62,9",False
B2,train_fold_standard_scaler_nontransductive,4,0.5166806903736739,0.5053072374513011,0.5320067130184608,4171,"12,18,23,29,34,40,46,52,58,63",False
B2,train_fold_standard_scaler_nontransductive,5,0.49717299151380767,0.4947732493383314,0.5217710371819961,4088,"13,19,24,3,35,41,47,53,59,64",False
B2,train_fold_standard_scaler_nontransductive,6,0.5211277296624108,0.5200349940386797,0.5366030442135782,4139,"14,2,25,30,36,42,48,54,6,65",False
B3,per_subject_rank_transform_transductive,1,0.5269873487074762,0.5191051308633853,0.5390731485688324,4402,"1,15,20,26,31,37,43,49,55,60,7",True
B3,per_subject_rank_transform_transductive,2,0.5403790614755869,0.5404157042808151,0.5474561778537836,4678,"10,16,21,27,32,38,44,5,56,61,8",True
B3,per_subject_rank_transform_transductive,3,0.529262744699892,0.5271203512026073,0.5441749675184062,4618,"11,17,22,28,33,39,45,50,57,62,9",True
B3,per_subject_rank_transform_transductive,4,0.5186370669254804,0.5138788538132577,0.529848957084632,4171,"12,18,23,29,34,40,46,52,58,63",True
B3,per_subject_rank_transform_transductive,5,0.5245858703212579,0.5245150192771475,0.5413405088062623,4088,"13,19,24,3,35,41,47,53,59,64",True
B3,per_subject_rank_transform_transductive,6,0.5268621597725955,0.5249150289449925,0.5445759845373278,4139,"14,2,25,30,36,42,48,54,6,65",True
