objective_run_id,modality,task,fold,spearman_rho,mae,rmse,q33_bal_acc,permutation_control_spearman,flags
32,EEG,arousal,2,0.0636250786708391,0.2968731921025301,0.3804153617454271,0.5221808211473566,-0.053074902127074,weak_positive;permutation_control_nonzero
36,EEG,arousal,6,0.0411583660651865,0.2584557822050331,0.2991909512874646,0.5091743119266054,-0.0379989360893594,weak_positive
33,EEG,arousal,3,0.0085471357817001,0.2682384226973753,0.3123223817766827,0.5495495495495495,0.0756588208815475,weak_positive;permutation_control_nonzero
31,EEG,arousal,1,0.0008154186822131,0.2556480704991244,0.2978854297055244,0.5052144824872098,0.0181041395214858,weak_positive
34,EEG,arousal,4,-0.0179056278773937,0.273469906427349,0.3207643832595158,0.5231285174620307,0.0420647301886202,non_positive
35,EEG,arousal,5,-0.0545631245525996,0.2627789904108598,0.3055116566066755,0.4200498575498576,0.00456598020745,non_positive;q33_deviation_from_chance
30,EEG,valence,6,0.0342908200428656,0.2535398117667925,0.3002759424142014,0.5209039548022598,-0.0300719675286012,weak_positive
25,EEG,valence,1,0.0220081291771387,0.2701551458534245,0.3181804134300646,0.5129782949205639,-0.0477672780068934,weak_positive
26,EEG,valence,2,0.0038153166349722,0.2804582500426831,0.3481187810139005,0.5125068343357025,-0.0017765158435656,weak_positive
29,EEG,valence,5,-0.0036971165767246,0.2579835818004118,0.3054862173583988,0.5162107803700724,0.0239562815150788,non_positive
28,EEG,valence,4,-0.0277159438515606,0.2866958073807629,0.3338972382800338,0.5050663871418588,0.0045776391136202,non_positive
27,EEG,valence,3,-0.0918338866754408,0.2899683615258371,0.3478022666736234,0.4423497267759563,-0.015702779713103,non_positive;q33_deviation_from_chance
43,EMG,arousal,1,0.0097288548766909,0.2499284990708163,0.2879340775161232,0.4913091958546504,-0.0166704454211029,weak_positive
46,EMG,arousal,4,-0.0076189482817265,0.2544508814932499,0.291607547307403,0.472631254336597,-0.0264297614528126,non_positive;q33_deviation_from_chance
48,EMG,arousal,6,-0.0115255594964561,0.2584348757679039,0.2973535378048149,0.4954128440366973,-0.0149514827536878,non_positive
47,EMG,arousal,5,-0.024411679840409,0.2656316787868727,0.3149435489873273,0.4896723646723647,-0.0004257648759023,non_positive
44,EMG,arousal,2,-0.0410374572289651,0.2608097623783811,0.2970462551409243,0.4744094488188976,0.0917908167309248,non_positive;permutation_control_nonzero;q33_deviation_from_chance
45,EMG,arousal,3,-0.0438679741212468,0.2573489233200713,0.2939962658128189,0.4414414414414415,0.0227150037196462,non_positive;q33_deviation_from_chance
42,EMG,valence,6,0.0703934891849777,0.2477562762341391,0.2914347960127826,0.5622276029055691,0.075610617780623,weak_positive;permutation_control_nonzero;q33_deviation_from_chance
38,EMG,valence,2,0.0542938102974121,0.2601828479245717,0.3118818748774878,0.4935757244395845,0.0106625371210766,weak_positive
39,EMG,valence,3,0.0124098396162031,0.2563030578380132,0.2950415046882587,0.5364071038251366,-0.0469731862857125,weak_positive
41,EMG,valence,5,0.0099481913122617,0.3682525504776411,0.7496494706655238,0.5115446500402252,-0.048376902393944,weak_positive
40,EMG,valence,4,-0.0098321304421751,0.2556113728068103,0.293349014592961,0.4482879105520615,0.0085070099174302,non_positive;q33_deviation_from_chance
37,EMG,valence,1,-0.0221867884868809,0.254933113623934,0.294693344936048,0.490266278809577,0.0207387946975986,non_positive
