model,modality,task,subject_id,mean_error,max_error,n_rows,hard_subject_flag
ridge_regression_summary_features,EEG,arousal,19,0.2649481346117275,0.2649481346117275,1,False
ridge_regression_summary_features,EEG,arousal,30,0.2649447725049645,0.2649447725049645,1,False
ridge_regression_summary_features,EMG,valence,59,0.264595574096192,0.264595574096192,1,False
ridge_regression_summary_features,EEG,valence,14,0.2644255156643564,0.2644255156643564,1,False
ridge_regression_summary_features,EEG,arousal,24,0.2637393982310448,0.2637393982310448,1,False
ridge_regression_summary_features,EEG,arousal,38,0.2636927463633745,0.2636927463633745,1,False
ridge_regression_summary_features,EMG,valence,6,0.2635253031844847,0.2635253031844847,1,False
ridge_regression_summary_features,EEG,arousal,32,0.2631728119288328,0.2631728119288328,1,False
ridge_regression_summary_features,EMG,arousal,22,0.2631160386288483,0.2631160386288483,1,False
ridge_regression_summary_features,EEG,valence,57,0.2629858475914606,0.2629858475914606,1,False
ridge_regression_summary_features,EEG,valence,35,0.2625324497600294,0.2625324497600294,1,False
ridge_regression_summary_features,EEG,valence,31,0.2625260284979097,0.2625260284979097,1,False
ridge_regression_summary_features,EMG,arousal,41,0.2624762207603001,0.2624762207603001,1,False
ridge_regression_summary_features,EMG,arousal,35,0.2622192479237306,0.2622192479237306,1,False
ridge_regression_summary_features,EEG,arousal,5,0.2618291649360547,0.2618291649360547,1,False
ridge_regression_summary_features,EEG,valence,42,0.2616821873824619,0.2616821873824619,1,False
ridge_regression_summary_features,EMG,arousal,64,0.2615906442737047,0.2615906442737047,1,False
ridge_regression_summary_features,EMG,valence,1,0.2615564164616373,0.2615564164616373,1,False
ridge_regression_summary_features,EEG,arousal,14,0.2613127133924912,0.2613127133924912,1,False
ridge_regression_summary_features,EMG,valence,62,0.2613021615136721,0.2613021615136721,1,False
ridge_regression_summary_features,EEG,valence,26,0.260800985213468,0.260800985213468,1,False
ridge_regression_summary_features,EMG,valence,8,0.260648824284768,0.260648824284768,1,False
ridge_regression_summary_features,EEG,valence,46,0.2606221252609098,0.2606221252609098,1,False
ridge_regression_summary_features,EMG,arousal,21,0.2605975103358585,0.2605975103358585,1,False
ridge_regression_summary_features,EMG,arousal,53,0.2605219792300149,0.2605219792300149,1,False
ridge_regression_summary_features,EMG,arousal,15,0.2605198153330962,0.2605198153330962,1,False
ridge_regression_summary_features,EEG,valence,25,0.2603229511529566,0.2603229511529566,1,False
ridge_regression_summary_features,EMG,valence,43,0.2602269293396297,0.2602269293396297,1,False
ridge_regression_summary_features,EEG,arousal,53,0.2602244118722587,0.2602244118722587,1,False
ridge_regression_summary_features,EMG,valence,47,0.2602159570020723,0.2602159570020723,1,False
ridge_regression_summary_features,EEG,valence,47,0.2600386361301759,0.2600386361301759,1,False
ridge_regression_summary_features,EMG,arousal,31,0.2598952303580145,0.2598952303580145,1,False
ridge_regression_summary_features,EMG,valence,42,0.2598296349891322,0.2598296349891322,1,False
ridge_regression_summary_features,EMG,arousal,52,0.2597735157576243,0.2597735157576243,1,False
ridge_regression_summary_features,EMG,arousal,49,0.259703568482055,0.259703568482055,1,False
ridge_regression_summary_features,EMG,arousal,57,0.2594270711465971,0.2594270711465971,1,False
ridge_regression_summary_features,EEG,arousal,8,0.2594214651660022,0.2594214651660022,1,False
ridge_regression_summary_features,EMG,valence,39,0.2592719768023907,0.2592719768023907,1,False
ridge_regression_summary_features,EMG,valence,5,0.2592502508862128,0.2592502508862128,1,False
ridge_regression_summary_features,EMG,arousal,29,0.2592413432764101,0.2592413432764101,1,False
ridge_regression_summary_features,EEG,arousal,20,0.2591749295325362,0.2591749295325362,1,False
ridge_regression_summary_features,EMG,valence,52,0.2591677887081022,0.2591677887081022,1,False
ridge_regression_summary_features,EEG,valence,15,0.2590488803971029,0.2590488803971029,1,False
ridge_regression_summary_features,EEG,arousal,6,0.2588175847832641,0.2588175847832641,1,False
ridge_regression_summary_features,EMG,arousal,2,0.2587966875216305,0.2587966875216305,1,False
ridge_regression_summary_features,EMG,valence,61,0.258656794351502,0.258656794351502,1,False
ridge_regression_summary_features,EMG,arousal,14,0.2585616429277463,0.2585616429277463,1,False
ridge_regression_summary_features,EMG,valence,48,0.2585302484369806,0.2585302484369806,1,False
ridge_regression_summary_features,EMG,valence,26,0.2584960223341831,0.2584960223341831,1,False
ridge_regression_summary_features,EEG,arousal,11,0.2583657328979781,0.2583657328979781,1,False
ridge_regression_summary_features,EMG,arousal,59,0.2583479497682089,0.2583479497682089,1,False
ridge_regression_summary_features,EMG,arousal,44,0.2583295181218668,0.2583295181218668,1,False
ridge_regression_summary_features,EMG,valence,46,0.2582563717822399,0.2582563717822399,1,False
ridge_regression_summary_features,EMG,arousal,12,0.2582507382420119,0.2582507382420119,1,False
ridge_regression_summary_features,EMG,arousal,63,0.2581930416001463,0.2581930416001463,1,False
