source_group,source_name,modality,variant,task,label_policy,recipe,level,fold_id,n,default_macro_f1,default_balanced_accuracy,default_accuracy,default_pred_0,default_pred_1,best_threshold,best_macro_f1,best_balanced_accuracy,best_accuracy,best_pred_0,best_pred_1,threshold_one_class,macro_f1_gain,balanced_accuracy_gain
label_policy_ablation,idare_label_policy_ablation_eeg_primary_predictions.csv,EEG,mainline_label_policy_ablation,arousal,midpoint_as_high,balanced_sampler_ce,overall,,2016,0.5150892533459509,0.5161154262430763,0.5168650793650794,1026,990,0.7000000000000001,0.5306859716222808,0.5318408989622462,0.5426587301587301,1226,790,False,0.015596718276329913,0.01572547271916991
label_policy_ablation,idare_label_policy_ablation_eeg_primary_predictions.csv,EEG,mainline_label_policy_ablation,arousal,midpoint_as_high,ce_class_weighted,overall,,2016,0.5334656834940443,0.5369898771248488,0.5337301587301587,952,1064,0.53,0.5368158654528816,0.5389316865091998,0.5376984126984127,992,1024,False,0.003350181958837295,0.0019418093843509565
label_policy_ablation,idare_label_policy_ablation_eeg_primary_predictions.csv,EEG,mainline_label_policy_ablation,arousal,midpoint_as_low,balanced_sampler_ce,overall,,2016,0.52179298876986,0.5234506688221436,0.5580357142857143,1242,774,0.7096723318099976,0.5318885448916408,0.5318310710683083,0.5922619047619048,1411,605,False,0.010095556121780813,0.008380402246164653
label_policy_ablation,idare_label_policy_ablation_eeg_primary_predictions.csv,EEG,mainline_label_policy_ablation,arousal,midpoint_as_low,ce_class_weighted,overall,,2016,0.5052172893341068,0.5101415846041119,0.5307539682539683,1145,871,0.75,0.5152862381384983,0.516744375552423,0.5858134920634921,1456,560,False,0.010068948804391464,0.006602790948311177
label_policy_ablation,idare_label_policy_ablation_eeg_primary_predictions.csv,EEG,mainline_label_policy_ablation,valence,discard_midpoint,balanced_sampler_ce,overall,,1667,0.5178972391325618,0.5213284648402615,0.519496100779844,951,716,0.31,0.523393318063172,0.525737475873592,0.5278944211157769,693,974,False,0.005496078930610215,0.004409011033330468
label_policy_ablation,idare_label_policy_ablation_eeg_primary_predictions.csv,EEG,mainline_label_policy_ablation,valence,discard_midpoint,ce_class_weighted,overall,,1667,0.5016095277073881,0.5036974620459194,0.5056988602279544,704,963,0.55,0.5162040437734587,0.5162057442456717,0.5164967006598681,814,853,False,0.01459451606607065,0.012508282199752307
label_policy_ablation,idare_label_policy_ablation_eeg_primary_predictions.csv,EEG,mainline_label_policy_ablation,valence,midpoint_as_high,balanced_sampler_ce,overall,,2016,0.49970237733694534,0.5057137129109863,0.5034722222222222,1029,987,0.333998292684555,0.5106911372985972,0.5106827815328217,0.5297619047619048,806,1210,False,0.010988759961651828,0.004969068621835326
label_policy_ablation,idare_label_policy_ablation_eeg_primary_predictions.csv,EEG,mainline_label_policy_ablation,valence,midpoint_as_high,ce_class_weighted,overall,,2016,0.5081819056208975,0.5085777294077214,0.533234126984127,749,1267,0.44,0.5125317712804457,0.515909611639363,0.5510912698412699,637,1379,False,0.004349865659548202,0.007331882231641607
label_policy_ablation,idare_label_policy_ablation_eeg_primary_predictions.csv,EEG,mainline_label_policy_ablation,valence,midpoint_as_low,balanced_sampler_ce,overall,,2016,0.49106203059805287,0.4943243120721701,0.4935515873015873,996,1020,0.63,0.5004678118215593,0.5004850627861643,0.5128968253968254,1173,843,False,0.009405781223506438,0.006160750713994245
label_policy_ablation,idare_label_policy_ablation_eeg_primary_predictions.csv,EEG,mainline_label_policy_ablation,valence,midpoint_as_low,ce_class_weighted,overall,,2016,0.48852727347128067,0.4903803436239177,0.49255952380952384,1034,982,0.56,0.49829844573842597,0.49839067954123034,0.5119047619047619,1187,829,False,0.0097711722671453,0.00801033591731265
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,arousal,discard_midpoint,balanced_sampler_ce,overall,,1799,0.5099093423247845,0.5181322191155373,0.5163979988882713,894,905,0.56,0.5351046492198832,0.5375551087514268,0.584769316286826,1275,524,False,0.025195306895098746,0.01942288963588945
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,arousal,discard_midpoint,ce_class_weighted,overall,,1799,0.5275802636593063,0.5318387211628077,0.5391884380211228,969,830,0.51,0.5411775664910703,0.5428473814834596,0.5586436909394108,1038,761,False,0.013597302831763969,0.011008660320651842
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,arousal,midpoint_as_high,balanced_sampler_ce,overall,,2016,0.5145811952317044,0.5160438021264404,0.5158730158730159,1008,1008,0.52,0.5242895873079626,0.5247819443560195,0.5337301587301587,1188,828,False,0.009708392076258177,0.008738142229579138
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,arousal,midpoint_as_high,ce_class_weighted,overall,,2016,0.5177960192697768,0.5181606926847901,0.5208333333333334,1064,952,0.5160283446311951,0.5334685894625621,0.534224390399185,0.5441468253968254,1209,807,False,0.01567257019278534,0.016063697714394864
