task,scope,unique_pairs_kept,oriented_pairs_if_counterbalanced,retention_rate,canonical_positive_rate,counterbalanced_positive_rate,min_val_pairs_per_fold,pair_balance_pass
valence,overall,26754,53508,0.8561827956989247,0.5174553337818644,0.5,364,True
arousal,overall,26096,52192,0.8351254480286738,0.5575950337216432,0.5,313,True
