method,modality,task,fold,n_runs,mean_macro_f1,mean_balanced_accuracy,mean_accuracy,best_macro_f1,worst_macro_f1,one_class_pred_count
CE_plus_SupCon,EEG,arousal,1,1,0.4495290707078248,0.4653195488721804,0.4846416382252559,0.4495290707078248,0.4495290707078248,0
CE_plus_SupCon,EEG,arousal,2,1,0.5134261338123035,0.5150621118012423,0.521594684385382,0.5134261338123035,0.5134261338123035,0
CE_plus_SupCon,EEG,arousal,3,1,0.517667407956511,0.5243239943844229,0.5234375,0.517667407956511,0.517667407956511,0
CE_plus_SupCon,EEG,arousal,4,1,0.4766505636070854,0.483974358974359,0.48,0.4766505636070854,0.4766505636070854,0
CE_plus_SupCon,EEG,arousal,5,1,0.4409099672257567,0.4442667614309405,0.4423076923076923,0.4409099672257567,0.4409099672257567,0
CE_plus_SupCon,EEG,arousal,6,1,0.464632285627098,0.4738581730769231,0.4728682170542636,0.464632285627098,0.464632285627098,0
CE_plus_SupCon,EEG,valence,1,1,0.5122726794912226,0.5126373626373626,0.516245487364621,0.5122726794912226,0.5122726794912226,0
CE_plus_SupCon,EEG,valence,2,1,0.4721136036221445,0.5001231891199369,0.4947368421052631,0.4721136036221445,0.4721136036221445,0
CE_plus_SupCon,EEG,valence,3,1,0.4639382239382239,0.4651436910642119,0.4644194756554307,0.4639382239382239,0.4639382239382239,0
CE_plus_SupCon,EEG,valence,4,1,0.4866358369922703,0.5131915983606558,0.508,0.4866358369922703,0.4866358369922703,0
CE_plus_SupCon,EEG,valence,5,1,0.4751908396946565,0.4757377223820177,0.4763636363636364,0.4751908396946565,0.4751908396946565,0
CE_plus_SupCon,EEG,valence,6,1,0.4603494623655914,0.4787883614739301,0.4690909090909091,0.4603494623655914,0.4603494623655914,0
CE_plus_SupCon,EMG,arousal,1,1,0.4652229676400947,0.4772321428571428,0.4948805460750853,0.4652229676400947,0.4652229676400947,0
CE_plus_SupCon,EMG,arousal,2,1,0.4165638766519824,0.4712732919254658,0.4518272425249169,0.4165638766519824,0.4165638766519824,0
CE_plus_SupCon,EMG,arousal,3,1,0.4746246547440863,0.481322102179088,0.48046875,0.4746246547440863,0.4746246547440863,0
CE_plus_SupCon,EMG,arousal,4,1,0.5185574229691876,0.5335081585081585,0.5272727272727272,0.5185574229691876,0.5185574229691876,0
CE_plus_SupCon,EMG,arousal,5,1,0.5307692307692308,0.531272210376688,0.5307692307692308,0.5307692307692308,0.5307692307692308,0
CE_plus_SupCon,EMG,arousal,6,1,0.4843167188655786,0.5094350961538462,0.5077519379844961,0.4843167188655786,0.4843167188655786,0
CE_plus_SupCon,EMG,valence,1,1,0.5075813029384085,0.5076138147566719,0.5090252707581228,0.5075813029384085,0.5075813029384085,0
CE_plus_SupCon,EMG,valence,2,1,0.5173730856231691,0.5180595249827535,0.519298245614035,0.5173730856231691,0.5173730856231691,0
CE_plus_SupCon,EMG,valence,3,1,0.3863975155279503,0.4400258194881006,0.445692883895131,0.3863975155279503,0.3863975155279503,0
CE_plus_SupCon,EMG,valence,4,1,0.5109546165884193,0.5170338114754098,0.52,0.5109546165884193,0.5109546165884193,0
CE_plus_SupCon,EMG,valence,5,1,0.5236272811505459,0.5450623202301055,0.5309090909090909,0.5236272811505459,0.5236272811505459,0
CE_plus_SupCon,EMG,valence,6,1,0.5064555876995607,0.5076988425188489,0.5127272727272727,0.5064555876995607,0.5064555876995607,0
CE_plus_SupCon_plus_VREx,EEG,arousal,1,1,0.4958210422812192,0.5054041353383458,0.5221843003412969,0.4958210422812192,0.4958210422812192,0
CE_plus_SupCon_plus_VREx,EEG,arousal,2,1,0.478382286389174,0.4812111801242236,0.4784053156146179,0.478382286389174,0.478382286389174,0
CE_plus_SupCon_plus_VREx,EEG,arousal,3,1,0.50778245742538,0.5079045351889153,0.5078125,0.50778245742538,0.50778245742538,0
CE_plus_SupCon_plus_VREx,EEG,arousal,4,1,0.509095545732744,0.5323426573426574,0.5418181818181819,0.509095545732744,0.509095545732744,0
CE_plus_SupCon_plus_VREx,EEG,arousal,5,1,0.4963943024018118,0.5030798389007344,0.5,0.4963943024018118,0.4963943024018118,0
CE_plus_SupCon_plus_VREx,EEG,arousal,6,1,0.4353448935551508,0.4468149038461538,0.4457364341085271,0.4353448935551508,0.4353448935551508,0
CE_plus_SupCon_plus_VREx,EEG,valence,1,1,0.5258646596892843,0.5259549973835689,0.5270758122743683,0.5258646596892843,0.5258646596892843,0
CE_plus_SupCon_plus_VREx,EEG,valence,2,1,0.4450606329488317,0.4451069281561052,0.4456140350877193,0.4450606329488317,0.4450606329488317,0
CE_plus_SupCon_plus_VREx,EEG,valence,3,1,0.4411636629254519,0.4414009878760664,0.4419475655430712,0.4411636629254519,0.4411636629254519,0
CE_plus_SupCon_plus_VREx,EEG,valence,4,1,0.506059009483667,0.5243340163934427,0.52,0.506059009483667,0.506059009483667,0
CE_plus_SupCon_plus_VREx,EEG,valence,5,1,0.4680557090748314,0.5118248641738574,0.4909090909090909,0.4680557090748314,0.4680557090748314,0
CE_plus_SupCon_plus_VREx,EEG,valence,6,1,0.4567058026642582,0.5083625358394392,0.4909090909090909,0.4567058026642582,0.4567058026642582,0
CE_plus_SupCon_plus_VREx,EMG,arousal,1,1,0.5155207392726889,0.5308270676691729,0.5187713310580204,0.5155207392726889,0.5155207392726889,0
CE_plus_SupCon_plus_VREx,EMG,arousal,2,1,0.3948710405021084,0.4795031055900621,0.4551495016611295,0.3948710405021084,0.3948710405021084,0
CE_plus_SupCon_plus_VREx,EMG,arousal,3,1,0.5081152854799657,0.5207532198010132,0.51953125,0.5081152854799657,0.5081152854799657,0
CE_plus_SupCon_plus_VREx,EMG,arousal,4,1,0.5098691210895935,0.5104895104895105,0.5127272727272727,0.5098691210895935,0.5098691210895935,0
CE_plus_SupCon_plus_VREx,EMG,arousal,5,1,0.4892857142857144,0.4951433309642264,0.4923076923076923,0.4892857142857144,0.4892857142857144,0
CE_plus_SupCon_plus_VREx,EMG,arousal,6,1,0.5022508038585209,0.5216947115384616,0.5232558139534884,0.5022508038585209,0.5022508038585209,0
CE_plus_SupCon_plus_VREx,EMG,valence,1,1,0.4558546597482829,0.4903453689167975,0.4765342960288808,0.4558546597482829,0.4558546597482829,0
