feature_set_id,model,training_category,n_runs,mean_accuracy,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_macro_f1,mean_pred_positive_rate,mean_majority_baseline_bal_acc,mean_random_baseline_bal_acc,delta_vs_majority_baseline_bal_acc,delta_vs_random_baseline_bal_acc,folds_over_055_bal_acc,folds_under_045_bal_acc,positive_delta_folds_vs_majority
bandpower_only_control_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,6,0.514247215640239,0.4991419618056527,0.011450562739387386,0.4813997927500547,0.5189749514103378,0.49537766233456937,0.6326600637455526,0.5,0.5020190965141068,-0.0008580381943473214,-0.002877134708454132,0,0,3
bandpower_only_control_v1,majority_train_label_no_training,no_training_control,6,0.5571583621275341,0.5,0.0,0.5,0.5,0.3577410085306351,1.0,0.5,0.5020190965141068,0.0,-0.0020190965141068107,0,0,0
bandpower_only_control_v1,random_balanced_no_training,no_training_control,6,0.5024404891144629,0.5020190965141068,0.007867861182433504,0.49019115747419617,0.5103820483284285,0.5004174227796113,0.5040023155647068,0.5,0.5020190965141068,0.0020190965141068107,0.0,0,0,4
bandpower_only_control_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,6,0.5155299032694878,0.4993676820099026,0.009293800851127819,0.4890664958597545,0.5175619901747188,0.4947547948011937,0.6416679268070165,0.5,0.5020190965141068,-0.0006323179900973863,-0.002651414504204197,0,0,2
bandpower_temporal_stats_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,6,0.5248893130737805,0.5158489540815604,0.019080742384929756,0.4884923104301288,0.5398315644897868,0.5148401435963743,0.5833180339648417,0.5,0.5005961434829219,0.015848954081560396,0.015252810598638478,0,0,4
bandpower_temporal_stats_v1,majority_train_label_no_training,no_training_control,6,0.5571583621275341,0.5,0.0,0.5,0.5,0.3577410085306351,1.0,0.5,0.5005961434829219,0.0,-0.0005961434829219181,0,0,0
bandpower_temporal_stats_v1,random_balanced_no_training,no_training_control,6,0.500226413546157,0.5005961434829219,0.005386411224035809,0.4928837443083396,0.5073218652851317,0.4985554616947436,0.4995886702798121,0.5,0.5005961434829219,0.0005961434829219181,0.0,0,0,3
bandpower_temporal_stats_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,6,0.5267427335297729,0.5167558046828528,0.017863671556704343,0.4894742185659635,0.5398226651144673,0.5155983640111675,0.5906664301662564,0.5,0.5005961434829219,0.01675580468285276,0.01615966119993084,0,0,5
current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,6,0.5305625473961436,0.5146624836671729,0.012184618502585445,0.49762090874175485,0.5372926732081487,0.5104422960121312,0.6445173394713232,0.5,0.5021168971822413,0.014662483667172932,0.012545586484931648,0,0,5
current_summary_diff_control,majority_train_label_no_training,no_training_control,6,0.5571583621275341,0.5,0.0,0.5,0.5,0.3577410085306351,1.0,0.5,0.5021168971822413,0.0,-0.002116897182241284,0,0,0
current_summary_diff_control,random_balanced_no_training,no_training_control,6,0.502369823669527,0.5021168971822413,0.008256695511210943,0.4930014447710183,0.5156831405021534,0.5004588985022319,0.5024603772875709,0.5,0.5021168971822413,0.002116897182241284,0.0,0,0,3
current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,6,0.5318127524375473,0.5149461011353417,0.012917927163420898,0.49717299151380767,0.5378164898474207,0.5099625677287449,0.6530037210299757,0.5,0.5021168971822413,0.014946101135341672,0.012829203953100388,0,0,5
robust_scaled_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,6,0.5308267683500879,0.5149498431018388,0.012255957059212237,0.49770382448238554,0.5377494562600654,0.510742165492426,0.6443994004143313,0.5,0.501276333235929,0.014949843101838778,0.013673509865909761,0,0,5
robust_scaled_current_summary_diff_control,majority_train_label_no_training,no_training_control,6,0.5571583621275341,0.5,0.0,0.5,0.5,0.3577410085306351,1.0,0.5,0.501276333235929,0.0,-0.001276333235929017,0,0,0
robust_scaled_current_summary_diff_control,random_balanced_no_training,no_training_control,6,0.5007251392561916,0.501276333235929,0.004042582472643798,0.49365325523015025,0.5052616670994114,0.49919605650181875,0.4948971360206466,0.5,0.501276333235929,0.001276333235929017,0.0,0,0,4
robust_scaled_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,6,0.5318459349428046,0.514970469561589,0.013031112962273265,0.496880079973093,0.5380615878866364,0.5099863314108352,0.6530427198441929,0.5,0.501276333235929,0.014970469561588984,0.013694136325659967,0,0,5
