modality,task,n_folds,mean_spearman_rho,std_spearman_rho,min_spearman_rho,max_spearman_rho,folds_positive_spearman,folds_over_010_spearman,folds_under_000_spearman,mean_permutation_control_spearman,delta_vs_permutation_spearman,mean_q33_bal_acc,folds_q33_over_050,folds_q33_over_055,fold_signal_interpretation
EEG,arousal,6,0.006946207794990916,0.038349548943378546,-0.0545631245525996,0.0636250786708391,4,0,2,0.008219972097111684,-0.0012737643021207678,0.5048829233537683,5,0,weak_rank_signal_near_chance_threshold
EEG,valence,6,-0.010522113541458251,0.0412831491981925,-0.0918338866754408,0.0342908200428656,3,0,3,-0.011130770077244034,0.0006086565357857829,0.5016693297244023,5,0,unstable_or_fold_dependent_signal
EMG,arousal,6,-0.0197887940153521,0.018887215527518538,-0.0438679741212468,0.0097288548766909,1,0,5,0.009338060991177568,-0.029126855006529666,0.47747942486010814,0,0,unstable_or_fold_dependent_signal
EMG,valence,6,0.019171068580299766,0.03301458499729674,-0.0221867884868809,0.0703934891849777,4,0,2,0.0033614784728453174,0.01580959010745445,0.5070515450953589,3,1,weak_rank_signal_near_chance_threshold
