run_id,cell,fold_id,test_subjects,test_pairs,test_accuracy,test_balanced_accuracy,test_macro_f1,majority_balanced_accuracy,delta_vs_majority_balanced_accuracy,one_class_pred,tn,fp,fn,tp
1,S0_current_no_additional_normalization,1,6 7 8 13 28 38 43 54 58 59 65,8662,0.5222812283537289,0.5222812283537289,0.5222812283537289,0.5,0.02228122835372892,False,2262,2069,2069,2262
2,S0_current_no_additional_normalization,2,2 5 11 17 26 31 34 44 46 49 63,9076,0.5163067430586161,0.5163067430586161,0.5163067430586161,0.5,0.016306743058616124,False,2343,2195,2195,2343
3,S0_current_no_additional_normalization,3,9 10 20 35 39 45 47 48 52 57 62,9416,0.5016992353440951,0.5016992353440951,0.5016992353440951,0.5,0.001699235344095107,False,2362,2346,2346,2362
4,S0_current_no_additional_normalization,4,1 3 19 25 36 40 42 53 55 61,8338,0.5034780522907172,0.5034780522907172,0.5034780522907172,0.5,0.003478052290717182,False,2099,2070,2070,2099
5,S0_current_no_additional_normalization,5,14 23 24 27 29 30 37 56 60 64,8454,0.48616039744499645,0.48616039744499645,0.48616039744499645,0.5,-0.01383960255500355,False,2055,2172,2172,2055
6,S0_current_no_additional_normalization,6,12 15 16 18 21 22 32 33 41 50,8246,0.5209798690274072,0.5209798690274072,0.5209798690274072,0.5,0.020979869027407227,False,2148,1975,1975,2148
7,S1_train_fold_standard_scaler,1,6 7 8 13 28 38 43 54 58 59 65,8662,0.5241283768182867,0.5241283768182867,0.5241283768182867,0.5,0.024128376818286723,False,2270,2061,2061,2270
8,S1_train_fold_standard_scaler,2,2 5 11 17 26 31 34 44 46 49 63,9076,0.5156456588805641,0.5156456588805641,0.5156456588805641,0.5,0.01564565888056413,False,2340,2198,2198,2340
9,S1_train_fold_standard_scaler,3,9 10 20 35 39 45 47 48 52 57 62,9416,0.5023364485981309,0.5023364485981309,0.5023364485981309,0.5,0.002336448598130869,False,2365,2343,2343,2365
10,S1_train_fold_standard_scaler,4,1 3 19 25 36 40 42 53 55 61,8338,0.502038858239386,0.502038858239386,0.502038858239386,0.5,0.0020388582393859878,False,2093,2076,2076,2093
11,S1_train_fold_standard_scaler,5,14 23 24 27 29 30 37 56 60 64,8454,0.48757984386089426,0.48757984386089426,0.4875798438608942,0.5,-0.012420156139105742,False,2061,2166,2166,2061
12,S1_train_fold_standard_scaler,6,12 15 16 18 21 22 32 33 41 50,8246,0.5209798690274072,0.5209798690274072,0.5209798690274072,0.5,0.020979869027407227,False,2148,1975,1975,2148
13,S2_train_fold_robust_scaler,1,6 7 8 13 28 38 43 54 58 59 65,8662,0.5241283768182867,0.5241283768182867,0.5241283768182867,0.5,0.024128376818286723,False,2270,2061,2061,2270
14,S2_train_fold_robust_scaler,2,2 5 11 17 26 31 34 44 46 49 63,9076,0.5156456588805641,0.5156456588805641,0.5156456588805641,0.5,0.01564565888056413,False,2340,2198,2198,2340
15,S2_train_fold_robust_scaler,3,9 10 20 35 39 45 47 48 52 57 62,9416,0.5025488530161427,0.5025488530161427,0.5025488530161427,0.5,0.002548853016142716,False,2366,2342,2342,2366
16,S2_train_fold_robust_scaler,4,1 3 19 25 36 40 42 53 55 61,8338,0.502038858239386,0.502038858239386,0.502038858239386,0.5,0.0020388582393859878,False,2093,2076,2076,2093
17,S2_train_fold_robust_scaler,5,14 23 24 27 29 30 37 56 60 64,8454,0.48734326945824463,0.48734326945824463,0.48734326945824463,0.5,-0.012656730541755368,False,2060,2167,2167,2060
18,S2_train_fold_robust_scaler,6,12 15 16 18 21 22 32 33 41 50,8246,0.5209798690274072,0.5209798690274072,0.5209798690274072,0.5,0.020979869027407227,False,2148,1975,1975,2148
19,S3_train_fold_frozen_quantile_rank_mapper,1,6 7 8 13 28 38 43 54 58 59 65,8662,0.5289771415377511,0.5289771415377511,0.5289771415377511,0.5,0.028977141537751105,False,2291,2040,2040,2291
20,S3_train_fold_frozen_quantile_rank_mapper,2,2 5 11 17 26 31 34 44 46 49 63,9076,0.5352578228294402,0.5352578228294402,0.5352578228294402,0.5,0.03525782282944023,False,2429,2109,2109,2429
21,S3_train_fold_frozen_quantile_rank_mapper,3,9 10 20 35 39 45 47 48 52 57 62,9416,0.52017841971113,0.52017841971113,0.52017841971113,0.5,0.02017841971112999,False,2449,2259,2259,2449
22,S3_train_fold_frozen_quantile_rank_mapper,4,1 3 19 25 36 40 42 53 55 61,8338,0.49292396258095467,0.49292396258095467,0.49292396258095467,0.5,-0.0070760374190453335,False,2055,2114,2114,2055
23,S3_train_fold_frozen_quantile_rank_mapper,5,14 23 24 27 29 30 37 56 60 64,8454,0.48355807901585046,0.48355807901585046,0.48355807901585046,0.5,-0.01644192098414954,False,2044,2183,2183,2044
24,S3_train_fold_frozen_quantile_rank_mapper,6,12 15 16 18 21 22 32 33 41 50,8246,0.5243754547659472,0.5243754547659472,0.5243754547659472,0.5,0.024375454765947158,False,2162,1961,1961,2162
