planned_run_id,candidate_id,method_family,modality,task,fold,positive_policy,negative_policy,sampler_policy,loss,dg_regularizer,temperature,lambda_supcon,lambda_vrex,supcon_warmup_epochs,vrex_warmup_epochs,epochs,seed,authorized
1,A0_CE_control,control,EEG,valence,1,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
2,A0_CE_control,control,EEG,valence,2,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
3,A0_CE_control,control,EEG,valence,3,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
4,A0_CE_control,control,EEG,valence,4,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
5,A0_CE_control,control,EEG,valence,5,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
6,A0_CE_control,control,EEG,valence,6,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
7,A0_CE_control,control,EEG,arousal,1,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
8,A0_CE_control,control,EEG,arousal,2,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
9,A0_CE_control,control,EEG,arousal,3,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
10,A0_CE_control,control,EEG,arousal,4,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
11,A0_CE_control,control,EEG,arousal,5,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
12,A0_CE_control,control,EEG,arousal,6,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
13,A0_CE_control,control,EMG,valence,1,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
14,A0_CE_control,control,EMG,valence,2,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
15,A0_CE_control,control,EMG,valence,3,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
