source_id,family,modality,representation,task,policy,recipe,subject_id,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy,true_0,true_1,pred_0,pred_1,tn,fp,fn,tp,one_class_pred,prob1_mean,prob1_std,prob1_q05,prob1_median,prob1_q95,brier,ece_10,best_threshold,best_threshold_macro_f1,best_threshold_balanced_accuracy,best_threshold_accuracy,best_threshold_pred_0,best_threshold_pred_1,threshold_macro_f1_gain,threshold_balanced_accuracy_gain,prediction_skew_abs
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,midpoint_as_low,ce_class_weighted,7,32,0.25,0.125,0.2,1.0,32,0,8,24,8,24,0,0,False,0.7015721406787634,0.30842325603380416,0.11832797527313228,0.8775129318237305,0.9695645600557327,0.5873283734390762,0.5966709982603788,0.975899875164032,0.49206349206349204,0.484375,0.96875,31,1,0.292063492063492,0.359375,0.25
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,discard_midpoint,ce_class_weighted,65,30,0.23333333333333334,0.19886363636363635,0.2114285714285714,0.7333333333333333,22,8,13,17,6,16,7,1,False,0.5146835496028265,0.06713130711937365,0.42663869410753247,0.5020873844623566,0.655140620470047,0.29029538861353704,0.3129159877697627,0.7,0.423076923076923,0.5,0.7333333333333333,30,0,0.2116483516483516,0.30113636363636365,0.06666666666666665
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,valence,midpoint_as_low,balanced_sampler_ce,21,32,0.21875,0.24493927125506074,0.21182266009852216,0.59375,19,13,10,22,2,17,8,5,False,0.6321227882290259,0.32229582433285175,0.06719143316149706,0.7670269012451172,0.9659166514873505,0.5592793499620188,0.6122133809840307,0.8599999999999999,0.49098621420996824,0.4959514170040486,0.53125,22,10,0.2791635541114461,0.2510121457489879,0.1875
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,midpoint_as_low,balanced_sampler_ce,28,32,0.21875,0.3541666666666667,0.21182266009852216,0.75,24,8,5,27,2,22,3,5,False,0.5442996742203832,0.06042346409285965,0.4232146829366684,0.5447631776332855,0.620975860953331,0.2988812286820127,0.3437078511342406,0.58,0.4340136054421769,0.4375,0.59375,25,7,0.22219094534365472,0.08333333333333331,0.34375
label_emg_mainline,label_policy_ablation,EMG,feature-only,valence,midpoint_as_low,balanced_sampler_ce,37,32,0.21875,0.321256038647343,0.2118226600985222,0.71875,23,9,6,26,2,21,4,5,False,0.5219886414706707,0.021037979628395848,0.4867065221071243,0.5259675979614258,0.5521085202693939,0.27102849168532434,0.30740518867969513,0.5599999999999999,0.41818181818181815,0.5,0.71875,32,0,0.20635915808329597,0.17874396135265702,0.3125
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,7,32,0.21875,0.3392857142857143,0.2118226600985222,0.875,28,4,7,25,5,23,2,2,False,,,,,,,,,,,,0,0,,,0.28125
broader_emg_feature_only,broader_primary,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,65,32,0.21875,0.2409090909090909,0.2179863147605083,0.6875,22,10,11,21,4,18,7,3,False,0.521898471750319,0.058335974732016974,0.4353866145014763,0.5207783579826355,0.608846166729927,0.29216754264967804,0.33011726196855307,0.6749999999999999,0.4074074074074074,0.5,0.6875,32,0,0.18942109264689908,0.2590909090909091,0.15625
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,65,32,0.21875,0.2409090909090909,0.2179863147605083,0.6875,22,10,11,21,4,18,7,3,False,0.521898471750319,0.058335974732016974,0.4353866145014763,0.5207783579826355,0.608846166729927,0.29216754264967804,0.33011726196855307,0.6749999999999999,0.4074074074074074,0.5,0.6875,32,0,0.18942109264689908,0.2590909090909091,0.15625
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,midpoint_as_low,ce_class_weighted,43,32,0.28125,0.45,0.2195121951219512,0.6875,22,10,1,31,0,22,1,9,False,0.8434865553863347,0.15707561369078443,0.5988597571849823,0.9071756899356842,0.9667656302452088,0.5609923840988179,0.6040055262856185,0.9572834372520448,0.6081632653061224,0.6045454545454545,0.71875,27,5,0.3886510701841712,0.15454545454545449,0.46875
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,midpoint_as_low,balanced_sampler_ce,55,32,0.28125,0.140625,0.21951219512195122,1.0,32,0,9,23,9,23,0,0,False,0.5443966817110777,0.05335658936315434,0.475322850048542,0.5494363009929657,0.6337476134300232,0.2992146726865007,0.27257062681019306,0.6399999999999999,0.5,0.5,1.0,32,0,0.2804878048780488,0.359375,0.21875
