global_run_id,design_run_id,stage,method,modality,task,fold,seed,label_formulation,recipe,hyperparameter_tag,n_train,n_val,train_subject_count,val_subject_count,val_subjects,epochs,lr,hidden_dim,projection_dim,tau,lambda_supcon,lambda_vrex,warmup_epochs,positive_pair_coverage_train,row_overlap,subject_overlap,final_accuracy,final_balanced_accuracy,final_macro_f1,majority_accuracy,one_class_pred,pred_count_0,pred_count_1,tp,tn,fp,fn
59,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1383,260,52,10,14 23 24 27 29 30 38 56 60 64,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.5,0.5030798389007344,0.4963943024018118,0.5153846153846153,False,104,156,76,54,80,50
60,14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1385,258,52,10,12 15 16 18 21 22 32 33 42 52,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.44573643410852715,0.44681490384615385,0.4353448935551508,0.5038759689922481,False,93,165,75,40,90,53
61,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1352,277,52,11,6 7 8 13 28 38 43 54 58 59 65,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.47653429602888087,0.4903453689167975,0.4558546597482829,0.5306859205776173,False,76,201,93,39,108,37
62,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1344,285,52,11,2 5 11 17 26 31 34 44 46 49 63,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.512280701754386,0.514831970040406,0.5081875628499423,0.512280701754386,False,113,172,86,60,86,53
63,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1362,267,52,11,9 10 20 35 39 45 47 48 52 57 62,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.5093632958801498,0.5053322855859901,0.48326906882949955,0.5093632958801498,False,191,76,38,98,38,93
64,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1379,250,53,10,1 3 19 25 36 40 42 53 55 61,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.536,0.531890368852459,0.519740328563858,0.512,False,168,82,44,90,38,78
65,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1354,275,53,10,14 23 24 27 29 30 37 56 60 64,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.509090909090909,0.5151273037179078,0.5086751101758844,0.5418181818181819,False,157,118,66,74,52,83
66,15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1354,275,53,10,12 15 16 18 21 22 32 33 41 50,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.5309090909090909,0.5198577041520654,0.5090712832648316,0.5309090909090909,False,187,88,44,102,44,85
67,16,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,arousal,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1350,293,51,11,6 7 8 13 28 45 50 54 58 63 65,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.5187713310580204,0.5308270676691729,0.5155207392726889,0.5460750853242321,False,109,184,88,64,96,45
68,16,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,arousal,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1342,301,51,11,2 5 11 17 26 31 34 41 44 46 49,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.45514950166112955,0.47950310559006215,0.3948710405021084,0.5348837209302325,False,45,256,116,21,140,24
69,16,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,arousal,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1387,256,52,10,9 10 20 35 36 39 47 48 59 62,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.51953125,0.5207532198010132,0.5081152854799657,0.50390625,False,88,168,86,47,82,41
70,16,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,arousal,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1368,275,52,10,1 3 19 25 40 43 53 55 57 61,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.5127272727272727,0.5104895104895105,0.5098691210895935,0.52,False,122,153,81,60,72,62
71,16,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,arousal,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1383,260,52,10,14 23 24 27 29 30 38 56 60 64,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.49230769230769234,0.49514333096422647,0.4892857142857144,0.5153846153846153,False,106,154,74,54,80,52
72,16,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,arousal,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,1385,258,52,10,12 15 16 18 21 22 32 33 42 52,12,0.001,64,64,0.1,0.1,0.05,3,1.0,0,0,0.5232558139534884,0.5216947115384616,0.5022508038585209,0.5038759689922481,False,181,77,41,94,36,87
