global_run_id,design_run_id,stage,method,modality,task,fold,seed,label_formulation,recipe,hyperparameter_tag,n_train,n_val,train_subject_count,val_subject_count,val_subjects,epochs,lr,hidden_dim,projection_dim,tau,lambda_supcon,lambda_vrex,warmup_epochs,positive_pair_coverage_train,row_overlap,subject_overlap,final_accuracy,final_balanced_accuracy,final_macro_f1,majority_accuracy,one_class_pred,pred_count_0,pred_count_1,tp,tn,fp,fn
13,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1352,277,52,11,6 7 8 13 28 38 43 54 58 59 65,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.5090252707581228,0.5076138147566719,0.5075813029384085,0.5306859205776173,False,145,132,63,78,69,67
14,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1344,285,52,11,2 5 11 17 26 31 34 44 46 49 63,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.519298245614035,0.5180595249827535,0.5173730856231691,0.512280701754386,False,157,128,65,83,63,74
15,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1362,267,52,11,9 10 20 35 39 45 47 48 52 57 62,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.44569288389513106,0.4400258194881006,0.3863975155279503,0.5093632958801498,False,214,53,18,101,35,113
16,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1379,250,53,10,1 3 19 25 36 40 42 53 55 61,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.52,0.5170338114754098,0.5109546165884193,0.512,False,156,94,48,82,46,74
17,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1354,275,53,10,14 23 24 27 29 30 37 56 60 64,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.5309090909090909,0.5450623202301055,0.5236272811505459,0.5418181818181819,False,183,92,56,90,36,93
18,7,first_pass_minimal,CE_plus_SupCon,EMG,valence,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1354,275,53,10,12 15 16 18 21 22 32 33 41 50,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.5127272727272727,0.5076988425188489,0.5064555876995607,0.5309090909090909,False,160,115,55,86,60,74
19,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1350,293,51,11,6 7 8 13 28 45 50 54 58 63 65,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.4948805460750853,0.4772321428571428,0.4652229676400947,0.5460750853242321,False,202,91,38,107,53,95
20,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1342,301,51,11,2 5 11 17 26 31 34 41 44 46 49,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.45182724252491696,0.47127329192546585,0.4165638766519824,0.5348837209302325,False,66,235,105,31,130,35
21,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1387,256,52,10,9 10 20 35 36 39 47 48 59 62,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.48046875,0.48132210217908805,0.4746246547440863,0.50390625,False,100,156,75,48,81,52
22,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1368,275,52,10,1 3 19 25 40 43 53 55 57 61,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.5272727272727272,0.5335081585081585,0.5185574229691876,0.52,False,180,95,54,91,41,89
23,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1383,260,52,10,14 23 24 27 29 30 38 56 60 64,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.5307692307692308,0.531272210376688,0.5307692307692308,0.5153846153846153,False,126,134,69,69,65,57
24,8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1385,258,52,10,12 15 16 18 21 22 32 33 42 52,12,0.001,64,64,0.1,0.1,0.0,3,1.0,0,0,0.5077519379844961,0.5094350961538462,0.4843167188655786,0.5038759689922481,False,73,185,93,38,92,35
25,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1352,277,52,11,6 7 8 13 28 38 43 54 58 59 65,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.5270758122743683,0.5246206174777603,0.5245974662317074,0.5306859205776173,False,150,127,63,83,64,67
26,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1344,285,52,11,2 5 11 17 26 31 34 44 46 49 63,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.4631578947368421,0.46412732827436676,0.46273456463079554,0.512280701754386,False,131,154,70,62,84,69
27,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1362,267,52,11,9 10 20 35 39 45 47 48 52 57 62,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.50187265917603,0.5023293668612483,0.5017608350988453,0.5093632958801498,False,127,140,69,65,71,62
28,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1379,250,53,10,1 3 19 25 36 40 42 53 55 61,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.504,0.5065957991803278,0.4993863445513856,0.512,False,98,152,75,51,77,47
29,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1354,275,53,10,14 23 24 27 29 30 37 56 60 64,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.509090909090909,0.5243155427719186,0.4995349213410442,0.5418181818181819,False,187,88,51,89,37,98
