subject_id,modality,task,label_policy,n,correct,errors,accuracy,error_rate,n_sources,n_recipes,n_folds,variants,recipes,hard_subject_flag
3,EMG,valence,midpoint_as_low,64,24,40,0.375,0.625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
12,EEG,arousal,midpoint_as_low,64,24,40,0.375,0.625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
14,EEG,arousal,midpoint_as_low,64,24,40,0.375,0.625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
39,EEG,valence,midpoint_as_low,64,24,40,0.375,0.625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
59,EMG,arousal,midpoint_as_low,64,24,40,0.375,0.625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
14,EMG,arousal,discard_midpoint,56,21,35,0.375,0.625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
52,EEG,valence,discard_midpoint,56,21,35,0.375,0.625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
7,EEG,valence,discard_midpoint,50,19,31,0.38,0.62,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
5,EEG,arousal,discard_midpoint,60,23,37,0.38333333333333336,0.6166666666666667,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
5,EMG,arousal,discard_midpoint,60,23,37,0.38333333333333336,0.6166666666666667,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
30,EMG,valence,discard_midpoint,60,23,37,0.38333333333333336,0.6166666666666667,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
16,EMG,arousal,midpoint_as_high,192,74,118,0.3854166666666667,0.6145833333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
64,EEG,arousal,midpoint_as_high,192,74,118,0.3854166666666667,0.6145833333333333,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
39,EEG,arousal,discard_midpoint,62,24,38,0.3870967741935484,0.6129032258064516,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
19,EEG,arousal,midpoint_as_high,192,75,117,0.390625,0.609375,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
16,EMG,arousal,midpoint_as_low,64,25,39,0.390625,0.609375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
22,EMG,arousal,midpoint_as_low,64,25,39,0.390625,0.609375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
40,EEG,valence,midpoint_as_low,64,25,39,0.390625,0.609375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
47,EMG,valence,midpoint_as_low,64,25,39,0.390625,0.609375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
49,EMG,valence,midpoint_as_low,64,25,39,0.390625,0.609375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
7,EEG,arousal,discard_midpoint,56,22,34,0.39285714285714285,0.6071428571428572,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
11,EMG,valence,discard_midpoint,56,22,34,0.39285714285714285,0.6071428571428572,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
17,EEG,arousal,midpoint_as_high,192,76,116,0.3958333333333333,0.6041666666666667,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
33,EMG,valence,midpoint_as_high,192,76,116,0.3958333333333333,0.6041666666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
57,EMG,arousal,discard_midpoint,48,19,29,0.3958333333333333,0.6041666666666667,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
48,EEG,valence,discard_midpoint,50,20,30,0.4,0.6,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
57,EMG,arousal,midpoint_as_high,192,77,115,0.4010416666666667,0.5989583333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
9,EMG,valence,discard_midpoint,62,25,37,0.4032258064516129,0.5967741935483871,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
37,EMG,valence,discard_midpoint,42,17,25,0.40476190476190477,0.5952380952380952,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
8,EEG,arousal,midpoint_as_high,192,78,114,0.40625,0.59375,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
37,EEG,valence,midpoint_as_high,192,78,114,0.40625,0.59375,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
59,EMG,valence,midpoint_as_high,192,78,114,0.40625,0.59375,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
5,EMG,arousal,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
8,EEG,arousal,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
19,EEG,arousal,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
20,EEG,valence,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
23,EEG,arousal,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
25,EMG,valence,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
27,EEG,valence,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
28,EEG,arousal,discard_midpoint,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
28,EEG,arousal,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
28,EMG,arousal,discard_midpoint,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
35,EEG,valence,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
35,EMG,valence,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
54,EMG,arousal,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
57,EMG,arousal,midpoint_as_low,64,26,38,0.40625,0.59375,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
29,EMG,valence,discard_midpoint,54,22,32,0.4074074074074074,0.5925925925925926,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
54,EEG,valence,discard_midpoint,54,22,32,0.4074074074074074,0.5925925925925926,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
44,EEG,valence,discard_midpoint,44,18,26,0.4090909090909091,0.5909090909090908,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
47,EEG,valence,discard_midpoint,56,23,33,0.4107142857142857,0.5892857142857143,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
29,EMG,valence,midpoint_as_high,192,79,113,0.4114583333333333,0.5885416666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
54,EMG,arousal,discard_midpoint,46,19,27,0.41304347826086957,0.5869565217391304,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
1,EEG,arousal,discard_midpoint,58,24,34,0.41379310344827586,0.5862068965517242,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
10,EMG,valence,midpoint_as_high,192,80,112,0.4166666666666667,0.5833333333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
42,EMG,valence,midpoint_as_high,192,80,112,0.4166666666666667,0.5833333333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
10,EEG,arousal,discard_midpoint,60,25,35,0.4166666666666667,0.5833333333333333,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
16,EMG,arousal,discard_midpoint,60,25,35,0.4166666666666667,0.5833333333333333,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
11,EEG,arousal,discard_midpoint,48,20,28,0.4166666666666667,0.5833333333333333,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
13,EMG,valence,discard_midpoint,48,20,28,0.4166666666666667,0.5833333333333333,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
34,EEG,valence,discard_midpoint,48,20,28,0.4166666666666667,0.5833333333333333,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
34,EMG,valence,discard_midpoint,48,20,28,0.4166666666666667,0.5833333333333333,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
28,EEG,valence,discard_midpoint,50,21,29,0.42,0.5800000000000001,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
12,EMG,arousal,midpoint_as_high,192,81,111,0.421875,0.578125,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
63,EMG,arousal,midpoint_as_high,192,81,111,0.421875,0.578125,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
65,EMG,valence,midpoint_as_high,192,81,111,0.421875,0.578125,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
11,EMG,valence,midpoint_as_low,64,27,37,0.421875,0.578125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
12,EEG,valence,midpoint_as_low,64,27,37,0.421875,0.578125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
