run_id,cell,input_definition,fold,model,task,normalization
1,A1,current_STIM_BSL_summary,1,ridge_classifier,arousal,none
2,A1,current_STIM_BSL_summary,2,ridge_classifier,arousal,none
3,A1,current_STIM_BSL_summary,3,ridge_classifier,arousal,none
4,A1,current_STIM_BSL_summary,4,ridge_classifier,arousal,none
5,A1,current_STIM_BSL_summary,5,ridge_classifier,arousal,none
6,A1,current_STIM_BSL_summary,6,ridge_classifier,arousal,none
7,A2,BSL_stats_sidecar,1,ridge_classifier,arousal,none
8,A2,BSL_stats_sidecar,2,ridge_classifier,arousal,none
9,A2,BSL_stats_sidecar,3,ridge_classifier,arousal,none
10,A2,BSL_stats_sidecar,4,ridge_classifier,arousal,none
11,A2,BSL_stats_sidecar,5,ridge_classifier,arousal,none
12,A2,BSL_stats_sidecar,6,ridge_classifier,arousal,none
13,A3,STIM_BSL_summary_plus_BSL_stats_concat,1,ridge_classifier,arousal,none
14,A3,STIM_BSL_summary_plus_BSL_stats_concat,2,ridge_classifier,arousal,none
15,A3,STIM_BSL_summary_plus_BSL_stats_concat,3,ridge_classifier,arousal,none
16,A3,STIM_BSL_summary_plus_BSL_stats_concat,4,ridge_classifier,arousal,none
17,A3,STIM_BSL_summary_plus_BSL_stats_concat,5,ridge_classifier,arousal,none
18,A3,STIM_BSL_summary_plus_BSL_stats_concat,6,ridge_classifier,arousal,none
