cell,n_runs,mean_accuracy,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_macro_f1,one_class_collapse_count,mean_delta_vs_R0_balanced_accuracy,fold_wins_vs_R0
R0,6,0.5301609848484848,0.5196420283860655,0.04871184231905719,0.4440530058177117,0.604343025395657,0.5149920014698196,0,0.0,0
R1,6,0.5289299242424242,0.5198088783379148,0.04569300286026497,0.42262443438914027,0.5637626262626263,0.5120230363800399,0,0.00016684995184919801,4
R2,6,0.5465435606060607,0.5284867731698891,0.0318349515984997,0.4602779573367809,0.5568181818181819,0.5175047669683384,0,0.008844744783823624,5
R3,6,0.5489583333333333,0.532721790019799,0.023280831486105845,0.5109443402126329,0.5804195804195804,0.5236734350985458,0,0.01307976163373345,3
