subject_col,stimulus_id,eeg_file,eeg_begin_raw,energy_ratio_gt_40hz,energy_ratio_45_64hz,energy_ratio_gt_64hz,line_50hz_energy_ratio,line_100hz_energy_ratio,stride_vs_poly_z_nrmse,stride_vs_poly_z_corr,status
sbj_P_01,Dummy_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,212425.0,0.010303525845604348,0.006795863212272443,0.0007477105146277411,0.0006469955314336667,8.624350737179335e-06,0.02890272801055824,0.9995823161567728,passed
sbj_P_01,3053,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,226483.0,0.022672514630820564,0.011347238389173935,0.0013314364809072976,0.0017005690919575593,9.195314793036374e-06,0.03948869497062282,0.9992203214847567,passed
sbj_P_01,Tumor_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,239003.0,0.03905415676415406,0.017206077629975156,0.0030996222937030036,0.002881438018767789,1.675656509485164e-05,0.0538930323260589,0.9985477705333484,passed
sbj_P_01,Dog_18,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,253964.0,0.013563293572198326,0.00800062178586504,0.0007471925973983443,0.0014730666402516656,3.711421810018896e-06,0.025126325463144767,0.99968433388436,passed
sbj_P_01,Miserable_pose_3,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,264561.0,0.06085746055984478,0.03385405252172669,0.003400855300432456,0.006129497232321419,1.6609756536317357e-05,0.057305069203598624,0.9983580645217826,passed
sbj_P_01,Pinecone_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,276235.0,0.031092880518706248,0.018181399110165152,0.002226543320796488,0.0030881807248006542,1.7765441796580656e-05,0.05191983072497461,0.9986521655887421,passed
sbj_P_01,Garbage_dump_6,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,287363.0,0.006830559388485188,0.004064106103084218,0.0005500810815489112,0.00044833999406656416,6.6072843053681506e-06,0.02689398277499258,0.9996383568452489,passed
sbj_P_01,Depressed_pose_4,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,296904.0,0.014930580160611844,0.00911892962590033,0.0011080164106493555,0.0014471015029453456,1.5392203935408363e-05,0.029399279961389076,0.9995678411688753,passed
sbj_P_01,Angry_face_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,305880.0,0.012312686243661176,0.00793004861562736,0.0009041270720452874,0.0008070626931381026,9.86277330325614e-06,0.02770934573748638,0.9996160960794003,passed
sbj_P_01,Dog_26,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,315458.0,0.0077019051812182784,0.005106269343651027,0.0003494070826303243,0.0004575750135379505,2.8271407374260214e-06,0.02397834789414061,0.9997125194161334,passed
sbj_P_01,8370,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,326070.0,0.015645154313756234,0.007098710508150423,0.0011468321803279476,0.000765899167399958,6.079013730458772e-06,0.03293013273782821,0.9994578031789324,passed
sbj_P_01,Dog_6,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,335422.0,0.059447261934136485,0.02759869355669308,0.003934425646101373,0.0027162128130305352,2.6920871342656322e-05,0.056696846853623965,0.9983927337784249,passed
sbj_P_01,9220,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,345287.0,0.006404046255735321,0.003915615698181752,0.0007152248833364687,0.00034682570045302066,9.819286452057807e-06,0.027372640132052345,0.9996253692860994,passed
sbj_P_01,Lake_12,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,353739.0,0.006850725346223363,0.0037997232305364585,0.0004937716181519581,0.0005214841493994221,4.590017407485336e-06,0.021322604959128563,0.9997726732588782,passed
sbj_P_01,2314,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,363963.0,0.005097755339374016,0.0033556228670619972,0.0003202970840183223,0.0005078805273185427,2.3789344246329586e-06,0.018893894527186792,0.9998215103747973,passed
sbj_P_01,1750,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,373509.0,0.009793206751821888,0.006473217856270309,0.0008010985156571021,0.0005608070222253894,1.0289044663414276e-05,0.02420006018694978,0.9997071785434738,passed
sbj_P_01,8492,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,382155.0,0.00472293898577578,0.002964274011980998,0.0005678098695557277,0.0003480807538237132,8.002231038826743e-06,0.020746289964977436,0.9997847957263446,passed
sbj_P_01,1441,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,391442.0,0.008159231976404517,0.005263236593327684,0.0006581013867586056,0.0005001368342120882,8.140590709815897e-06,0.02100754631357384,0.9997793414989408,passed
