objective_run_id,model,training_category,modality,task,fold,n_train_pairs,n_val_pairs,accuracy,balanced_accuracy,macro_f1,pred_positive_rate,one_class_pred,subject_overlap,pair_overlap,leakage_guard_pass
44,majority_train_label_no_training,no_training_control,EMG,arousal,2,42836,9356,0.5,0.5,0.3333333333333333,1.0,True,0,0,True
45,majority_train_label_no_training,no_training_control,EMG,arousal,3,42956,9236,0.5,0.5,0.3333333333333333,1.0,True,0,0,True
46,majority_train_label_no_training,no_training_control,EMG,arousal,4,43850,8342,0.5,0.5,0.3333333333333333,1.0,True,0,0,True
47,majority_train_label_no_training,no_training_control,EMG,arousal,5,44016,8176,0.5,0.5,0.3333333333333333,1.0,True,0,0,True
48,majority_train_label_no_training,no_training_control,EMG,arousal,6,43914,8278,0.5,0.5,0.3333333333333333,1.0,True,0,0,True
49,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,1,44384,9124,0.49320473476545373,0.49320473476545373,0.49320473476545373,0.5,False,0,0,True
50,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,2,44062,9446,0.5422401016303197,0.5422401016303197,0.5422401016303197,0.5,False,0,0,True
51,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,3,44164,9344,0.5002140410958904,0.5002140410958904,0.5002140410958904,0.5,False,0,0,True
52,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,4,44886,8622,0.4973324054743679,0.4973324054743679,0.4973324054743679,0.5,False,0,0,True
53,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,5,45140,8368,0.5181644359464627,0.5181644359464627,0.5181644359464627,0.5,False,0,0,True
54,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,6,44904,8604,0.5357973035797303,0.5357973035797303,0.5357973035797303,0.5,False,0,0,True
55,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,1,43388,8804,0.5499772830531576,0.5499772830531576,0.5499772830531576,0.5,False,0,0,True
56,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,2,42836,9356,0.5440359127832407,0.5440359127832407,0.5440359127832407,0.5,False,0,0,True
57,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,3,42956,9236,0.5025985275010827,0.5025985275010827,0.5025985275010827,0.5,False,0,0,True
58,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,4,43850,8342,0.5053943898345721,0.5053943898345721,0.5053943898345721,0.5,False,0,0,True
59,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,5,44016,8176,0.5102739726027398,0.5102739726027398,0.5102739726027398,0.5,False,0,0,True
60,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,6,43914,8278,0.5151002657646775,0.5151002657646775,0.5151002657646775,0.5,False,0,0,True
61,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,1,44384,9124,0.4871766768960982,0.4871766768960982,0.487176670735864,0.5001096010521701,False,0,0,True
62,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,2,44062,9446,0.50709294939657,0.50709294939657,0.50709294939657,0.5,False,0,0,True
63,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,3,44164,9344,0.5027825342465754,0.5027825342465754,0.5027825342465754,0.5,False,0,0,True
64,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,4,44886,8622,0.5064950127580607,0.5064950127580607,0.5064950061194758,0.5001159823706797,False,0,0,True
65,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,5,45140,8368,0.5339388145315488,0.5339388145315488,0.5339388145315488,0.5,False,0,0,True
66,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,6,44904,8604,0.5287075778707578,0.5287075778707577,0.5287075715044203,0.4998837749883775,False,0,0,True
67,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,1,43388,8804,0.5006815084052704,0.5006815084052704,0.5006815084052704,0.5,False,0,0,True
68,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,2,42836,9356,0.5017101325352715,0.5017101325352715,0.5017101325352715,0.5,False,0,0,True
69,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,3,42956,9236,0.5207882200086618,0.5207882200086618,0.5207882200086618,0.5,False,0,0,True
