modality,task,fold,seed,candidate,base_feature_block,description,leakage_risk,transform_note,feature_dim,n_train,n_val,train_class0,train_class1,val_class0,val_class1,domain_shift_mean_abs_z,domain_shift_centroid_l2,train_class_separation,val_class_separation,val_train_separation_ratio,train_pos_rate,val_pos_rate,val_balance_gap
EMG,valence,6,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1354,275,683,671,146,129,0.1444111317396164,0.17087820172309875,0.03230439871549606,0.10109470784664154,3.1293440683692606,0.49556868537666177,0.4690909090909091,0.030909090909090886
EMG,arousal,1,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1350,293,686,664,160,133,0.08956650644540787,0.14042823016643524,0.046906862407922745,0.056620899587869644,1.2070662929698193,0.4918518518518519,0.4539249146757679,0.0460750853242321
EMG,arousal,1,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1350,293,686,664,160,133,0.0895664393901825,0.14042803645133972,0.046906985342502594,0.056621260941028595,1.207070832985124,0.4918518518518519,0.4539249146757679,0.0460750853242321
EMG,arousal,1,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1350,293,686,664,160,133,0.08956645429134369,0.14042805135250092,0.04690704122185707,0.05662139877676964,1.2070723334826987,0.4918518518518519,0.4539249146757679,0.0460750853242321
EMG,arousal,1,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1350,293,686,664,160,133,0.08837218582630157,0.1521359384059906,0.046108148992061615,0.05620049312710762,1.218857739855129,0.4918518518518519,0.4539249146757679,0.0460750853242321
EMG,arousal,1,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1350,293,686,664,160,133,0.07931255549192429,0.11600490659475327,0.037984102964401245,0.054381657391786575,1.4316574959070612,0.4918518518518519,0.4539249146757679,0.0460750853242321
EMG,arousal,2,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1342,301,685,657,161,140,0.15636083483695984,0.21774820983409882,0.04770295321941376,0.07543819397687912,1.5813824407780641,0.48956780923994037,0.46511627906976744,0.034883720930232565
EMG,arousal,2,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1342,301,685,657,161,140,0.15636079013347626,0.21774820983409882,0.0477030910551548,0.07543666660785675,1.581345853977973,0.48956780923994037,0.46511627906976744,0.034883720930232565
EMG,arousal,2,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1342,301,685,657,161,140,0.15636080503463745,0.21774818003177643,0.04770313575863838,0.07543829083442688,1.5813784200202459,0.48956780923994037,0.46511627906976744,0.034883720930232565
EMG,arousal,2,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1342,301,685,657,161,140,0.20376986265182495,0.23840071260929108,0.04870201274752617,0.08860170841217041,1.8192243849775158,0.48956780923994037,0.46511627906976744,0.034883720930232565
EMG,arousal,2,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1342,301,685,657,161,140,0.21849331259727478,0.2949712574481964,0.038946617394685745,0.09274595975875854,2.3812999603773806,0.48956780923994037,0.46511627906976744,0.034883720930232565
EMG,arousal,3,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1387,256,717,670,129,127,0.10302596539258957,0.14429886639118195,0.04410334676504135,0.0957256555557251,2.1704358544450906,0.4830569574621485,0.49609375,0.00390625
EMG,arousal,3,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1387,256,717,670,129,127,0.10302608460187912,0.14429889619350433,0.04410343989729881,0.09572548419237137,2.1704273858885146,0.4830569574621485,0.49609375,0.00390625
EMG,arousal,3,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1387,256,717,670,129,127,0.10302609950304031,0.14429891109466553,0.04410345479846001,0.09572657942771912,2.1704514853465913,0.4830569574621485,0.49609375,0.00390625
EMG,arousal,3,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1387,256,717,670,129,127,0.057838618755340576,0.07783319801092148,0.04515573009848595,0.06563489139080048,1.4534907919074755,0.4830569574621485,0.49609375,0.00390625
EMG,arousal,3,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1387,256,717,670,129,127,0.07310175150632858,0.10719814151525497,0.03652438148856163,0.08746830374002457,2.3947266305053194,0.4830569574621485,0.49609375,0.00390625
EMG,arousal,4,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1368,275,714,654,132,143,0.1488981693983078,0.19469185173511505,0.03757166489958763,0.08726641535758972,2.322603828895498,0.4780701754385965,0.52,0.020000000000000018
EMG,arousal,4,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1368,275,714,654,132,143,0.1488981992006302,0.1946917027235031,0.03757175803184509,0.08726613968610764,2.3225907348122945,0.4780701754385965,0.52,0.020000000000000018
EMG,arousal,4,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1368,275,714,654,132,143,0.14889825880527496,0.19469179213047028,0.037571802735328674,0.08726688474416733,2.322607801150609,0.4780701754385965,0.52,0.020000000000000018
EMG,arousal,4,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1368,275,714,654,132,143,0.18836060166358948,0.23260946571826935,0.04099966213107109,0.08148439228534698,1.9873921066166524,0.4780701754385965,0.52,0.020000000000000018
EMG,arousal,4,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1368,275,714,654,132,143,0.15899084508419037,0.19656579196453094,0.029035432264208794,0.08229371160268784,2.8341536885068903,0.4780701754385965,0.52,0.020000000000000018
EMG,arousal,5,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1383,260,712,671,134,126,1.8692692518234253,3.3617355823516846,0.05744647607207298,0.09009528905153275,1.5683071774728652,0.485177151120752,0.4846153846153846,0.015384615384615385
EMG,arousal,5,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1383,260,712,671,134,126,1.869268536567688,3.361732006072998,0.05744650214910507,0.09009558707475662,1.5683116533232968,0.485177151120752,0.4846153846153846,0.015384615384615385
EMG,arousal,5,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1383,260,712,671,134,126,1.869268774986267,3.3617331981658936,0.05744648352265358,0.09009559452533722,1.5683122915176837,0.485177151120752,0.4846153846153846,0.015384615384615385
EMG,arousal,5,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1383,260,712,671,134,126,0.507867693901062,0.7193827629089355,0.05786715820431709,0.0868593230843544,1.5009864799511539,0.485177151120752,0.4846153846153846,0.015384615384615385
EMG,arousal,5,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1383,260,712,671,134,126,0.4902326464653015,0.59378981590271,0.05848727375268936,0.06955941021442413,1.18928813848307,0.485177151120752,0.4846153846153846,0.015384615384615385
EMG,arousal,6,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1385,258,716,669,130,128,0.1058884784579277,0.15768514573574066,0.0379907563328743,0.12422391027212143,3.2697596074185804,0.4830324909747292,0.49612403100775193,0.003875968992248069
EMG,arousal,6,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1385,258,716,669,130,128,0.10588845610618591,0.15768493711948395,0.03799079358577728,0.1242230087518692,3.269732671909801,0.4830324909747292,0.49612403100775193,0.003875968992248069
EMG,arousal,6,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1385,258,716,669,130,128,0.10588846355676651,0.15768492221832275,0.03799080848693848,0.12422387301921844,3.26975413823552,0.4830324909747292,0.49612403100775193,0.003875968992248069
EMG,arousal,6,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1385,258,716,669,130,128,0.19642268121242523,0.24534934759140015,0.04016109183430672,0.11643099784851074,2.899027230176657,0.4830324909747292,0.49612403100775193,0.003875968992248069
EMG,arousal,6,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1385,258,716,669,130,128,0.17142894864082336,0.19620878994464874,0.028530381619930267,0.12928561866283417,4.53134798675586,0.4830324909747292,0.49612403100775193,0.003875968992248069
