candidate_id,modality,task,n_runs,mean_macro_f1,std_macro_f1,mean_bal_acc,mean_acc,folds_over_055_macro_f1,folds_under_050_macro_f1,mean_pos_cov,baseline_macro_f1,baseline_bal_acc,vrex_macro_f1,vrex_bal_acc,delta_vs_A0_macro_f1,delta_vs_A0_bal_acc,delta_vs_A6_macro_f1,delta_vs_A6_bal_acc,candidate_label
A5_cross_subject_supcon_vrex,EMG,arousal,6,0.5196834257783716,0.030968766943872933,0.5236952485292877,0.5306344696969697,1,1,1.0,0.5035646183275787,0.5087416697547914,0.5163914725355866,0.5203793997616545,0.01611880745079286,0.014953578774496323,0.003291953242784973,0.003315848767633245,cross-subject SupCon + VREx
A4_rating_distance_guarded_supcon,EEG,arousal,6,0.5303745146178792,0.024033620711363654,0.5322516749884922,0.5342329545454546,1,1,1.0,0.5154012214815265,0.5193954079780911,0.5108710069454573,0.5133614073038123,0.014973293136352761,0.012856267010401101,0.019503507672421927,0.01889026768467994,rating-distance guarded SupCon
A2_cross_subject_positive_only,EEG,arousal,6,0.528470988168258,0.01540175375044176,0.5305265278260314,0.5322916666666667,1,0,1.0,0.5154012214815265,0.5193954079780911,0.5108710069454573,0.5133614073038123,0.013069766686731543,0.01113111984794024,0.01759998122280071,0.01716512052221908,cross-subject SupCon only
A6_vrex_only_recheck,EMG,arousal,6,0.5163914725355866,0.030702181564858745,0.5203793997616545,0.5263257575757575,1,2,0.0,0.5035646183275787,0.5087416697547914,0.5163914725355866,0.5203793997616545,0.012826854208007887,0.011637730006863078,0.0,0.0,VREx only
A5_cross_subject_supcon_vrex,EEG,arousal,6,0.5236424381262472,0.019553786262169245,0.525737396868546,0.5267045454545455,0,1,1.0,0.5154012214815265,0.5193954079780911,0.5108710069454573,0.5133614073038123,0.008241216644720772,0.006341988890454897,0.012771431180789938,0.012375989564733736,cross-subject SupCon + VREx
A2_cross_subject_positive_only,EMG,arousal,6,0.5089919187982731,0.04008319708127985,0.514596370747667,0.5183238636363636,1,3,1.0,0.5035646183275787,0.5087416697547914,0.5163914725355866,0.5203793997616545,0.005427300470694396,0.00585470099287555,-0.007399553737313491,-0.0057830290139875284,cross-subject SupCon only
A5_cross_subject_supcon_vrex,EMG,valence,6,0.4949631408864101,0.026271173085810062,0.5020070414922281,0.5145359848484848,0,3,1.0,0.49336780365431077,0.5012775879081236,0.48225347106687994,0.49535183590462645,0.0015953372320993142,0.000729453584104478,0.012709669819530145,0.006655205587601631,cross-subject SupCon + VREx
A4_rating_distance_guarded_supcon,EMG,arousal,6,0.5042272092798555,0.028119115330702892,0.5116143785412332,0.5154829545454546,0,4,1.0,0.5035646183275787,0.5087416697547914,0.5163914725355866,0.5203793997616545,0.0006625909522768314,0.0028727087864417467,-0.012164263255731056,-0.008765021220421332,rating-distance guarded SupCon
A0_CE_control,EEG,valence,6,0.5228032451002834,0.008544669295814454,0.5282840721925769,0.5365530303030303,0,0,0.0,0.5228032451002834,0.5282840721925769,0.5096461197389859,0.5148414295044718,0.0,0.0,0.01315712536129754,0.013442642688105133,CE control
A0_CE_control,EEG,arousal,6,0.5154012214815265,0.0281872765522954,0.5193954079780911,0.5201231060606061,0,1,0.0,0.5154012214815265,0.5193954079780911,0.5108710069454573,0.5133614073038123,0.0,0.0,0.004530214536069166,0.006034000674278839,CE control
