repetition,role,axis,entity_id,fold_index_0based,fold_index_1based,seed,manifest_sha256,partition_uses_labels
0,primary,stimulus,1441,3,4,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,1750,1,2,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,2314,2,3,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,2491,0,1,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,3053,3,4,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,3063,1,2,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,3080,3,4,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,3170,2,3,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,4220,3,4,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,5760,1,2,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,8080,2,3,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,8370,3,4,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,8492,1,2,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,9220,3,4,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,9331,0,1,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,9360,0,1,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Angry_face_1,3,4,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Beach_1,2,3,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Depressed_pose_4,0,1,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Dog_18,2,3,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Dog_26,1,2,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Dog_6,2,3,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Dummy_1,2,3,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Flowers_6,0,1,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Garbage_dump_6,0,1,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Lake_12,0,1,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Lake_3,0,1,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Miserable_pose_3,1,2,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Pinecone_1,2,3,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Snow_1,3,4,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Tumor_1,1,2,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,stimulus,Yarn_1,1,2,53458622,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
