dataset,repetition,role,axis,entity_id,fold_index_0based,fold_index_1based,seed,partition_uses_labels,manifest_sha256
DEAP,0,primary,stimulus,exp01,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp02,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp03,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp04,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp05,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp06,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp07,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp08,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp09,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp10,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp11,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp12,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp13,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp14,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp15,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp16,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp17,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp18,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp19,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp20,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp21,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp22,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp23,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp24,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp25,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
