target,model,n,mae,rmse,pearson,spearman,ccc,balanced_accuracy,macro_f1,auroc,dev_rmse,dev_mae,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std
arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.5793812998802726,0.7686230248306998,0.7739110736354597,0.816073636699185,1.9442049821165959,1.5799251152073732,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
arousal,emg_expanded_ridge_residual_noaug,2016,1.635928412461511,2.0254897136371697,0.6013448272687199,0.5855364332444125,0.5659673699527366,0.766020680749554,0.7668599117418016,0.811623036878589,2.0254897136371697,1.635928412461511,0.032281209557202685,0.040192362926341464,0.5208333333333334,0.6342562313819026,-0.056003297254137774,-0.0812847315205738,-0.03303066736176952,-0.012963532933307875,-0.013413929927536095,-0.002602344081145791,-0.0070511618936581755,-0.004450599820595924,-0.056003297254137774,-0.0812847315205738,,,0.5208333333333334,0.6342562313819026
arousal,emg_expanded_ridge_residual_aug,2016,1.6587300468580095,2.053242736968759,0.5913459758246864,0.5785351225657025,0.5605357131585395,0.7597234680834984,0.7600881835182371,0.8089516912498371,2.053242736968759,1.6587300468580095,0.038777471872945675,0.04021338013000126,0.5109126984126984,0.7394131332795013,-0.07880493165063629,-0.10903775485216305,-0.04302951880580297,-0.01996484361201789,-0.0188455867217332,-0.008899556747201331,-0.013822890117222597,-0.007121945449347855,-0.07880493165063629,-0.10903775485216305,,,0.5109126984126984,0.7394131332795013
arousal,emg_expanded_extratrees_residual_noaug,2016,1.599583502074693,1.9707517372415806,0.62227328181297,0.6003116274587472,0.5722462441250462,0.7692029664093895,0.7727571563105244,0.8175752418066139,1.9707517372415806,1.599583502074693,-0.028488302296036626,-0.028239589933514976,0.4965277777777778,0.27171443894312997,-0.019658386867319688,-0.026546755124984722,-0.012102212817519331,0.0018116612810268329,-0.007135055755226438,0.00057994157868968,-0.0011539173249353052,0.001501605107428916,-0.019658386867319688,-0.026546755124984722,,,0.4965277777777778,0.27171443894312997
arousal,emg_expanded_extratrees_residual_aug,2016,1.601217785518697,1.970173266284092,0.6224947632882457,0.6001956950646631,0.5720873906246107,0.7692276098192488,0.7730592336857834,0.81867379025501,1.970173266284092,1.601217785518697,-0.037023916406595914,-0.03696560701336125,0.49603174603174605,0.25476780258802945,-0.02129267031132387,-0.02596828416749619,-0.011880731342243656,0.0016957288869426934,-0.007293909255661979,0.000604584988548984,-0.0008518399496763029,0.002600153555824991,-0.02129267031132387,-0.02596828416749619,,,0.49603174603174605,0.25476780258802945
valence,stimulus_only,2016,1.02206541218638,1.257773694673858,0.8663072234664694,0.8413570547514742,0.8580903005604849,0.8795593635250918,0.8658039779535107,0.943285935194,1.257773694673858,1.02206541218638,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
valence,emg_expanded_ridge_residual_noaug,2016,1.0513513964103254,1.312637283623365,0.8538225176901193,0.8418506756975098,0.8471252226210053,0.8749444671109298,0.8608695652173913,0.9417753398713551,1.312637283623365,1.0513513964103254,-0.017900627104752605,-0.024796417878361312,0.4880952380952381,0.3536875324241959,-0.02928598422394546,-0.05486358894950705,-0.01248470577635008,0.0004936209460356666,-0.01096507793947954,-0.0046148964141620175,-0.004934412736119387,-0.0015105953226448587,-0.02928598422394546,-0.05486358894950705,,,0.4880952380952381,0.3536875324241959
valence,emg_expanded_ridge_residual_aug,2016,1.0656502060439526,1.3309228751845144,0.8496585682589654,0.8375281864111156,0.8434651553106073,0.875651661453375,0.8618399255320828,0.9394935803476535,1.3309228751845144,1.0656502060439526,-0.013260580052355381,-0.02383329007179083,0.4880952380952381,0.4187715767352265,-0.043584793857572635,-0.07314918051065633,-0.016648655207504026,-0.00382886834035856,-0.01462514524987757,-0.0039077020717167565,-0.003964052421427944,-0.003792354846346435,-0.043584793857572635,-0.07314918051065633,,,0.4880952380952381,0.4187715767352265
valence,emg_expanded_extratrees_residual_noaug,2016,1.0214238829529643,1.2636807551287252,0.8649758589901241,0.851255664682987,0.856991833656786,0.8795593635250918,0.8658039779535107,0.9469604243166054,1.2636807551287252,1.0214238829529643,0.0113328238847089,-0.012648198866557811,0.5148809523809523,0.13691875709573315,0.0006415292334156497,-0.005907060454867219,-0.001331364476345298,0.009898609931512814,-0.0010984669036988581,0.0,0.0,0.0036744891226054843,0.0006415292334156497,-0.005907060454867219,,,0.5148809523809523,0.13691875709573315
valence,emg_expanded_extratrees_residual_aug,2016,1.0226419350721325,1.2643653911601156,0.8648137157242625,0.8509082591689591,0.8567439632861934,0.8794052314248153,0.8657919341031295,0.9469745279074805,1.2643653911601156,1.0226419350721325,0.010971231245680318,-0.01585265932234632,0.501984126984127,0.14328452178938503,-0.0005765228857526061,-0.00659169648625757,-0.001493507742206912,0.009551204417484915,-0.0013463372742914537,-0.00015413210027648283,-1.2043850381227017e-05,0.003688592713480543,-0.0005765228857526061,-0.00659169648625757,,,0.501984126984127,0.14328452178938503
