scope,run_group,test_subject,n,subjects,mae,rmse,accuracy,balanced_accuracy,macro_f1,mcc,pred_dev_std,true_dev_std,dev_pearson,auroc,tn,fp,fn,tp
subject,stimulus_only_oracle_file,1,32,1,1.5544354838709677,1.8757326005488377,0.75,0.7166666666666667,0.722943722943723,0.4526019054848144,0.0,1.8730758315387523,,0.7583333333333333,17,3,5,7
subject,stimulus_only_oracle_file,2,32,1,2.326108870967742,2.7325131631493744,0.625,0.7272727272727273,0.625,0.45454545454545453,0.0,1.5829340702617387,,0.8681818181818182,10,0,12,10
subject,stimulus_only_oracle_file,3,32,1,1.645665322580645,1.8533457350509737,0.71875,0.8548387096774194,0.5060034305317325,0.26639771383306554,0.0,1.353914241378173,,0.967741935483871,22,9,0,1
subject,stimulus_only_oracle_file,5,32,1,1.4047379032258065,1.7548362080449438,0.75,0.7777777777777778,0.746031746031746,0.5945883900105632,0.0,1.5102454224184472,,0.8650793650793651,14,0,8,10
subject,stimulus_only_oracle_file,6,32,1,3.337701612903226,3.7325121194933057,0.375,0.6666666666666666,0.3333333333333333,0.17407765595569785,0.0,1.790167901902087,,0.5,2,0,20,10
subject,stimulus_only_oracle_file,7,32,1,1.3487903225806452,1.6252851346734933,0.6875,0.6875,0.4074074074074074,0.0,0.0,1.2461858921407156,,,22,10,0,0
subject,stimulus_only_oracle_file,8,32,1,1.7182459677419355,1.9187893074403857,0.8125,0.7916666666666667,0.7681159420289855,0.5449492609130661,0.0,1.630470033705313,,0.90625,20,4,2,6
subject,stimulus_only_oracle_file,9,32,1,1.6965725806451613,2.170411362822948,0.65625,0.6686274509803922,0.6476476476476476,0.36309228459184417,0.0,1.8981830747933253,,0.7686274509803921,13,2,9,8
subject,stimulus_only_oracle_file,10,32,1,1.4380040322580645,1.7173703785641625,0.90625,0.8852813852813852,0.893687707641196,0.7895918772038132,0.0,1.7129972872947774,,0.8939393939393939,20,1,2,9
subject,stimulus_only_oracle_file,11,32,1,1.671875,2.026535642212376,0.59375,0.5607287449392713,0.5588547189819725,0.1286949299057178,0.0,1.9006477694544373,,0.5870445344129556,14,5,8,5
subject,stimulus_only_oracle_file,12,32,1,1.0922379032258065,1.3301654805004859,0.84375,0.8236714975845411,0.8128654970760234,0.6279257387790121,0.0,1.2274284576871455,,0.9347826086956522,20,3,2,7
subject,stimulus_only_oracle_file,13,32,1,2.081149193548387,2.4172453841383996,0.6875,0.6875,0.4074074074074074,0.0,0.0,1.4088788982214433,,,22,10,0,0
subject,stimulus_only_oracle_file,14,32,1,1.610383064516129,1.7966571854818605,0.75,0.8666666666666667,0.5897435897435898,0.38297084310253526,0.0,0.8494495885699882,,0.9333333333333333,22,8,0,2
subject,stimulus_only_oracle_file,15,32,1,1.4349798387096775,1.6951581251313257,0.75,0.7090909090909091,0.7090909090909091,0.41818181818181815,0.0,1.6186477056527646,,0.7818181818181819,18,4,4,6
subject,stimulus_only_oracle_file,16,32,1,1.1154233870967742,1.3937183709424947,0.90625,0.9009661835748792,0.887719298245614,0.777878154009821,0.0,1.371204820434612,,0.9371980676328503,21,2,1,8
subject,stimulus_only_oracle_file,17,32,1,1.1703629032258065,1.443007647866153,0.90625,0.94,0.8798498122653317,0.7848566748139434,0.0,1.3129056407007988,,0.9828571428571429,22,3,0,7
subject,stimulus_only_oracle_file,18,32,1,1.862399193548387,2.2144458644257767,0.8125,0.8125,0.8056680161943319,0.674199862463242,0.0,2.1200614760696554,,0.81640625,16,0,6,10
subject,stimulus_only_oracle_file,19,32,1,1.478326612903226,1.8649160854374134,0.6875,0.7142857142857143,0.6825396825396826,0.458682472293863,0.0,1.4699453361764527,,0.8908730158730158,13,1,9,9
subject,stimulus_only_oracle_file,20,32,1,1.2222782258064515,1.6061071539303806,0.75,0.7777777777777778,0.746031746031746,0.5945883900105632,0.0,1.2400897101370107,,0.8809523809523809,14,0,8,10
subject,stimulus_only_oracle_file,21,32,1,1.277217741935484,1.6322030782527182,0.96875,0.9782608695652174,0.9625730994152046,0.9278305692406299,0.0,1.631799589761145,,0.9903381642512078,22,1,0,9
subject,stimulus_only_oracle_file,22,32,1,1.9672379032258065,2.2019212090640568,0.875,0.8545454545454545,0.8545454545454545,0.7090909090909091,0.0,2.143575596227557,,0.9181818181818182,20,2,2,8
subject,stimulus_only_oracle_file,23,32,1,1.2278225806451613,1.4444266565960073,0.90625,0.8846153846153846,0.8981972428419936,0.8150678894028793,0.0,1.1590966729438268,,0.9352226720647774,19,0,3,10
subject,stimulus_only_oracle_file,24,32,1,1.310483870967742,1.48257196823593,0.90625,0.8852813852813852,0.893687707641196,0.7895918772038132,0.0,1.4823221092336485,,0.987012987012987,20,1,2,9
subject,stimulus_only_oracle_file,25,32,1,1.7767137096774193,2.1900265994374353,0.90625,0.8852813852813852,0.893687707641196,0.7895918772038132,0.0,2.18923247648393,,0.9047619047619048,20,1,2,9
subject,stimulus_only_oracle_file,26,32,1,1.861391129032258,2.0975708009095437,0.8125,0.7916666666666667,0.7681159420289855,0.5449492609130661,0.0,1.7189293581328962,,0.84375,20,4,2,6
subject,stimulus_only_oracle_file,27,32,1,1.2263104838709675,1.535350762562059,0.78125,0.7550607287449393,0.7624602332979851,0.5405187056040147,0.0,1.3302540014938895,,0.8603238866396762,17,2,5,8
subject,stimulus_only_oracle_file,28,32,1,1.3870967741935485,1.736794234893714,0.9375,0.9583333333333333,0.9227053140096618,0.8563488385776753,0.0,1.2832399966930983,,0.9947916666666667,22,2,0,8
subject,stimulus_only_oracle_file,29,32,1,1.0892137096774195,1.4303522584477637,0.875,0.8545454545454545,0.8545454545454545,0.7090909090909091,0.0,1.3387930792556502,,0.9181818181818182,20,2,2,8
subject,stimulus_only_oracle_file,30,32,1,0.755040322580645,0.956852374832003,0.9375,0.9272727272727272,0.9272727272727272,0.8545454545454545,0.0,0.9561639397658943,,0.959090909090909,21,1,1,9
subject,stimulus_only_oracle_file,31,32,1,2.011592741935484,2.3482477221801465,0.84375,0.8333333333333333,0.8358974358974359,0.7177405625652734,0.0,2.1966185537351026,,0.9372549019607842,17,0,5,10
subject,stimulus_only_oracle_file,32,32,1,1.0398185483870968,1.2891028761453294,0.875,0.8545454545454545,0.8545454545454545,0.7090909090909091,0.0,1.2823728733282098,,0.9659090909090908,20,2,2,8
subject,stimulus_only_oracle_file,33,32,1,1.466733870967742,1.7088498453534822,0.75,0.75,0.6342857142857142,0.3567530340063379,0.0,1.5470529366384678,,0.8482142857142857,21,7,1,3
subject,stimulus_only_oracle_file,34,32,1,1.1975806451612905,1.370932162726182,0.84375,0.8236714975845411,0.8128654970760234,0.6279257387790121,0.0,1.2872001029750018,,0.9130434782608695,20,3,2,7
subject,stimulus_only_oracle_file,35,32,1,1.1804435483870968,1.552764938493383,0.84375,0.8236714975845411,0.8128654970760234,0.6279257387790121,0.0,1.5253824941246354,,0.8695652173913043,20,3,2,7
subject,stimulus_only_oracle_file,36,32,1,1.3986895161290325,1.6137422213029617,0.84375,0.819838056680162,0.8303287380699894,0.6777932975034471,0.0,1.5074025758264082,,0.9190283400809717,18,1,4,9
subject,stimulus_only_oracle_file,37,32,1,1.2988911290322582,1.579093729239403,0.75,0.7090909090909091,0.7090909090909091,0.41818181818181815,0.0,1.513886625498777,,0.8318181818181819,18,4,4,6
subject,stimulus_only_oracle_file,38,32,1,1.113407258064516,1.3992196939083654,0.875,0.85,0.8614718614718615,0.731126155013931,0.0,1.3855566244123854,,0.9541666666666666,19,1,3,9
subject,stimulus_only_oracle_file,39,32,1,1.719758064516129,2.042019248651355,0.90625,0.9009661835748792,0.887719298245614,0.777878154009821,0.0,1.9867742000953235,,0.932367149758454,21,2,1,8
subject,stimulus_only_oracle_file,40,32,1,2.4994959677419355,2.919191928710636,0.65625,0.6686274509803922,0.6476476476476476,0.36309228459184417,0.0,2.710396573079377,,0.7431372549019608,13,2,9,8
subject,stimulus_only_oracle_file,41,32,1,2.0055443548387095,2.4690247430071826,0.6875,0.6875,0.4074074074074074,0.0,0.0,1.4959771670373037,,,22,10,0,0
subject,stimulus_only_oracle_file,42,32,1,2.253024193548387,2.6523340250498326,0.625,0.7272727272727273,0.625,0.45454545454545453,0.0,1.660115463055621,,0.8454545454545455,10,0,12,10
subject,stimulus_only_oracle_file,43,32,1,1.5972782258064515,1.8068903377094594,0.9375,0.9272727272727272,0.9272727272727272,0.8545454545454545,0.0,1.802734417937777,,0.9909090909090909,21,1,1,9
subject,stimulus_only_oracle_file,44,32,1,1.9823588709677418,2.461961855606203,0.875,0.8545454545454545,0.8545454545454545,0.7090909090909091,0.0,2.4099202277826843,,0.8681818181818182,20,2,2,8
subject,stimulus_only_oracle_file,45,32,1,1.142641129032258,1.5219490856302587,0.78125,0.7467532467532467,0.751937984496124,0.5056936741642399,0.0,1.4722953086219466,,0.7792207792207793,18,3,4,7
subject,stimulus_only_oracle_file,46,32,1,1.4858870967741935,1.9311611674675555,0.625,0.5833333333333334,0.5844155844155844,0.17407765595569785,0.0,1.9285807571028841,,0.7041666666666667,15,5,7,5
