method,n_eval,n_high,zero_rmse_high,model_rmse_high,lift_vs_zero_high,fixed_rmse_same_eval_high,lift_vs_fixed_same_eval_high,locked_bridge_rmse_05ak,lift_vs_locked_bridge_rmse,pearson_high,sign_acc_high
neural_noaug_anchor,192,67,3.6331186294555664,3.6228063106536865,0.010312318801879883,3.4472365379333496,-0.17556977272033691,2.622267149339945,-1.0005391613137413,0.16482012801965362,0.6268656716417911
neural_gaussian_0p10_anchor,192,67,3.6331186294555664,3.6648685932159424,-0.03174996376037598,3.4472365379333496,-0.21763205528259277,2.622267149339945,-1.0426014438759972,0.1271656350743288,0.3582089552238806
