target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_std,pred_dev_std
arousal,physio_eeg_bandpower_ridge,1,32,1.6647904529570012,1.9606382479852644,0.6301680155134606,0.6347161506642685,0.5600111427931189,2.4348944407304396,1.5943491742980893,1.6647904529570015,1.9606382479852646,0.019065340766864843,0.005315736435120089,0.4375,1.8730758315387523,0.30180719748490586
arousal,physio_eeg_bandpower_ridge,2,32,1.9713856876098554,2.3771665144497702,0.7157646174078597,0.7767995218266468,0.4929938671373464,2.3048861143232218,1.6653204639790833,1.9713856876098554,2.3771665144497702,0.03990350040579295,0.04618768328445748,0.71875,1.5829340702617387,0.36209124131092635
arousal,physio_eeg_bandpower_ridge,3,32,1.047578618792373,1.4988375652179469,0.5980350918653866,0.626344840671564,0.5484972151948921,1.5194057226429023,1.501732950845833,1.1819117850250676,1.5878064832126106,0.029228394298870253,0.11217008797653959,0.8125,1.353914241378173,0.3350526285754923
arousal,physio_eeg_bandpower_ridge,5,32,1.3155363223702183,1.5636728118359902,0.6884026880328383,0.7216890182859989,0.6646771135649059,2.0832291640623697,1.6897781861852599,1.3155363223702183,1.5636728118359902,-0.01830822711949657,-0.00219941348973607,0.6875,1.5102454224184472,0.234063049997807
arousal,physio_eeg_bandpower_ridge,6,32,3.4194767283571945,3.8421877744011956,0.3007741618853518,0.3182818777894184,0.08739089286738655,1.39159025488827,1.6887161234962729,3.4194767283571945,3.8421877744011956,-0.05548842936440065,-0.10887096774193547,0.40625,1.7901679019020869,0.32470946890935376
arousal,physio_eeg_bandpower_ridge,7,32,1.3290311864056834,1.619452906998527,0.6771431899365106,0.6948418003623675,0.4464887689201409,0.909477013178453,1.7175860765209046,1.3290311864056834,1.619452906998527,-0.08072767008537102,-0.09623315960131196,0.65625,1.2461858921407156,0.24415067559066786
arousal,physio_eeg_bandpower_ridge,8,32,1.9924427240330607,2.199540528799434,0.7740148669680003,0.7943896631045605,0.5764160767140681,2.4929588343973914,1.7059494126753192,1.9924427240330604,2.199540528799434,0.21566324721471655,0.1502932551319648,0.28125,1.630470033705313,0.2693907262908239
arousal,physio_eeg_bandpower_ridge,9,32,1.5576707399585377,1.8972775707229361,0.472866374023531,0.4490758744237949,0.4674886339732564,1.96229099205495,1.7028330932583953,1.5576707399585374,1.8972775707229361,0.08519349449630007,0.17431949482066222,0.6875,1.898183074793325,0.276412586045048
arousal,physio_eeg_bandpower_ridge,10,32,1.4606058354180442,1.7542981022740287,0.7423378691359918,0.6242369834278935,0.6645660643835624,2.567069097239106,1.5998113724973955,1.4606058354180442,1.7542981022740287,-0.07847772055337146,-0.07167079124592948,0.5,1.7129972872947774,0.2338708029641629
arousal,physio_eeg_bandpower_ridge,11,32,1.6372912702713052,1.956283835732191,0.45933001153550923,0.46720631537482654,0.44080905493977274,1.8874586088176875,1.7398902540418724,1.6372912702713052,1.956283835732191,0.10769649883854304,0.0350105399692392,0.53125,1.9006477694544375,0.25267952317388165
arousal,physio_eeg_bandpower_ridge,12,32,1.1670789637079446,1.4102572657809627,0.6719767032623472,0.59686761402954,0.5781765802409001,1.1575161985907585,1.7523272308999116,1.1670789637079446,1.4102572657809627,-0.18170519310107938,-0.1948492355356088,0.4375,1.2274284576871455,0.2540990226483881
arousal,physio_eeg_bandpower_ridge,13,32,1.4505332876613084,1.7468550959218103,0.5472721723600187,0.4609576202215563,0.4084518907387788,1.243734296383275,1.5477600431363734,1.4505332876613086,1.7468550959218105,0.289292930258492,0.20307917888563048,0.90625,1.4088788982214433,0.27867378811768156
arousal,physio_eeg_bandpower_ridge,14,32,1.2475045448693902,1.4283236485809487,0.8451415873960709,0.7841593801457681,0.6848810244966902,1.6393596310755,1.6001479023065213,1.24750454486939,1.4283236485809485,-0.1017256200349171,-0.01942815249266862,0.96875,0.8494495885699882,0.2296501132868701
arousal,physio_eeg_bandpower_ridge,15,32,1.4969335337532417,1.7374347370964789,0.6923226087538742,0.6819740300765053,0.6358820367045999,2.214123697989794,1.7195351662957594,1.496933533753242,1.7374347370964789,0.11173619313249047,0.12702777067373178,0.34375,1.6186477056527644,0.192093418879997
arousal,physio_eeg_bandpower_ridge,16,32,1.1033325437802874,1.3384714470722556,0.8579535123207345,0.803261163575352,0.7976053836298865,2.4486922530199666,1.680271198091582,1.1033325437802874,1.3384714470722556,0.2540895161674698,0.20786362473883382,0.59375,1.371204820434612,0.3249968198115196
arousal,physio_eeg_bandpower_ridge,17,32,1.2545108119190806,1.5675194370752061,0.8404940081461434,0.8262483593409162,0.7272050660579951,2.3747943989954163,1.6408006940552728,1.2545108119190809,1.5675194370752061,0.008236728942076735,-0.06415543973420797,0.40625,1.3129056407007988,0.2520466898019956
arousal,physio_eeg_bandpower_ridge,18,32,1.802936642805447,2.0975373565828805,0.7294793447702285,0.7328857582022041,0.6219981154444434,2.9679275176459416,1.6719305246610277,1.802936642805447,2.0975373565828805,0.17918805211597455,0.12573313782991202,0.625,2.1200614760696554,0.26155995350780814
arousal,physio_eeg_bandpower_ridge,19,32,1.589068076653939,1.9529516237537665,0.6399283094824179,0.6820194127800737,0.5147505471277712,1.9354828209002528,1.6332929743793,1.589068076653939,1.9529516237537665,-0.04717203380635016,-0.09073412190980841,0.3125,1.4699453361764527,0.39099902420635163
arousal,physio_eeg_bandpower_ridge,20,32,1.2654492660427206,1.6070584392344602,0.79989996705005,0.8085276455845581,0.7043278315805704,2.1423920626253263,1.7949944821870887,1.2654492660427206,1.6070584392344602,0.03292911404242094,-0.003666025127669027,0.5625,1.2400897101370107,0.39230658166122684
arousal,physio_eeg_bandpower_ridge,21,32,1.3077224876308566,1.662561164547471,0.8363222283149607,0.7135181254788957,0.7331387241980504,2.745557491202834,1.6535665833913336,1.3077224876308564,1.662561164547471,0.05277063746753907,0.04728739002932551,0.53125,1.631799589761145,0.2386598858743295
arousal,physio_eeg_bandpower_ridge,22,32,1.9782173540235728,2.270698545908255,0.7222637568447369,0.6991791485092647,0.5839808317991834,3.0355961111452228,1.6505717536748021,1.9782173540235728,2.270698545908255,-0.02623301274513492,0.012463343108504396,0.4375,2.143575596227557,0.27500161669879625
