path,extension,size_bytes,size_mb,kind,columns,sample_rows,estimated_rows,object_type,dict_keys,shape,dtype,list_len,first_type,npz_keys,npz_shapes,npz_dtypes
.cache/idare_eeg_windows_32x640_float32.npy,.npy,165150848,157.5001,npy,,,,,,"[2016, 32, 640]",float32,,,,,
.cache/idare_eeg_windows_32x640_float32_baseline_corrected.npy,.npy,165150848,157.5001,npy,,,,,,"[2016, 32, 640]",float32,,,,,
.cache/idare_raw_emg_windows_2x10000_float32.npy,.npy,161280128,153.8087,npy,,,,,,"[2016, 2, 10000]",float32,,,,,
.cache/deap_eeg_windows_32x640_float32_smoke.npy,.npy,78643328,75.0001,npy,,,,,,"[960, 32, 640]",float32,,,,,
docs/idare_label_semantics_alternative_pairwise_feature_representation_patch_first_pass_predictions.csv,.csv,41561678,39.6363,csv,"[""objective_run_id"", ""feature_set_id"", ""model"", ""fold"", ""subject"", ""left_index"", ""right_index"", ""y_true"", ""y_pred"", ""score""]",20.0,417536.0,,,,,,,,,
docs/roca/idare_physiology_after_fewshot_audit_current_fold_summary.csv,.csv,34182868,32.5993,csv,"[""target"", ""block"", ""test_subject"", ""k_calibration"", ""repeat"", ""alpha"", ""calibration_n"", ""eval_n"", ""bias_raw"", ""bias_shrink"", ""physio_pred_std_eval""]",20.0,315630.0,,,,,,,,,
docs/roca/idare_physiology_informed_personalization_challenge_smoke_current_predictions.csv,.csv,27019533,25.7678,csv,"[""subject_id"", ""stimulus_id"", ""target"", ""y_true"", ""stimulus_pred"", ""block"", ""k_calibration"", ""repeat"", ""held_subject"", ""model"", ""y_pred""]",20.0,241685.0,,,,,,,,,
docs/idare_label_policy_ablation_emg_primary.json,.json,22152520,21.1263,json,,,,dict,"[""aggregates"", ""best_by_task_policy"", ""best_policy_by_task"", ""condition"", ""created_or_updated_utc"", ""label"", ""matrix"", ""modality"", ""prediction_rows_total"", ""runs"", ""sources"", ""status"", ""validation""]",,,,,,,
docs/roca/idare_physiology_after_fewshot_audit_smoke_current_predictions.csv,.csv,18989506,18.1098,csv,"[""target"", ""block"", ""test_subject"", ""stimulus_id"", ""k_calibration"", ""repeat"", ""model"", ""alpha"", ""y_true"", ""y_pred"", ""stimulus_pred"", ""physio_residual_pred"", ""is_physio_model""]",20.0,131328.0,,,,,,,,,
docs/idare_label_policy_ablation_eeg_primary.json,.json,14478035,13.8073,json,,,,dict,"[""aggregates"", ""best_by_task_policy"", ""best_policy_by_task"", ""condition"", ""created_or_updated_utc"", ""label"", ""matrix"", ""modality"", ""prediction_rows_total"", ""runs"", ""sources"", ""status"", ""validation""]",,,,,,,
docs/roca/eeg_oracle_arch_ablation_valence_current_predictions.csv,.csv,11209489,10.6902,csv,"[""test_subject"", ""stimulus_id"", ""target"", ""augmentation_config"", ""model"", ""y_true_score"", ""train_stimulus_mean"", ""true_deviation_from_train_stimulus_mean"", ""y_pred_deviation_raw"", ""y_pred_score_raw"", ""y_pred_score_clipped"", ""y_pred_deviation_clipped"", ""arch_config"", ""arch_description""]",20.0,48384.0,,,,,,,,,
