target,decision,best_candidate_model,best_k_calibration,locked_reference_model,best_rmse,locked_reference_rmse,best_lift_vs_locked_reference_rmse,best_lift_vs_stimulus_rmse,mean_subject_improvement_locked_minus_model,ci95_low_mean_subject_improvement,ci95_high_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,win_margin,confirmatory_pass,reason
arousal,GO_CONFIRMED_MODEL_FAMILY_CALIBRATION,kernel_residual_shrink4,16,bias_shrink4,1.6576672767528169,1.7343610762407864,0.0766937994879697,0.2882764409522782,0.07691612884550403,0.046819978646512085,0.10835529045465432,4.999750012499375e-05,47,16,31,True,candidate beats locked few-shot reference in pooled RMSE and paired subject-level confirmatory statistics
valence,GO_CONFIRMED_MODEL_FAMILY_CALIBRATION,kernel_residual_shrink4,16,bias_shrink4,1.1591886890005123,1.2461179604777664,0.086929271477254,0.1000239849229198,0.09141381954888461,0.05676904543541538,0.13082985956465765,4.999750012499375e-05,43,20,23,True,candidate beats locked few-shot reference in pooled RMSE and paired subject-level confirmatory statistics
