target,k_calibration,model,subject_id,n,rmse,mae,pearson,stimulus_rmse_reference,lift_vs_stimulus_rmse
arousal,0,stimulus_only,1,32,1.8757326005488377,1.5544354838709677,0.6396747039031424,1.8757326005488377,0.0
arousal,0,stimulus_only,2,32,2.7325131631493744,2.326108870967742,0.7271361956690021,2.7325131631493744,0.0
arousal,0,stimulus_only,3,32,1.8533457350509737,1.645665322580645,0.6357247908214484,1.8533457350509737,0.0
arousal,0,stimulus_only,5,32,1.7548362080449436,1.4047379032258065,0.6946450633141555,1.7548362080449436,0.0
arousal,0,stimulus_only,6,32,3.7325121194933057,3.337701612903226,0.3170827001100329,3.7325121194933057,0.0
arousal,0,stimulus_only,7,32,1.6252851346734933,1.3487903225806452,0.664034725547573,1.6252851346734933,0.0
arousal,0,stimulus_only,8,32,1.9187893074403857,1.7182459677419355,0.7647247061481831,1.9187893074403857,0.0
arousal,0,stimulus_only,9,32,2.170411362822948,1.6965725806451613,0.4570923493746102,2.170411362822948,0.0
arousal,0,stimulus_only,10,32,1.7173703785641625,1.4380040322580645,0.7545455569743079,1.7173703785641625,0.0
arousal,0,stimulus_only,11,32,2.026535642212376,1.6718749999999998,0.4276580639736072,2.026535642212376,0.0
arousal,0,stimulus_only,12,32,1.3301654805004859,1.0922379032258065,0.6670130773110609,1.3301654805004859,0.0
arousal,0,stimulus_only,13,32,2.4172453841383996,2.081149193548387,0.555088672893651,2.4172453841383996,0.0
arousal,0,stimulus_only,14,32,1.7966571854818605,1.610383064516129,0.8654060605055738,1.7966571854818605,0.0
arousal,0,stimulus_only,15,32,1.6951581251313257,1.4349798387096775,0.6843964811202883,1.6951581251313257,0.0
arousal,0,stimulus_only,16,32,1.3937183709424947,1.1154233870967742,0.8490714537900502,1.3937183709424947,0.0
arousal,0,stimulus_only,17,32,1.443007647866153,1.1703629032258065,0.8494711265706565,1.443007647866153,0.0
arousal,0,stimulus_only,18,32,2.2144458644257767,1.862399193548387,0.7211949002894917,2.2144458644257767,0.0
arousal,0,stimulus_only,19,32,1.8649160854374134,1.4783266129032255,0.67305688302963,1.8649160854374134,0.0
arousal,0,stimulus_only,20,32,1.6061071539303806,1.2222782258064515,0.8174181670963804,1.6061071539303806,0.0
arousal,0,stimulus_only,21,32,1.6322030782527182,1.277217741935484,0.8430035229501304,1.6322030782527182,0.0
arousal,0,stimulus_only,22,32,2.2019212090640568,1.9672379032258065,0.7363599371429027,2.2019212090640568,0.0
arousal,0,stimulus_only,23,32,1.4444266565960073,1.2278225806451613,0.8378042177970356,1.4444266565960073,0.0
arousal,0,stimulus_only,24,32,1.48257196823593,1.310483870967742,0.884284626195384,1.48257196823593,0.0
arousal,0,stimulus_only,25,32,2.1900265994374353,1.7767137096774193,0.7183776736175677,2.1900265994374353,0.0
arousal,0,stimulus_only,26,32,2.0975708009095437,1.861391129032258,0.6921782162668518,2.0975708009095437,0.0
arousal,0,stimulus_only,27,32,1.535350762562059,1.2263104838709675,0.6857768600850156,1.535350762562059,0.0
arousal,0,stimulus_only,28,32,1.736794234893714,1.3870967741935485,0.8523115608810486,1.736794234893714,0.0
arousal,0,stimulus_only,29,32,1.4303522584477637,1.0892137096774195,0.7663483928825857,1.4303522584477637,0.0
arousal,0,stimulus_only,30,32,0.956852374832003,0.7550403225806451,0.8934739322809535,0.956852374832003,0.0
arousal,0,stimulus_only,31,32,2.3482477221801465,2.011592741935484,0.7902383180113697,2.3482477221801465,0.0
arousal,0,stimulus_only,32,32,1.2891028761453294,1.0398185483870965,0.7650874662357704,1.2891028761453294,0.0
arousal,0,stimulus_only,33,32,1.7088498453534822,1.466733870967742,0.5550418725169379,1.7088498453534822,0.0
arousal,0,stimulus_only,34,32,1.370932162726182,1.1975806451612905,0.8577420069249222,1.370932162726182,0.0
arousal,0,stimulus_only,35,32,1.552764938493383,1.1804435483870968,0.5524171309417635,1.552764938493383,0.0
arousal,0,stimulus_only,36,32,1.6137422213029615,1.3986895161290323,0.8281688496029959,1.6137422213029615,0.0
arousal,0,stimulus_only,37,32,1.579093729239403,1.2988911290322582,0.503569928255726,1.579093729239403,0.0
arousal,0,stimulus_only,38,32,1.3992196939083654,1.1134072580645162,0.7229243531153058,1.3992196939083654,0.0
arousal,0,stimulus_only,39,32,2.042019248651355,1.719758064516129,0.7676405249461905,2.042019248651355,0.0
arousal,0,stimulus_only,40,32,2.919191928710636,2.4994959677419355,0.4684225945889068,2.919191928710636,0.0
arousal,0,stimulus_only,41,32,2.4690247430071826,2.0055443548387095,0.4297075601558554,2.4690247430071826,0.0
arousal,0,stimulus_only,42,32,2.6523340250498326,2.253024193548387,0.6793976578000543,2.6523340250498326,0.0
arousal,0,stimulus_only,43,32,1.8068903377094594,1.5972782258064515,0.8638948839185943,1.8068903377094594,0.0
arousal,0,stimulus_only,44,32,2.461961855606203,1.9823588709677418,0.5186399224228903,2.461961855606203,0.0
arousal,0,stimulus_only,45,32,1.5219490856302587,1.142641129032258,0.6039531069248716,1.5219490856302587,0.0
arousal,0,stimulus_only,46,32,1.9311611674675555,1.4858870967741935,0.40967788010441525,1.9311611674675555,0.0
arousal,0,stimulus_only,47,32,2.441804445284562,2.015120967741935,0.5370668726263562,2.441804445284562,0.0
arousal,0,stimulus_only,48,32,1.3047018848475163,1.0493951612903225,0.7967730533808148,1.3047018848475163,0.0
arousal,0,stimulus_only,49,32,2.3836409706151227,2.065524193548387,0.3876173089081509,2.3836409706151227,0.0
arousal,0,stimulus_only,50,32,1.3913277090479512,1.2056451612903225,0.8978581496271996,1.3913277090479512,0.0
arousal,0,stimulus_only,52,32,2.018432152260223,1.702116935483871,0.48814867280672436,2.018432152260223,0.0
arousal,0,stimulus_only,53,32,1.1178085559441453,0.8991935483870968,0.8850872703819913,1.1178085559441453,0.0
arousal,0,stimulus_only,54,32,1.6993827114266937,1.4773185483870968,0.6430736368541089,1.6993827114266937,0.0
arousal,0,stimulus_only,55,32,2.4616497908979853,2.25,0.7950465863012915,2.4616497908979853,0.0
arousal,0,stimulus_only,56,32,1.4504419560416728,1.2288306451612905,0.8656702754372579,1.4504419560416728,0.0
arousal,0,stimulus_only,57,32,2.166632480586249,1.836693548387097,0.3731227757768021,2.166632480586249,0.0
arousal,0,stimulus_only,58,32,1.5841130079171235,1.3074596774193548,0.8988644335320037,1.5841130079171235,0.0
arousal,0,stimulus_only,59,32,2.058506247467732,1.5524193548387097,0.6592880734724359,2.058506247467732,0.0
arousal,0,stimulus_only,60,32,2.415655774314542,2.089717741935484,0.8284694603679771,2.415655774314542,0.0
arousal,0,stimulus_only,61,32,1.8649160854374134,1.611391129032258,0.8895476149988314,1.8649160854374134,0.0
arousal,0,stimulus_only,62,32,2.092926447829683,1.742439516129032,0.7970900544626541,2.092926447829683,0.0
arousal,0,stimulus_only,63,32,2.1826475464845023,1.8578629032258065,0.7844496410078389,2.1826475464845023,0.0
arousal,0,stimulus_only,64,32,1.5094466023232982,1.2545362903225805,0.7671576636270417,1.5094466023232982,0.0
arousal,0,stimulus_only,65,32,2.0286826907965585,1.908266129032258,0.9102085544158178,2.0286826907965585,0.0
arousal,1,affine_residual_ridge1,1,3100,2.724057650068536,2.217346514047867,0.3941385677242399,1.8742396665893948,-0.8498179834791413
arousal,1,affine_residual_ridge1,2,3100,2.1965506708134863,1.7637877211238293,0.5273081200571994,2.7402963056522385,0.5437456348387522
arousal,1,affine_residual_ridge1,3,3100,1.9632105242225502,1.525577523413111,0.4767270438795968,1.8544657816297052,-0.10874474259284495
arousal,1,affine_residual_ridge1,5,3100,2.1369539347155735,1.7653485952133192,0.5014741776118697,1.7554685413313185,-0.381485393384255
arousal,1,affine_residual_ridge1,6,3100,2.4669491969715116,2.0134963579604577,0.21237578536686724,3.7333589794235413,1.2664097824520297
arousal,1,affine_residual_ridge1,7,3100,1.8455229119600132,1.519188345473465,0.5155122226177551,1.6256112273981995,-0.21991168456181365
arousal,1,affine_residual_ridge1,8,3100,2.385666845392259,1.8446201873048906,0.5128605167542062,1.9171157332614375,-0.46855111213082146
arousal,1,affine_residual_ridge1,9,3100,2.5697347408987805,2.079177939646202,0.31348136596826526,2.181549095630896,-0.38818564526788446
arousal,1,affine_residual_ridge1,10,3100,2.4500641364598894,2.019729448491155,0.5057827706056033,1.7184087804904975,-0.7316553559693919
arousal,1,affine_residual_ridge1,11,3100,2.6230909994111853,2.1542976066597292,0.27673017786218534,2.0308030195713114,-0.5922879798398739
arousal,1,affine_residual_ridge1,12,3100,1.7121794171612494,1.3818938605619147,0.5426433782702389,1.3292963238971693,-0.3828830932640801
arousal,1,affine_residual_ridge1,13,3100,2.0201872995307784,1.6218418314255985,0.4164386069188356,2.4239573633735505,0.40377006384277214
arousal,1,affine_residual_ridge1,14,3100,1.21763776938689,0.9729760665972944,0.7641268955795455,1.7998589190531527,0.5822211496662626
arousal,1,affine_residual_ridge1,15,3100,2.3807699785952647,1.8862122788761706,0.45872601928615186,1.6938257292355796,-0.6869442493596851
arousal,1,affine_residual_ridge1,16,3100,2.0115910635518928,1.614016649323621,0.626458938494016,1.3910532712483397,-0.6205377923035531
arousal,1,affine_residual_ridge1,17,3100,1.8793377313517727,1.5469406867845992,0.6515188350614595,1.4416503138897858,-0.4376874174619869
arousal,1,affine_residual_ridge1,18,3100,2.9545577048993317,2.444443288241415,0.43897039003501137,2.21719647061755,-0.7373612342817815
arousal,1,affine_residual_ridge1,19,3100,2.133530116248659,1.7591467221644124,0.48236865705882315,1.8626231483537017,-0.2709069678949574
arousal,1,affine_residual_ridge1,20,3100,1.7844718830265938,1.4396357960457857,0.6466075778134143,1.6130495771271098,-0.17142230589948393
arousal,1,affine_residual_ridge1,21,3100,2.3250016287297632,1.8731529656607702,0.5863857041269678,1.6329214554313187,-0.6920801732984445
arousal,1,affine_residual_ridge1,22,3100,3.1235527883190746,2.5441415192507804,0.41854273457845215,2.202083897582975,-0.9214688907360995
arousal,1,affine_residual_ridge1,23,3100,1.777097613799489,1.4486784599375648,0.642074995760325,1.443695078554646,-0.33340253524484287
arousal,1,affine_residual_ridge1,24,3100,2.1120914947890976,1.7380645161290322,0.6434900174383583,1.483350302265328,-0.6287411925237696
arousal,1,affine_residual_ridge1,25,3100,3.068343795012098,2.445109261186264,0.42361216125320966,2.19371307608492,-0.874630718927178
arousal,1,affine_residual_ridge1,26,3100,2.5976713957322297,2.052872008324662,0.4344312165517196,2.0938782130130726,-0.5037931827191571
arousal,1,affine_residual_ridge1,27,3100,1.9765051112426244,1.558251821019771,0.5074506536778175,1.5343919639179293,-0.4421131473246951
arousal,1,affine_residual_ridge1,28,3100,1.864888577241321,1.4944953173777316,0.6530222559564521,1.7390846039345451,-0.12580397330677595
arousal,1,affine_residual_ridge1,29,3100,1.9347071802690399,1.5253069719042665,0.5783614499419302,1.4279308242549333,-0.5067763560141065
arousal,1,affine_residual_ridge1,30,3100,1.3481333997503882,1.0842559833506762,0.7721683351380416,0.9581044568556806,-0.3900289428947076
arousal,1,affine_residual_ridge1,31,3100,3.1403006278537484,2.590270551508845,0.453352571711592,2.3458865444933155,-0.794414083360433
arousal,1,affine_residual_ridge1,32,3100,1.84085025189293,1.4985431841831425,0.5902249357355854,1.2892234197172474,-0.5516268321756825
arousal,1,affine_residual_ridge1,33,3100,2.2331838708595932,1.832570239334027,0.39001895634008493,1.7054230389951592,-0.527760831864434
arousal,1,affine_residual_ridge1,34,3100,1.8968711705478756,1.5136524453694067,0.6474043839754102,1.3683700982763407,-0.5285010722715349
arousal,1,affine_residual_ridge1,35,3100,2.2975216253926147,1.8304890738813735,0.37540978057047286,1.5467741121680882,-0.7507475132245265
arousal,1,affine_residual_ridge1,36,3100,2.144969673712111,1.7620499479708636,0.600664957543283,1.6148863978444437,-0.5300832758676675
arousal,1,affine_residual_ridge1,37,3100,2.1238559642688,1.73,0.3688704344055545,1.581884800272114,-0.5419711639966862
