arch_config,augmentation_config,target,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_true_dev_std,lift_vs_stimulus_pred_dev_std
A0_current,gaussian_0p10,arousal,eeg_oracle_arch_A0_current,2016,1.4787821481316243,1.8407343124610542,0.6820393070910304,0.6739735358138871,0.7827535560440426,0.7857142857142857,0.8552884209926803,1.4787821481316243,1.8407343124610542,0.325882542727402,0.33349637865695275,0.6225198412698413,-1.409807015397024e-17,1.9442049821165959,-0.08047666532791596,0.5759626701994573,0.10114296707574888,0.10347066965554164,0.04766381246054108,0.07547356963616669,0.014130531213342845,0.011803212078825953,0.03921478429349534,0.10114296707574888,0.10347066965554164,,,0.6225198412698413,0.0,0.5759626701994573
A0_current,gaussian_0p10,arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.7686230248306998,0.7739110736354597,0.816073636699185,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A10_lr_low,gaussian_0p10,arousal,eeg_oracle_arch_A10_lr_low,2016,1.4902085504314726,1.8559672487919368,0.6761298661723464,0.6657997163471026,0.7792624063139701,0.7843959241947811,0.8489884701699738,1.4902085504314726,1.8559672487919368,0.30530029312056695,0.3045887768479303,0.6116071428571429,-1.409807015397024e-17,1.9442049821165959,-0.10965991857903984,0.5230175641833618,0.08971656477590062,0.08823773332465912,0.041754371541857016,0.06729975016938217,0.010639381483270371,0.010484850559321357,0.03291483347078883,0.08971656477590062,0.08823773332465912,,,0.6116071428571429,0.0,0.5230175641833618
A10_lr_low,gaussian_0p10,arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.7686230248306998,0.7739110736354597,0.816073636699185,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A11_lr_high,gaussian_0p10,arousal,eeg_oracle_arch_A11_lr_high,2016,1.4685353501381249,1.8286372606399206,0.6870819712608484,0.6788547644651238,0.7773073624651295,0.7810701028608567,0.8552314673343387,1.4685353501381249,1.8286372606399206,0.34651373173121475,0.35751313885368513,0.6393849206349206,-1.409807015397024e-17,1.9442049821165959,-0.07493758967137512,0.5631097763469776,0.11138976506924836,0.11556772147667527,0.05270647663035899,0.08035479828740344,0.008684337634429773,0.007159029225396907,0.03915783063515377,0.11138976506924836,0.11556772147667527,,,0.6393849206349206,0.0,0.5631097763469776
A11_lr_high,gaussian_0p10,arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.7686230248306998,0.7739110736354597,0.816073636699185,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A1_low_dropout,gaussian_0p10,arousal,eeg_oracle_arch_A1_low_dropout,2016,1.4669714773495934,1.8366470956522076,0.6834812571357327,0.6748510040319079,0.7870217946316795,0.7882294708706628,0.853523952846752,1.4669714773495934,1.8366470956522076,0.3294126664336024,0.3331333218413461,0.623015873015873,-1.409807015397024e-17,1.9442049821165959,-0.030051617225885608,0.6915064655851791,0.11295363785777979,0.10755788646438824,0.049105762505243344,0.07635103785418751,0.018398769800979764,0.014318397235203006,0.037450316147567,0.11295363785777979,0.10755788646438824,,,0.623015873015873,0.0,0.6915064655851791
A1_low_dropout,gaussian_0p10,arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.7686230248306998,0.7739110736354597,0.816073636699185,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A2_high_dropout,gaussian_0p10,arousal,eeg_oracle_arch_A2_high_dropout,2016,1.4671621115979463,1.8247215345180892,0.6883690983259831,0.6792288792567767,0.7812979519683513,0.7844375869118388,0.8573190379650896,1.4671621115979463,1.8247215345180892,0.3504864037168312,0.34011448177502657,0.6200396825396826,-1.409807015397024e-17,1.9442049821165959,-0.05060737139846076,0.5744396119916777,0.11276300360942693,0.11948344759850671,0.053993603695493775,0.08072891307905627,0.012674927137651504,0.010526513276379101,0.04124540126590459,0.11276300360942693,0.11948344759850671,,,0.6200396825396826,0.0,0.5744396119916777
A2_high_dropout,gaussian_0p10,arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.7686230248306998,0.7739110736354597,0.816073636699185,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
