subject_id,candidate_rmse,locked_rmse,improvement_locked_minus_candidate,delta_rmse_candidate_minus_locked,target,k_calibration,model,locked_reference_model,candidate_lift_vs_locked
42,1.924969453469738,1.747650476074794,-0.17731897739494396,0.17731897739494396,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.17731897739494396
2,1.8503983856424104,1.6973522641563938,-0.1530461214860166,0.1530461214860166,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.1530461214860166
14,1.0938650659837663,0.9442481138558296,-0.1496169521279367,0.1496169521279367,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.1496169521279367
55,1.2153293554116766,1.1074593390120635,-0.10787001639961313,0.10787001639961313,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.10787001639961313
40,2.915243494104542,2.820307038214508,-0.09493645589003386,0.09493645589003386,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.09493645589003386
20,1.4024263747701915,1.322085278002177,-0.08034109676801449,0.08034109676801449,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.08034109676801449
23,1.29384584087447,1.2238602719553209,-0.06998556891914909,0.06998556891914909,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.06998556891914909
5,1.650657204422702,1.5952851826541352,-0.055372021768566704,0.055372021768566704,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.055372021768566704
26,1.8608435219200885,1.8059225517743789,-0.054920970145709624,0.054920970145709624,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.054920970145709624
1,2.027674754210933,1.9802126256526,-0.04746212855833298,0.04746212855833298,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.04746212855833298
64,1.5924478353379308,1.5626994628149733,-0.029748372522957478,0.029748372522957478,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.029748372522957478
29,1.4252034522263453,1.3964134787153772,-0.028789973510968014,0.028789973510968014,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.028789973510968014
30,1.018774157759997,0.9955223880214996,-0.023251769738497297,0.023251769738497297,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.023251769738497297
32,1.3317022948747794,1.3201318719996509,-0.01157042287512855,0.01157042287512855,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.01157042287512855
38,1.4285517655853497,1.4193196041264449,-0.00923216145890482,0.00923216145890482,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.00923216145890482
34,1.3389643984357096,1.3374172030350089,-0.001547195400700696,0.001547195400700696,arousal,16,kernel_residual_shrink4,bias_shrink4,-0.001547195400700696
18,2.18802543932976,2.191178405714873,0.0031529663851133094,-0.0031529663851133094,arousal,16,kernel_residual_shrink4,bias_shrink4,0.0031529663851133094
3,1.4587998476397572,1.4639026754481266,0.005102827808369348,-0.005102827808369348,arousal,16,kernel_residual_shrink4,bias_shrink4,0.005102827808369348
15,1.6882899919545242,1.695198109694977,0.006908117740452857,-0.006908117740452857,arousal,16,kernel_residual_shrink4,bias_shrink4,0.006908117740452857
53,1.0940494689104014,1.105335138354031,0.011285669443629631,-0.011285669443629631,arousal,16,kernel_residual_shrink4,bias_shrink4,0.011285669443629631
18,1.9079514680866136,1.8459153896591352,-0.06203607842747849,0.06203607842747849,valence,16,kernel_residual_shrink4,bias_shrink4,-0.06203607842747849
1,1.209997366098178,1.1553844462569354,-0.05461291984124261,0.05461291984124261,valence,16,kernel_residual_shrink4,bias_shrink4,-0.05461291984124261
29,0.9337065690318628,0.8866728129130886,-0.04703375611877414,0.04703375611877414,valence,16,kernel_residual_shrink4,bias_shrink4,-0.04703375611877414
27,1.3844423596290234,1.3393465522577586,-0.04509580737126484,0.04509580737126484,valence,16,kernel_residual_shrink4,bias_shrink4,-0.04509580737126484
44,1.4845274200753775,1.44019998891283,-0.04432743116254745,0.04432743116254745,valence,16,kernel_residual_shrink4,bias_shrink4,-0.04432743116254745
34,1.1557151027855534,1.121317298712215,-0.03439780407333837,0.03439780407333837,valence,16,kernel_residual_shrink4,bias_shrink4,-0.03439780407333837
20,0.9841227526950148,0.9499798299381318,-0.03414292275688302,0.03414292275688302,valence,16,kernel_residual_shrink4,bias_shrink4,-0.03414292275688302
17,1.234319433154173,1.203063836337378,-0.031255596816794906,0.031255596816794906,valence,16,kernel_residual_shrink4,bias_shrink4,-0.031255596816794906
23,1.0925409628369789,1.0661192870815164,-0.026421675755462504,0.026421675755462504,valence,16,kernel_residual_shrink4,bias_shrink4,-0.026421675755462504
10,1.0642607623042837,1.0432218228124313,-0.021038939491852426,0.021038939491852426,valence,16,kernel_residual_shrink4,bias_shrink4,-0.021038939491852426
63,1.188904538726112,1.1708765015995148,-0.018028037126597063,0.018028037126597063,valence,16,kernel_residual_shrink4,bias_shrink4,-0.018028037126597063
62,1.211368792057148,1.196375052995406,-0.014993739061742062,0.014993739061742062,valence,16,kernel_residual_shrink4,bias_shrink4,-0.014993739061742062
58,1.0105264264551594,0.9968661613277964,-0.01366026512736307,0.01366026512736307,valence,16,kernel_residual_shrink4,bias_shrink4,-0.01366026512736307
5,1.555609785781849,1.5426723727213605,-0.012937413060488456,0.012937413060488456,valence,16,kernel_residual_shrink4,bias_shrink4,-0.012937413060488456
47,1.9110001276808373,1.8980687906330016,-0.012931337047835667,0.012931337047835667,valence,16,kernel_residual_shrink4,bias_shrink4,-0.012931337047835667
53,0.9550528246779788,0.9444171283277724,-0.010635696350206447,0.010635696350206447,valence,16,kernel_residual_shrink4,bias_shrink4,-0.010635696350206447
26,1.5795258206744904,1.569265465495456,-0.010260355179034342,0.010260355179034342,valence,16,kernel_residual_shrink4,bias_shrink4,-0.010260355179034342
32,1.0355444323619014,1.0284853341035938,-0.007059098258307639,0.007059098258307639,valence,16,kernel_residual_shrink4,bias_shrink4,-0.007059098258307639
45,0.9588711387363508,0.9545490413113776,-0.004322097424973137,0.004322097424973137,valence,16,kernel_residual_shrink4,bias_shrink4,-0.004322097424973137
3,1.2195756209650204,1.2163435051426064,-0.0032321158224140056,0.0032321158224140056,valence,16,kernel_residual_shrink4,bias_shrink4,-0.0032321158224140056
