target,subset,n_stimuli,n_trials,n,mae,rmse,pearson,spearman,accuracy,balanced_accuracy,macro_f1,auroc
valence,top25_score_std,8,504,504,1.153673835125448,1.439239378836673,0.678055535822343,0.5445090637395125,0.7837301587301587,0.7868689733408962,0.7809281125506944,0.7979139093716519
valence,top25_entropy,8,504,504,1.05657962109575,1.3272684427992631,0.39603451743300483,0.30935605489258355,0.6964285714285714,0.6892549962054136,0.6887821612349914,0.6880217556286364
valence,top25_deviation_rmse,8,504,504,1.153673835125448,1.439239378836673,0.678055535822343,0.5445090637395125,0.7837301587301587,0.7868689733408962,0.7809281125506944,0.7979139093716519
arousal,top25_score_std,8,504,504,1.9249231950844856,2.2920399059093532,0.3756737257401688,0.29682489851874333,0.7023809523809523,0.6469872185027389,0.6518567639257294,0.6128102387232028
arousal,top25_entropy,8,504,504,1.7757936507936507,2.1020869418095245,0.30003036554793583,0.16015459679439667,0.6507936507936508,0.5984702361157299,0.5970930232558139,0.5064516129032258
arousal,top25_deviation_rmse,8,504,504,1.9249231950844856,2.2920399059093532,0.3756737257401688,0.29682489851874333,0.7023809523809523,0.6469872185027389,0.6518567639257294,0.6128102387232028
