split,fold_id,seed,n_train,n_fit,n_val,n_test,n_high,zero_rmse_high,model_rmse_high,lift_vs_zero_high,pearson_high,sign_acc_high,missing_stimulus_prior_rate_test,best_epoch,best_val_loss,test_subjects,test_stimuli
random_trial_kfold_subjects_overlap,random_fold_1,11,1344,1154,190,672,259,3.3415406325947266,3.3595410731213975,-0.018000440526670936,0.14131855407720234,0.49034749034749037,0.0,2,1.3030492079885383,"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65","1,3,4,6,12,18,26,1441,1750,2314,2491,3053,3063,3080,3170,4220,5760,8080,8370,8492,9220,9331,9360"
random_trial_kfold_subjects_overlap,random_fold_2,11,1344,1148,196,672,210,3.3151826388400827,3.3509549045250617,-0.03577226568497904,0.04410035598950521,0.4714285714285714,0.0,1,1.3507747139249529,"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65","1,3,4,6,12,18,26,1441,1750,2314,2491,3053,3063,3080,3170,4220,5760,8080,8370,8492,9220,9331,9360"
random_trial_kfold_subjects_overlap,random_fold_3,11,1344,1154,190,672,236,3.300662029240084,3.317536030892108,-0.016874001652023907,0.025178096485789413,0.4872881355932203,0.0,2,1.2783277900595413,"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65","1,3,4,6,12,18,26,1441,1750,2314,2491,3053,3063,3080,3170,4220,5760,8080,8370,8492,9220,9331,9360"
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,11,1323,1134,189,693,255,3.293062944465525,3.333250469078052,-0.04018752461252717,0.07440634992771852,0.45098039215686275,0.0,2,1.3266957941509427,"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65","1,3,4,6,12,18,26,1441,1750,2314,2491,3053,3063,3080,3170,4220,5760,8080,8370,8492,9220,9331,9360"
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,11,1323,1134,189,693,248,3.313075144694684,3.3276390633150794,-0.014563918620395633,0.21468113951416812,0.5120967741935484,0.0,2,1.2581263055246343,"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65","1,3,4,6,12,18,26,1441,1750,2314,2491,3053,3063,3080,3170,4220,5760,8080,8370,8492,9220,9331,9360"
within_subject_trial_kfold_subjects_overlap,within_subject_fold_3,11,1386,1188,198,630,189,3.3972322773868964,3.3999748084719514,-0.0027425310850550666,0.027009170256024576,0.5555555555555556,0.0,1,1.328276230831339,"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65","1,3,4,6,12,18,26,1441,1750,2314,2491,3053,3063,3080,3170,4220,5760,8080,8370,8492,9220,9331,9360"
loso_leave_one_subject_out,loso_subject_1,11,1984,1696,288,32,9,3.0526661133172754,3.175429074667836,-0.12276296135056075,-0.44320298295680016,0.4444444444444444,0.0,1,1.232730229695638,1,"1,3,4,6,12,18,26,1441,1750,2314,2491,3053,3063,3080,3170,4220,5760,8080,8370,8492,9220,9331,9360"
loso_leave_one_subject_out,loso_subject_2,11,1984,1696,288,32,17,3.91114221438913,4.039633880186504,-0.12849166579737448,0.380323078927396,0.058823529411764705,0.0,1,1.2224981519911025,2,"1,3,4,6,12,18,26,1441,1750,2314,2491,3053,3063,3080,3170,4220,5760,8080,8370,8492,9220,9331,9360"
loso_leave_one_subject_out,loso_subject_3,11,1984,1696,288,32,8,3.2492493193679985,3.2037627281143854,0.045486591253613096,0.4691691844370552,1.0,0.0,1,1.3370300663842096,3,"1,3,4,6,12,18,26,1441,1750,2314,2491,3053,3063,3080,3170,4220,5760,8080,8370,8492,9220,9331,9360"
loso_leave_one_subject_out,loso_subject_5,11,1984,1696,288,32,10,3.103758977701739,3.177062395107022,-0.0733034174052829,-0.17771397046279697,0.2,0.0,2,1.3417454560597737,5,"1,3,4,6,12,18,26,1441,1750,2314,2491,3053,3063,3080,3170,4220,5760,8080,8370,8492,9220,9331,9360"
