dataset,target,protocol,model,n,rmse,mae,pearson,spearman,ccc,y_pred_std,residual_std,label_policy,accuracy,balanced_accuracy,macro_f1,auroc
I-DARE,arousal,leave_one_stimulus_out,subject_only,2016,2.3849057907061195,1.998015873015873,0.3248729777356072,0.2901419955936568,0.2223704017852338,0.995479335292624,2.3849057907061195,discard_midpoint,0.6481378543635353,0.586032484056423,0.5805827152200072,0.6647188799178998
I-DARE,arousal,leave_one_stimulus_out,subject_only,2016,2.3849057907061195,1.998015873015873,0.3248729777356072,0.2901419955936568,0.2223704017852338,0.995479335292624,2.3849057907061195,midpoint_as_high,0.6046626984126984,0.5773898580250844,0.5583233709389097,0.6518262160183358
I-DARE,arousal,leave_one_stimulus_out,subject_only,2016,2.3849057907061195,1.998015873015873,0.3248729777356072,0.2901419955936568,0.2223704017852338,0.995479335292624,2.3849057907061195,midpoint_as_low,0.6666666666666666,0.5836939485642749,0.583698393734236,0.6476205966333817
I-DARE,arousal,leave_one_subject_out,stimulus_only,2016,1.944204982116596,1.5799251152073732,0.6343754946304895,0.5984999661777204,0.5793812998802729,1.6319723102903876,1.944204982116596,discard_midpoint,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8449886379106322
I-DARE,arousal,leave_one_subject_out,stimulus_only,2016,1.944204982116596,1.5799251152073732,0.6343754946304895,0.5984999661777204,0.5793812998802729,1.6319723102903876,1.944204982116596,midpoint_as_high,0.7599206349206349,0.743163875978863,0.7453650012578512,0.8100016115426243
I-DARE,arousal,leave_one_subject_out,stimulus_only,2016,1.944204982116596,1.5799251152073732,0.6343754946304895,0.5984999661777204,0.5793812998802729,1.6319723102903876,1.944204982116596,midpoint_as_low,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.816073636699185
I-DARE,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,2016,1.71568126205161,1.3743434418512428,0.7316436958691519,0.7307498408344278,0.7049792223172399,1.9115976101077443,1.71568126205161,discard_midpoint,0.8515842134519177,0.8332148691527128,0.8394804778160418,0.9164271203124836
I-DARE,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,2016,1.71568126205161,1.3743434418512428,0.7316436958691519,0.7307498408344278,0.7049792223172399,1.9115976101077443,1.71568126205161,midpoint_as_high,0.7976190476190477,0.7845785318647737,0.788527771464536,0.8798346278729229
I-DARE,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,2016,1.71568126205161,1.3743434418512428,0.7316436958691519,0.7307498408344278,0.7049792223172399,1.9115976101077443,1.71568126205161,midpoint_as_low,0.8298611111111112,0.8118902809677302,0.8111220582398784,0.8893319226350267
I-DARE,valence,leave_one_stimulus_out,subject_only,2016,2.569821773060357,2.180811571940604,-0.0595237834888704,-0.0632333001545069,-0.0178085490892924,0.3854863130237171,2.569821773060357,discard_midpoint,0.5038992201559688,0.5066502463054188,0.4995162554505213,0.4392000115230605
I-DARE,valence,leave_one_stimulus_out,subject_only,2016,2.569821773060357,2.180811571940604,-0.0595237834888704,-0.0632333001545069,-0.0178085490892924,0.3854863130237171,2.569821773060357,midpoint_as_high,0.4776785714285714,0.4929401993355481,0.4775210920123425,0.4367282498404333
I-DARE,valence,leave_one_stimulus_out,subject_only,2016,2.569821773060357,2.180811571940604,-0.0595237834888704,-0.0632333001545069,-0.0178085490892924,0.3854863130237171,2.569821773060357,midpoint_as_low,0.5252976190476191,0.5087855297157623,0.5082840358841084,0.4567735013675446
I-DARE,valence,leave_one_subject_out,stimulus_only,2016,1.257773694673858,1.02206541218638,0.8663072234664694,0.8413570547514742,0.8580903005604845,2.192729356794927,1.257773694673858,discard_midpoint,0.9562087582483504,0.95588540316308,0.9561480984993036,0.9818403768040792
I-DARE,valence,leave_one_subject_out,stimulus_only,2016,1.257773694673858,1.02206541218638,0.8663072234664694,0.8413570547514742,0.8580903005604845,2.192729356794927,1.257773694673858,midpoint_as_high,0.8883928571428571,0.8973393286745333,0.8865198546473447,0.9531155385169304
I-DARE,valence,leave_one_subject_out,stimulus_only,2016,1.257773694673858,1.02206541218638,0.8663072234664694,0.8413570547514742,0.8580903005604845,2.192729356794927,1.257773694673858,midpoint_as_low,0.8660714285714286,0.8795593635250918,0.8658039779535107,0.943285935194
I-DARE,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,2016,1.236652783819697,0.9825841757098374,0.8711713527793293,0.8654295246795595,0.8645786144430232,2.2255648215116994,1.2366527838196972,discard_midpoint,0.9556088782243553,0.9552386713911214,0.9555412835572163,0.984216287846052
I-DARE,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,2016,1.236652783819697,0.9825841757098374,0.8711713527793293,0.8654295246795595,0.8645786144430232,2.2255648215116994,1.2366527838196972,midpoint_as_high,0.8888888888888888,0.8973536487570168,0.8869502523431867,0.9575695956008706
I-DARE,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,2016,1.236652783819697,0.9825841757098374,0.8711713527793293,0.8654295246795595,0.8645786144430232,2.2255648215116994,1.2366527838196972,midpoint_as_low,0.8645833333333334,0.8784215059612857,0.8643421753494119,0.9519873470641864
