target,artifact_check,split_idx,pearson,spearman,used_in_verdict,why_not_used
arousal,stimulus_residual_split_subjects_not_used,0,-1.0,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,1,-1.0,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,2,-0.9999999999999996,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,3,-0.9999999999999992,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,4,-1.0,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,5,-1.0,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,6,-0.9999999999999996,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,7,-1.0,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,8,-0.9999999999999999,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,9,-1.0,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,10,-0.9999999999999998,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,11,-0.9999999999999997,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,12,-1.0,-0.9999083535717271,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
arousal,stimulus_residual_split_subjects_not_used,13,-1.0,-1.0,False,LOSO residuals are algebraically centered by stimulus; split-subject stimulus residual means can be forced into anti-correlation. Do not interpret near -1 as scientific stimulus reliability.
