target,block,k_calibration,model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,eeg_entropy_complexity,4,physio_context_ridge100,8,0,8,0,-8,0.7461591850656069,0.6798170366476393,1.7142086018235108,0.16520695579034395
arousal,eeg_entropy_complexity,4,physio_context_ridge1000,8,0,8,0,-8,0.6185034601506554,0.5619684276648734,1.068901909389706,0.2305005935696629
arousal,eeg_entropy_complexity,4,physio_residual_ridge100,8,0,8,0,-8,0.7338891989428918,0.5714156925331538,1.6024910957242144,0.25035722348634337
arousal,eeg_entropy_complexity,4,physio_residual_ridge1000,8,0,8,0,-8,0.466558981377781,0.5414175299467489,0.8667289725497487,0.0032070692013645985
arousal,eeg_entropy_complexity,4,physio_similarity_knn64,8,1,7,0,-6,0.4341454193971336,0.41264483338607894,1.0825054238964607,-0.029781496698758403
arousal,eeg_entropy_complexity,16,physio_context_ridge100,8,0,8,0,-8,0.9999291193735715,0.9898059256749047,1.7844742519435062,0.18863574105082392
arousal,eeg_entropy_complexity,16,physio_context_ridge1000,8,0,8,0,-8,0.9038697646671687,1.1850868332304199,1.3513506477533348,0.16222512738260875
arousal,eeg_entropy_complexity,16,physio_residual_ridge100,8,0,8,0,-8,0.982597529540615,0.9226005093521713,1.725068013578404,0.20937983025590534
arousal,eeg_entropy_complexity,16,physio_residual_ridge1000,8,2,6,0,-4,0.7313839001496925,0.8430247008455298,1.5942581894750782,-0.053436875833644315
arousal,eeg_entropy_complexity,16,physio_similarity_knn64,8,3,5,0,-2,0.6896221284449862,0.6876958971106832,1.7603197737176148,-0.07524159657501084
arousal,emg_existing_22,4,physio_context_ridge100,8,2,6,0,-4,0.4897276679350506,0.37249249904182,2.170606384025904,-0.3398178984252196
arousal,emg_existing_22,4,physio_context_ridge1000,8,0,8,0,-8,0.5037134629974915,0.5070708033520545,1.0756250504824958,0.058763301210415175
arousal,emg_existing_22,4,physio_residual_ridge100,8,2,6,0,-4,0.4991774758320542,0.2895396809300519,2.3093492764719556,-0.3576494451068297
arousal,emg_existing_22,4,physio_residual_ridge1000,8,3,5,0,-2,0.35673876789781334,0.24210874245990655,1.1995705064821485,-0.06645264143003038
arousal,emg_existing_22,4,physio_similarity_knn64,8,1,7,0,-6,0.40498511901095036,0.24679034533968502,1.5268477694415312,-0.09186421661740085
arousal,emg_existing_22,16,physio_context_ridge100,8,1,7,0,-6,0.72236272825776,0.43908424333026264,2.6749709714910535,-0.2152742349903649
arousal,emg_existing_22,16,physio_context_ridge1000,8,0,8,0,-8,0.7257731464631594,0.8268212661289019,1.5564858829467223,0.007134001372357979
arousal,emg_existing_22,16,physio_residual_ridge100,8,1,7,0,-6,0.7375360569828857,0.3892149593415817,2.8289357684635257,-0.2380291458931587
arousal,emg_existing_22,16,physio_residual_ridge1000,8,3,5,0,-2,0.586850532418198,0.5604827122349552,1.7219410280343999,-0.1302857783561897
arousal,emg_existing_22,16,physio_similarity_knn64,8,2,6,0,-4,0.640534297191532,0.5531023672059484,2.043401279491778,-0.11051015864330749
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge100,8,0,8,0,-8,0.5346795237751553,0.46526502214201093,1.6922466104207858,0.022768608265548274
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge1000,8,0,8,0,-8,0.5697418182833354,0.6195835964891865,1.017965426573054,0.12415002674859554
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge100,8,1,7,0,-6,0.5330927085171091,0.4144431380092404,1.7349471083123578,-0.001248619226864367
