target,k_calibration,model,locked_reference_model,subjects,candidate_rmse_pooled,locked_reference_rmse_pooled,pooled_lift_vs_locked_reference_rmse,lift_vs_stimulus_rmse,mean_subject_improvement_locked_minus_model,median_subject_improvement_locked_minus_model,ci95_low_mean_subject_improvement,ci95_high_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric,pearson,spearman,ccc
arousal,16,kernel_residual_shrink4,bias_shrink4,63,1.6576672767528169,1.7343610762407864,0.0766937994879697,0.2882764409522782,0.07691612884550403,0.06468440078744409,0.046819978646512085,0.10835529045465432,4.999750012499375e-05,47,16,0,31,5.852770815016151e-05,True,0.7536351792053005,0.7439849160257844,0.712968896111387
arousal,16,affine_residual_ridge4,bias_shrink4,63,1.6697310412401762,1.7343610762407864,0.0646300350006101,0.2762126764649186,0.08028901373762107,0.01572173695118151,0.038941224836605955,0.12640055014652826,0.00024998750062496874,35,28,0,7,0.22498126814511124,True,0.7501994258928015,0.7437530433489286,0.7322532486644787
arousal,16,affine_residual_ridge1,bias_shrink4,63,1.6754240753787557,1.7343610762407864,0.0589370008620306,0.2705196423263392,0.07485794311629963,0.01050592784159976,0.032725526078762036,0.1220353782250955,0.0002999850007499625,34,29,0,5,0.30732750788273094,True,0.7487711473965935,0.7427004939398496,0.7320863105135631
arousal,8,kernel_residual_shrink4,bias_shrink4,63,1.7329976743975504,1.766244636482294,0.0332469620847437,0.2101611786387043,0.032881887714710026,0.025083567408885177,0.004208333956949519,0.061750966229788304,0.01694915254237288,42,21,0,21,0.005570703707652537,True,0.7250998922733572,0.7169662253962346,0.679311572081633
arousal,4,kernel_residual_shrink4,bias_shrink4,63,1.7982942073064918,1.803261391817789,0.0049671845112972,0.1456034104586823,0.00695336682720308,0.01817846344451879,-0.018509990057581322,0.030872341207158222,0.29113544322783863,38,25,0,13,0.06495896151127625,False,0.6992680084765467,0.6909927011173533,0.6498972475986026
arousal,16,bias_shrink4,bias_shrink4,63,1.7343610762407864,1.7343610762407864,0.0,0.2115826414643085,0.0,0.0,0.0,0.0,1.0,0,0,63,0,,False,0.7248394710918495,0.7210290937994475,0.6896122951480218
arousal,8,bias_shrink4,bias_shrink4,63,1.766244636482294,1.766244636482294,0.0,0.1769142165539605,0.0,0.0,0.0,0.0,1.0,0,0,63,0,,False,0.7116238686387477,0.7057796201275196,0.6729504963384697
arousal,4,bias_shrink4,bias_shrink4,63,1.803261391817789,1.803261391817789,0.0,0.140636225947385,0.0,0.0,0.0,0.0,1.0,0,0,63,0,,False,0.6969447047865421,0.6890618934611106,0.6533912873872213
arousal,2,bias_shrink4,bias_shrink4,63,1.8481950495622328,1.8481950495622328,0.0,0.0953738201538254,0.0,0.0,0.0,0.0,1.0,0,0,63,0,,False,0.6778992811482255,0.6683610421801447,0.630254149051876
arousal,1,bias_shrink4,bias_shrink4,63,1.8904840712391415,1.8904840712391415,0.0,0.0540838030950476,0.0,0.0,0.0,0.0,1.0,0,0,63,0,,False,0.6594931031169223,0.6461336325798284,0.6086498480243968
arousal,0,stimulus_only,stimulus_only,63,1.944204982116596,1.944204982116596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,63,0,,False,0.6343754946304895,0.5984999661777204,0.5793812998802726
arousal,16,bias_empirical_bayes,bias_shrink4,63,1.734540116959432,1.7343610762407864,-0.0001790407186457,0.2114036007456627,0.000578097258162417,-0.0026817067537079353,-0.0015559166665229335,0.0030001578691801842,0.31783410829458525,21,42,0,-21,0.9974238014789539,False,0.7248761257883043,0.7219163119865653,0.692455616736498
arousal,1,kernel_residual_shrink4,bias_shrink4,63,1.8907015478870337,1.8904840712391415,-0.0002174766478919,0.0538663264471557,0.0009273657800723146,0.0034167267423752534,-0.0028030632312904123,0.0044218188261632594,0.3096345182740863,40,23,0,17,0.021478272762194606,False,0.6593740669224647,0.6456626921486125,0.6077459383754377
arousal,16,bias_shrink2,bias_shrink4,63,1.7345841572653034,1.7343610762407864,-0.0002230810245169,0.2113595604397915,0.000931760874554548,-0.004156544076510338,-0.002628331416581512,0.005082563803256441,0.3243837808109595,19,44,0,-25,0.9995509764106659,False,0.7250271591022156,0.7226452640555152,0.6946973867454007
arousal,4,bias_empirical_bayes,bias_shrink4,63,1.804173397523514,1.803261391817789,-0.000912005705725,0.1397242202416599,0.0002504195998504867,-0.01408512693174857,-0.00789718524569034,0.009177013253550881,0.4751262436878156,21,42,0,-21,0.9974238014789539,False,0.6967727766154971,0.690017639801847,0.658886285618731
